state,observation_count,authorized_target_rows_read,unauthorized_later_target_rows_read,active_factor_count,active_factor_fraction,active_set_sha256,active_laplace_leader,full_shadow_leader,action_agreement,full_laplace_ei_regret,active_full_ei_spearman,maximum_absolute_ei_difference,median_absolute_ei_difference,worst_challenger,active_ei_gap,b_struct,max_psi,epsilon_struct,theorem_certificate_passed,map_iterations,map_function_evaluations,map_gradient_infinity_norm,factor_energy_gradient_calls,factor_energy_gradient_work,factor_hessian_calls,factor_hessian_work,single_active_fit_conditioning_seconds,factor_energy_gradient_seconds,hessian_construction_seconds,dense_cholesky_seconds,selected_variance_solve_seconds,laplace_solve_relative_residual,load_solve_seconds,load_solve_iterations,load_solve_relative_residual,peak_rss_bytes,path,checkpoint_index,requested_fraction,target_factor_count,factors_added_to_next_checkpoint,ranking_solve_seconds,ranking_solve_iterations,ranking_solve_relative_residual,contribution_sum_error
seed_0_initial,8,8,0,0,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,12,13,False,0.0015692658630459579,0.4378274968082524,0.003423985142500016,0.001348120459082244,77,-0.0017863233459335243,1.9592268652959322,1.9574405419499987,0.02,False,0,0,0.0,0,0,0,0,4.383292980492115e-05,0.0,0.0,0.0,0.0,0.0,0.001215625088661909,17,6.4170480979571015e-12,222232576,STATIC_INFLUENCE_PREFIX,0,0.0,0,1247,0.0007640831172466278,17,6.586460285643116e-12,9.670042544485113e-13
seed_0_initial,8,8,0,1247,0.009998556744014496,5e3056b094911985dea243363e17049b138bc25761fd0aa7395271d9fab1a2cf,12,13,False,0.0015692658630459579,0.6012237323200088,0.0032859845107639264,0.0012984052664932345,68,-0.0015107016537749644,1.347897544107791,1.346386842454016,0.02,False,81,92,1.0429990275452952e-06,93,115971,1,1247,0.008968957932665944,0.0030022100545465946,0.0001602920237928629,0.0004502912051975727,0.0005592918023467064,1.4904527545231376e-15,0.0007479998748749495,17,6.411745965577185e-12,222232576,STATIC_INFLUENCE_PREFIX,1,0.01,1247,1247,0.0,0,0.0,0.0
seed_0_initial,8,8,0,2494,0.019997113488028993,225adfc6fb0ba10c2cdf4a0e523b443615de2796b601cd247a66a7b1d1690267,5,13,False,0.0001887569097884581,0.676564679182778,0.0032785746972860373,0.001262659277262445,68,-0.0024718175925514743,1.5489960658619055,1.5465242482693542,0.02,False,52,64,4.024729341129199e-07,65,162110,1,2494,0.00863800011575222,0.0036366309504956007,0.00021312502212822437,0.0005287081003189087,0.0006175830494612455,1.534615072809968e-15,0.000659500015899539,17,6.385811651743696e-12,222232576,STATIC_INFLUENCE_PREFIX,2,0.02,2494,3742,0.0,0,0.0,0.0
seed_0_initial,8,8,0,6236,0.050000801808880835,af63b9aac33fd61d502806a545a151304a7f7b1aa72102a8cdc7ca78d1548e0b,5,13,False,0.0001887569097884581,0.8178279754862892,0.0032744810972157312,0.0012115307250538075,68,-0.0033618274937907144,1.2770351558856872,1.2736733283918964,0.02,False,80,98,1.4602661633708602e-07,99,617364,1,6236,0.019347792025655508,0.012903166934847832,0.00026420806534588337,0.00040125008672475815,0.0005282498896121979,1.5756683835394038e-15,0.0007371248211711645,17,6.4778808619146905e-12,222232576,STATIC_INFLUENCE_PREFIX,3,0.05,6236,6236,0.0,0,0.0,0.0
seed_0_initial,8,8,0,12472,0.10000160361776167,8cbf09a7b26c7b1527fc12188756c84a8a88cfb34257d6db42943c0d6daaf1f1,13,13,True,0.0,0.8842981679760014,0.0027466795348767524,0.0010943511102363794,68,-0.003574685452477685,1.172738156037139,1.1691634705846614,0.02,False,49,63,2.3686744555079242e-06,64,798208,1,12472,0.023458665935322642,0.017125791171565652,0.0003849170170724392,0.00039254198782145977,0.0005384171381592751,1.501587294516254e-15,0.0008832078892737627,17,6.7859443610732735e-12,222232576,STATIC_INFLUENCE_PREFIX,4,0.1,12472,12472,0.0,0,0.0,0.0
seed_0_initial,8,8,0,24944,0.20000320723552334,5d80493f6a00803c8baf6eeb17137673c9a6d12bfdb51f9d1f96c4f612e9edae,13,13,True,0.0,0.9075685540404003,0.0026272566034962717,0.0009365110822176347,68,-0.0036561562562883246,1.0399081796575844,1.0362520234012962,0.02,False,50,62,6.940389385913688e-07,63,1571472,1,24944,0.059093291871249676,0.046061427565291524,0.000703832833096385,0.00040099979378283024,0.0005436670035123825,1.5251260975746666e-15,0.0012940831948071718,17,7.575956642666188e-12,222232576,STATIC_INFLUENCE_PREFIX,5,0.2,24944,12471,0.0,0,0.0,0.0
seed_0_initial,8,8,0,37415,0.29999679276447666,c48b6b04cd5abbc55e3357047356871de0d66b8f2c80b7e8f72580846bd0af62,13,13,True,0.0,0.9076840835572126,0.002445729634963003,0.0008266822941488811,118,-0.0033122032453271576,0.7908878083522595,0.7875756051069324,0.02,False,48,61,1.3109700303486072e-06,62,2319730,1,37415,0.050600624876096845,0.04432325414381921,0.0011932910420000553,0.00041624996811151505,0.0005747501272708178,1.5862137151152308e-15,0.0007452499121427536,17,8.349040416303033e-12,222232576,STATIC_INFLUENCE_PREFIX,6,0.3,37415,12472,0.0,0,0.0,0.0
seed_0_initial,8,8,0,49887,0.39999839638223833,2c16a866ebff37ddf726ad6997ddf7f2fc36721ec3e67643805c6f7f6604c7e3,13,13,True,0.0,0.939769959192625,0.0020207648696103225,0.0005664379662300469,27,-0.0035277883155978088,0.6645601862145154,0.6610323978989175,0.02,False,57,67,6.242522110492046e-07,68,3392316,1,49887,0.07351829088293016,0.06552895321510732,0.001228166976943612,0.0004190418403595686,0.0005372499581426382,1.6241376053016709e-15,0.0007048749830573797,17,8.91959916490477e-12,222232576,STATIC_INFLUENCE_PREFIX,7,0.4,49887,12472,0.0,0,0.0,0.0
seed_0_initial,8,8,0,62359,0.5,8defd0db2cd5c76427ac0338066a01cc37869ffca4d23e8f616375d4fc70ae68,13,13,True,0.0,0.9526661862727437,0.0017082376907758996,0.0003587045961902964,127,-0.003434228994939812,0.5609627523840456,0.5575285233891057,0.02,False,64,79,1.5759627108556662e-06,80,4988720,1,62359,0.10653366683982313,0.09819595771841705,0.0015726250130683184,0.0004262910224497318,0.0005718751344829798,1.5986039481752155e-15,0.0007265000604093075,17,9.312385254662686e-12,222232576,STATIC_INFLUENCE_PREFIX,8,0.5,62359,12472,0.0,0,0.0,0.0
seed_0_initial,8,8,0,74831,0.6000016036177617,d3db97b7cd0e149d4ee6229fefbc12050ac7f179a8e5f233b5ef9cc5c686988a,13,13,True,0.0,0.9599073414112617,0.0014367424718242615,0.00014715423029218813,127,-0.0032353123301957325,0.4784408835556929,0.4752055712254972,0.02,False,58,67,1.553966410362817e-06,68,5088508,1,74831,0.11280325008556247,0.10510616051033139,0.0018621671479195356,0.0006391247734427452,0.0005515418015420437,1.5493782342620023e-15,0.0007555841002613306,17,9.675032491370056e-12,222232576,STATIC_INFLUENCE_PREFIX,9,0.6,74831,12472,0.0,0,0.0,0.0
