state,observation_count,requested_fraction,active_factor_count,active_factor_fraction,replicate,base_seed,state_index,fraction_index,subset_sha256,active_laplace_leader,full_shadow_leader,action_agreement,full_laplace_ei_regret,active_full_ei_spearman,maximum_absolute_ei_difference,median_absolute_ei_difference,map_iterations,map_gradient_infinity_norm,factor_energy_gradient_work,factor_hessian_work,single_active_fit_conditioning_seconds,peak_rss_bytes,authorized_target_rows_read,unauthorized_later_target_rows_read
seed_0_initial,8,0.1,12472,0.10000160361776167,0,20260823,0,0,84ee639b03144301b5e5f488a2c1510c81e7fa2d69288bcb961071f48d1e8749,12,13,False,0.0015692658630459579,0.9391316096590511,0.0031775631304753887,0.0011801753578274728,73,7.683415549006312e-07,1110008,12472,0.029105500085279346,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,1,20260823,0,0,9d89ecab0744ba6d46d57bffe5db3bcf0025642c3f5de0db185a746bf2c37f4e,12,13,False,0.0015692658630459579,0.943120315180187,0.0031230242970651766,0.0011793368456755136,70,2.595388745724181e-06,997760,12472,0.02521654195152223,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,2,20260823,0,0,9a59f88e5855b4399a17ca0d6389fb5f51d2589750fb241ab2f34b412385890b,12,13,False,0.0015692658630459579,0.9434120761633236,0.003123162147828564,0.0011925444482681,77,2.2075606805060932e-07,1110008,12472,0.03145854198373854,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,3,20260823,0,0,f2bc82f4c8680c6decf4692cdeafc715db2f489cdf1f9ddfc036ff694884be91,12,13,False,0.0015692658630459579,0.9424741331369986,0.003160880017611393,0.001170464442055293,77,5.698875418739396e-07,1085064,12472,0.031480333069339395,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,4,20260823,0,0,80bf028009caaf08b147371353959e329e66639d65c10835233741c846bbba2f,12,13,False,0.0015692658630459579,0.9442423221824506,0.0031400675982941086,0.001173807929045062,76,1.5583960166157956e-06,1110008,12472,0.03096391586586833,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,5,20260823,0,0,8c5e1bc011cf2702892affc362e7ebcfb2b3b50b0e5f7c42264dd90adb6fdef1,12,13,False,0.0015692658630459579,0.9437332090575142,0.0031588813616765417,0.0011815765086209754,69,1.1283229305143402e-06,1010232,12472,0.027236541034653783,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,6,20260823,0,0,6369ceec4c39d6ffae1531c60409c521bf0249110c9bc14a76cc074e59f4798f,12,13,False,0.0015692658630459579,0.9428931724013693,0.003140489066288582,0.001177486800333645,62,9.595682338228717e-07,897984,12472,0.024724874878302217,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,7,20260823,0,0,c6d5d536732b631e37914a1993384ddad72adc1d87d60ed22f1f12df4667ea00,12,13,False,0.0015692658630459579,0.9469112498335595,0.0031434458178160804,0.0011795748024028326,73,2.7035027677993484e-07,1047648,12472,0.029512499924749136,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,8,20260823,0,0,e4cb92e2d2e12d9167af3d01afa1dd2f496f3cdbfcbdf31128049b494bdec781,12,13,False,0.0015692658630459579,0.9471795132878528,0.0031395934100111357,0.0011708074376968816,89,1.5375285117302795e-06,1259672,12472,0.03266320796683431,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,9,20260823,0,0,637a5c49d08e2122db22589cdcf6c71c3c3f5c268be8d85284884027e021baf7,12,13,False,0.0015692658630459579,0.9431261895623979,0.0031527758348506157,0.0011503156536052123,71,1.5423720422279644e-06,985288,12472,0.02502024988643825,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,10,20260823,0,0,685a8358a0d1307b5928d2518933255451dad98e151313bb2c3e02021f29449f,12,13,False,0.0015692658630459579,0.9472970009320687,0.0031571515582582386,0.0011537218419992081,66,3.940828112045103e-06,960344,12472,0.02446120814420283,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,11,20260823,0,0,b82afbaf8f74ad1f3632595ec4d599b75c06fcd5d85764171a2f2166639dfeff,12,13,False,0.0015692658630459579,0.9437606228411647,0.0031202275422619052,0.0011893626075007869,67,5.185239112838469e-07,997760,12472,0.02743875002488494,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,12,20260823,0,0,55cfa75ace5c7a687ac8995737e1db32bdd10b417c1b34d96f95f07e5b84ddb9,12,13,False,0.0015692658630459579,0.9412209315986937,0.003121950713781383,0.0011808403513748848,70,1.074633084054144e-06,997760,12472,0.02498958306387067,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,13,20260823,0,0,5821bccabd35489fc5477574bd71f8861a2d576dce140d30c5bc77cc3cd55fc5,12,13,False,0.0015692658630459579,0.9460261762471315,0.003127773555522125,0.0011528618847570695,78,5.077978986814391e-07,1072592,12472,0.02865166706033051,222232576,8,0
