action_position_x,action_position_xhat,action_key_x,action_key_xhat,node_x,node_xhat,total_structural_influence,highest_influence_factor_index,highest_influence_factor_graph_distance,factors_for_90_percent,factor_fraction_for_90_percent,factor_set_sha256_for_90_percent,factors_for_95_percent,factor_fraction_for_95_percent,factor_set_sha256_for_95_percent,factors_for_99_percent,factor_fraction_for_99_percent,factor_set_sha256_for_99_percent
0,13,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010014,48,143,6.166015611249195,1680,0,447,0.26591314693634743,296a08089a8f791be6f832561e5239be45ccdd556a45d7e4457dfebbae759e2b,865,0.5145746579417013,195a732a86e8329698d68b611032512af12c72bc04f134cfa3d31ab5d1c65517,1440,0.8566329565734682,c8564f1c83494593fe1a0d9092d1af7a51d72b39c2507b2fab5ec72d53ab8d7e
0,14,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000009613,48,148,4.458319643952376,31,0,553,0.3289708506841166,3120b6f33de8ddeef7f2ea0ff41ef21597ba8e47a0dc1e70034bd23becb32c5d,939,0.5585960737656157,d57847c8e97c9c1996f37546d1dc29f3b366ea766ada2bbe88b88e4eff0503ef,1458,0.8673408685306365,e8170f9e9e091c0ddf0087a5a8a1df9b93a76a89a9c8790263d2c2df8c1391b6
0,15,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010786,48,203,5.4817062130648715,1680,0,491,0.29208804283164785,4cd15b1aada0ad76a54fc6ae59cc1aa4689cbbcf39c7ccce997c923e40e46aee,903,0.537180249851279,e06da3700f18083b34f8c60e83b7741d0b83dca6346daf7c01b55effdae3d4bc,1454,0.8649613325401546,211a5552e5f2565d3e365817f15741331f6a63264ff73c5c13005593f74b67af
0,16,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289615,48,211,6.514358983292934,31,0,521,0.30993456276026177,813f6f0faba0ef9e130a8cf76bd999ccc4f91573e589a1ae46421efb9b56a696,921,0.5478881618084473,e89834ab8bbc92d2b0e0dff3692f4e4f75bffef9ba95b07532c58698075fb00b,1455,0.8655562165377751,e5ca63c0c3bd052dca90978b18b6acacd2e7c3002cc863cdaf7bb51fb49c9c9c
0,17,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000012394,48,273,4.446868753294503,31,0,575,0.3420582986317668,519741540e9fe1601d2ebe3ce6bed6d7c9261644494538e7cc032db328cd46cc,963,0.5728732897085068,d0620ddcd76e26eec17410ae8320999723555e2a3a07c9fea1dfeeeffaca8384,1470,0.8744794765020821,4bc5dba7a2f73b0f07b5d2c2455b4565c5b2277d01829bc9a23cfa8620f67a79
0,18,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289620,48,274,6.432345778017325,31,0,581,0.3456276026174896,c8c2ab99fc612058d2168531de30734fd5c3f74551803733cae3b7081b713ff2,983,0.5847709696609161,1f71c0b4830deb81533070b8524be3d8903383894d2aca9d8fb40b158f3d8b0c,1482,0.8816180844735276,d647046cfd0608bcbd92d18706613c98a7c24c870fcf4e4fc3836d42eda582f9
0,19,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000012301,48,294,6.3492956032828145,31,0,479,0.28494943486020224,055740442d563dcbcc9d424c5aba24e7e34f53abeb972a681c36e5fa243a35ba,864,0.5139797739440809,2e4ac21f38caa590dec10c3cd5da899e853f9c973e4800e1fa50ca1890e2aae0,1402,0.8340273646638905,902aabc402e24a7dfc1caf969fbd5452e0d61eaa46d56c957e6502ea5c308cba
0,20,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000286928,48,295,6.670662727872031,31,0,524,0.31171921475312314,6b4a45872189e3cba547758a2b28613afd16956244b3a5ceeab2f5ab25b7da6d,905,0.5383700178465199,6e3064b286953e7b91570696a77eb1291884ad988418045ce38092c8adadf30b,1425,0.8477096966091612,9e1af5370425498e638cdeeebbfa6159c2e1cb95a156c7335786beff62210177
0,21,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010038,48,299,5.331705287480865,31,0,564,0.3355145746579417,ff757859c231d5375dcfbf5a0a717096d5783f4eb804702f8d885e2cc716d148,966,0.5746579417013682,962af5ed24bc823d76eb421a2f0f76bb97921d0679325dc16025d03791adb221,1474,0.8768590124925639,c8302a8f03983377a90cdd415f112ed186adfb39dd8127f1e9305a32cd3cc0d0
0,22,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000011844,48,310,6.284107324801125,31,0,516,0.30696014277215944,fc19a339a586a459e0cccb744e4f9334058cfab986f8af41149e505989cce077,906,0.5389649018441404,cc54b9d818309c0ee504c9b376c96a9f2da368943b34c9ba2b0e074dc67fea96,1433,0.8524687685901249,56afb1f867af0be6956eb66c41413d00ed49a06b69b398c653dfd2363a8afccb
0,23,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010465,48,315,6.2069606466021,31,0,478,0.2843545508625818,eb43a28d8b018c9064faa1e712cc47575ba54a2bfbd55680c3511f69262b2d00,881,0.5240928019036288,0b46fc958b8dea4f5db11cd8a5a9a632d38aab1c6a0306e9f78c61f08cda6748,1422,0.8459250446162998,0b488b835486229f0e1c53e8f5d7379800686981d9f600fc94609eee3f8b4260
0,24,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000286938,48,316,6.631551967210051,31,0,581,0.3456276026174896,969987baf82b0153a72104fef75a67ea9c3f40cfe15c3479a6e3df5988ef0d20,982,0.5841760856632957,3890b811f42a20183d7d7ca16ab83d6d0d77af3ef99df05cd2fab4df43155a40,1484,0.8828078524687686,467f5f4376498786f0cacdc6c67499093922ae6627af57c5c9c8b9aae342494d
0,25,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000286943,48,318,5.628058186301223,31,0,582,0.34622248661511007,ff3d87d622654c465afbef521518fd42177cd3d24b26569a7a740f828e789786,983,0.5847709696609161,8529be154bf2c9e64ef9444e319122203d51652df957736168e339963144b3a5,1484,0.8828078524687686,5bb2af557566230f1afed93c9fa97c7be82c81ebe9a36e12aa1ca3b2c66f955e
0,26,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289616,48,326,5.4282439464788315,31,0,507,0.30160618679357526,77d1aba803e86cf9caa6d8b283493f37a8f064edd4cb31a3cf6f492cd21c70fd,906,0.5389649018441404,851d762aa14e8b555e2ab510c43a2c93817b8cde6574ebbf24745f56fed8ccf4,1450,0.8625817965496728,0d0745099193df6487e690d46a42ff91670d601cc6c7c2462cfc97186fd05ef3
0,27,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289674,48,395,6.2546382558841955,31,0,512,0.3045806067816776,c43f55dd4ac54b1210207d36fe88f0b75996f20aa67a3c5ec6caca60d330d50e,908,0.5401546698393813,ad0e81d86f7fdccceb1d0fa97d2301c1c413702c60f09adc065f32697a318ada,1436,0.8542534205829864,e99bf25e3217e5cd367c3143bca10c0ccea2a32f079ded12f522ea8cd51033dc
0,28,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000012353,48,398,6.252057932680247,31,0,501,0.29803688280785245,01f5d8ebdd43dec9b20a6c4ac3104c73c84aa43db20815ae45c8b4a9c4f9afd6,903,0.537180249851279,b273a73be2810edec5de5a3f9abb1d44474065953a74436846d9719756d779c9,1443,0.8584176085663295,b5d0fd5ef4f26c645d5b2e7b9b6ce882fa180ccf7fe846b5360c8da690335223
0,29,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289656,48,399,6.348420077516642,31,0,560,0.33313503866745986,60e1f529efad6a71ba547771b6e48a0de69b6aa81d73e802bac0da8dc495d464,956,0.5687091017251636,da3d9487cd45d4cae518771e7f3f5230071df12965b7ca222c2c1dbdd508da8d,1472,0.875669244497323,9449bbce011052ca4da6c836527ec5ff66d96f2a87998c7823a3a05e16d2a6a9
0,30,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289701,48,479,5.682961259368008,31,0,576,0.34265318262938727,3b48fe0b578e2e8daddfe5f4d4c0ac05dc6b30ceefbde7bc1af6654bb9ce1dac,984,0.5853658536585366,b8cb46a5b8d12eca2a54ad46508f9ca82dcef8294962c9909c498c61b3aef1d1,1484,0.8828078524687686,d76cd1ee7e7c3f1ba2fcf318cf6819cafa105008377172fac689335cf6ee8da3
0,31,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000286958,48,497,6.014923336776209,31,0,471,0.28019036287923854,3a6c4674602af7a3c9e5fe24a318830037b8e1d12054156097870c0ec07585ab,875,0.520523497917906,254accdf155e5d5ff9401d673983edf8df7837c763e2c0dc536f6238804951ff,1424,0.8471148126115408,ae26d814fa7381b71300ab8f353de9f23e18c40ea87af9a6b62dc849e70d8248
0,32,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000012401,48,498,4.381612520227515,31,0,528,0.314098750743605,a06f47c80825365f2a37e6ded9fe8cc6acb810f075262ed305f2aa4fe2e195b7,894,0.5318262938726949,cf3bfbb1c0ad215626180b684b6de6e561a020a89270b4e4b6b5ab10823f93b4,1417,0.8429506246281975,2f8969bfe0d102b34a4fa573bacd6b619904b0fd450941e98c11b332fc6cdda3
0,33,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289702,48,499,6.11191154969266,31,0,470,0.27959547888161806,c1f43cb563fd7d0120b0ad630d7b268584cc0add9961405bf74f78af56aa2078,860,0.5116002379535991,871a27da362d6014de258496d07ea3d8a1f3c34a164f8c1e222015f7a48bbc33,1400,0.8328375966686496,2c1fc0aac2576fe76047caa7a4ba52b5b4140cb7050f752a11c495c392dc8c1b
0,34,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289708,48,500,6.061516036119934,31,0,465,0.2766210588935158,47df38243f2b9b3601213dffba17f78de1369af327bd54cab1aa3b68f8787d8f,842,0.5008923259964307,c69be18f3fc960affe34939f2ef32bc2da99a714bc61d397c3ed230f93a6fed6,1393,0.8286734086853064,710b36a3a3ec64db8f90d0149f8b283ee82d8ee3660c5975bd6541022ed64c82
