converged,dataset,final_best,final_regret,fit_seconds,global_best,initial_best,model,record_type,regret_auc,seed,steps,top1_hit,top5_hit
True,trpb,1.3790167687597126,0.8400687792901489,1.9421453680000695,2.260764949453726,1.2111506768710891,S0,sequential,0.8825505097912031,0,32,True,True
True,trpb,1.2111506768710891,1.0,0.9418250420001186,2.260764949453726,1.2111506768710891,S1,sequential,1.0,0,32,True,True
True,trpb,1.7973458506546829,0.44151371689980307,4.599035754000056,2.260764949453726,1.2111506768710891,S2,sequential,0.5610714013618264,0,32,True,True
True,trpb,1.976413567330826,0.17693825971362964,1.5434752180010491,2.260764949453726,0.6536993968529728,S0,sequential,0.3390533590858077,1,32,True,True
True,trpb,0.6536993968529728,1.0,1.0036304699995071,2.260764949453726,0.6536993968529728,S1,sequential,1.0,1,32,False,True
True,trpb,1.852905015602876,0.25379172193119337,4.24749684899848,2.260764949453726,0.6536993968529728,S2,sequential,0.6173094195515282,1,32,True,True
True,trpb,1.6417583323274505,0.3049149428485445,1.6017663789996277,2.260764949453726,0.2306689123639836,S0,sequential,0.44597524857546056,2,32,True,True
True,trpb,0.2306689123639836,1.0,1.048835879000535,2.260764949453726,0.2306689123639836,S1,sequential,1.0,2,32,False,True
True,trpb,1.3607261155579238,0.4433479093856361,4.247471837001058,2.260764949453726,0.2306689123639836,S2,sequential,0.6155852502702608,2,32,True,True
True,trpb,1.1163028281696017,0.5585904313564946,1.5503415860007408,2.260764949453726,0.2119254831118396,S0,sequential,0.7781158745809338,3,32,True,True
True,trpb,0.9108726977946496,0.6588570133653519,1.0748455680004554,2.260764949453726,0.2119254831118396,S1,sequential,0.8616230955278086,3,32,True,True
True,trpb,0.9065922452753988,0.6609462217145512,4.060572003998459,2.260764949453726,0.2119254831118396,S2,sequential,0.8368968758417771,3,32,True,True
True,trpb,1.8187398103262584,0.3152693566978472,1.6375251069994192,2.260764949453726,0.8587094380736509,S0,sequential,0.4485712882126643,4,32,True,True
True,trpb,0.8587094380736509,1.0,1.052203505000307,2.260764949453726,0.8587094380736509,S1,sequential,1.0,4,32,False,True
True,trpb,1.5738482164644372,0.4899354750320413,4.478467022999666,2.260764949453726,0.8587094380736509,S2,sequential,0.6174969003715897,4,32,True,True
True,trpb,1.6001918563050836,0.4025717175220939,1.703667640999356,2.260764949453726,0.6198819355783443,S0,sequential,0.5094956301773186,5,32,True,True
True,trpb,1.0187092119058143,0.7569435036166695,1.0405051959978664,2.260764949453726,0.6198819355783443,S1,sequential,0.7810337392878157,5,32,True,True
True,trpb,1.0187092119058143,0.7569435036166695,3.318053207000048,2.260764949453726,0.6198819355783443,S2,sequential,0.7879700355756616,5,32,True,True
True,trpb,1.8357142170351568,0.2841555860154083,1.6037192179996964,2.260764949453726,0.7649269179764185,S0,sequential,0.33712897079525284,6,32,True,True
True,trpb,1.0144807996540326,0.8331678454309978,1.0350482620010553,2.260764949453726,0.7649269179764185,S1,sequential,0.8871124136175849,6,32,True,True
True,trpb,1.8449960767076816,0.27795046254802463,4.713378767999529,2.260764949453726,0.7649269179764185,S2,sequential,0.3505513996092211,6,32,True,True
True,trpb,1.580058746750179,0.5284777852454002,1.6720593619997999,2.260764949453726,0.9727142088015734,S0,sequential,0.630167101267278,7,32,True,True
True,trpb,0.9727142088015734,1.0,0.9813407529995857,2.260764949453726,0.9727142088015734,S1,sequential,1.0,7,32,True,True
True,trpb,1.0268142851347322,0.9579984897910409,4.177676457999951,2.260764949453726,0.9727142088015734,S2,sequential,0.9678425937462658,7,32,True,True
True,trpb,1.054593148700179,0.5809376911214145,1.5605591419998746,2.260764949453726,0.184515087914857,S0,sequential,0.6557377204234925,8,32,True,True
True,trpb,0.9609040714963084,0.6260618733980265,1.0388025620022745,2.260764949453726,0.184515087914857,S1,sequential,0.7442786241584027,8,32,True,True
True,trpb,1.50151930770537,0.36568124858807716,4.664334261999102,2.260764949453726,0.184515087914857,S2,sequential,0.5929639841181296,8,32,True,True
