candidate_count,constant_high_utility_nll,converged,coverage_50,coverage_80,coverage_90,coverage_95,crps,dataset,finite,fit_evaluations,fit_iterations,fit_message,fit_seconds,high_utility_count,high_utility_nll,interval_calibration_error,model,n,nll,objective,one_step_regret,record_type,rmse,seed,selected_test_index,selected_top_decile,spearman,top10_recall
111835,0.4750426455632562,True,0.7756616595135909,0.8617668097281831,0.8819742489270386,0.8975321888412017,0.06387513626897479,trpb,True,17,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.732506959000034,11184,0.36960436150423764,0.10198050786838342,S0,48,-0.4835349435793394,1.449763390786445,1.1332286199717974,offline,0.14371610025929585,0,712,True,0.3364644789165324,0.34379470348358154
111835,0.7038063207475086,True,0.7903254649499285,0.8530937052932761,0.8724964234620887,0.8864449213161659,0.06399683343278399,trpb,True,13,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07008689899998899,11184,0.6100680021170874,0.10861945636623749,S1,48,-0.48030987630438077,1.4634811248939035,2.122822162394505,offline,0.14327550385828602,0,76740,False,0.3559587621007861,0.32939913868904114
111835,0.9040321436246205,True,0.7069921316165951,0.8441523605150214,0.8674892703862661,0.8811695278969958,0.06472838810948157,trpb,True,24,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.17626945500001057,11184,0.6449155229165859,0.08812142346208865,S2,48,-0.47165712715556984,1.6835709762596873,1.2522076499607742,offline,0.13984760777747335,0,37683,True,0.32497485023956074,0.34325823187828064
111787,1.3623452221508228,True,0.6429018695768852,0.8326326147240362,0.8549065211557384,0.8697557921102066,0.05448956664514024,trpb,True,19,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.232836501999941,11179,1.1353884733118293,0.07521804275874408,S0,96,-0.51390366826279,1.4244473011303516,1.5145634387615012,offline,0.14270452814517437,0,37846,True,0.39975589232848163,0.346542626619339
111787,1.7515929490432276,True,0.6686644601484927,0.8231505501386528,0.8451560962519009,0.8600948206458539,0.0546471452085251,trpb,True,12,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.05534207599998808,11179,1.5436582224956197,0.08414102334734766,S1,96,-0.5143286232650198,1.4357809477379768,2.153900731447737,offline,0.1421229365409876,0,9430,False,0.3906292230598938,0.34126487374305725
111787,0.9049204132833926,True,0.39323731997495304,0.7611593165757223,0.8443510152965381,0.8777171482243492,0.04921326995068789,trpb,True,36,32,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.26444255199999134,11179,2.0556924404391688,0.06838379998210933,S2,96,-0.016630414578576738,1.5084521114300196,1.2522076499607742,offline,0.14341901416718925,0,37635,True,0.34359757373012545,0.3056623935699463
111691,3.0457616142740873,True,0.42649955237242615,0.7613249776186213,0.8042076991942704,0.8303491495076096,0.05045267186075913,trpb,True,17,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2766021569999566,11170,2.6741280230226834,0.08190465532676815,S0,192,-0.45904944322043106,1.4035393163581138,1.9076946147003446,offline,0.13989919894183014,0,88055,True,0.41021989953304344,0.38737690448760986
111691,4.381248451190816,True,0.42488809310653536,0.7456580125335721,0.7781557743957028,0.7964189794091316,0.050641465980780176,trpb,True,13,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.06211521099999118,11170,3.98633604905035,0.10121978513876452,S1,192,-0.4651921064233084,1.4164088904666787,2.153900731447737,offline,0.13969012292623192,0,9334,False,0.4051141424136537,0.4217546880245209
111691,3.4475134647843975,True,0.25935541629364367,0.6218442256042972,0.740734109221128,0.7923903312444046,0.048719883082202084,trpb,True,33,28,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.25468829500005086,11170,5.4477081704479104,0.18391897940913163,S2,192,-0.10085107647602938,1.41233302288085,1.2522076499607742,offline,0.13919747158268297,0,37539,True,0.30684883028254134,0.350492388010025
111835,1.1325310722966662,True,0.760640200286123,0.8662374821173104,0.882689556509299,0.892346208869814,0.056307501130509086,trpb,True,19,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.7536838179998995,11184,0.9980293573147156,0.10046047925608009,S0,48,-0.5097057510651346,1.4502378498585364,1.3655330057210697,offline,0.14384439965303136,1,58722,False,0.4242556823161758,0.2664520740509033
111835,1.4596195652838397,True,0.6425250357653791,0.8336909871244635,0.8552396280400573,0.8693669527896996,0.055847910354748835,trpb,True,14,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07694936000007147,11184,1.3028368864871105,0.07540236051502144,S1,48,-0.5095795734198719,1.4536936954915467,1.3257816612102755,offline,0.1426941560230735,1,42773,True,0.42808133562133627,0.3446888327598572
111835,1.871868943394521,True,0.26278612303290416,0.7601037195994278,0.8528254649499285,0.8766094420600858,0.057218510742414276,trpb,True,25,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.18511771900011809,11184,1.490989242592673,0.09941881258941343,S2,48,-0.5140564495539521,1.6497419835937572,1.3655330057210697,offline,0.13869663632082707,1,58722,False,0.3561715449642955,0.3462982773780823
111787,1.1650062387357392,True,0.7621433044100545,0.8676089095625726,0.8823687270775561,0.8912246175865463,0.05733903405555273,trpb,True,18,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.10075402100005704,11179,0.9909990532897529,0.10153971732713118,S0,96,-0.5208281248242111,1.4332132266464779,1.6611308229329282,offline,0.14323665140392866,1,100874,True,0.4158625772407877,0.2639771103858948
111787,1.3207594430214649,True,0.749172555684766,0.8452455496913857,0.8648358529385455,0.8771804275874407,0.0568118403729539,trpb,True,13,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.06092843900000844,11179,1.1509778658689338,0.10060045621254135,S1,96,-0.5219365694399982,1.4407008517531414,1.8209046529917674,offline,0.1424884574446139,1,97930,False,0.4260894630378948,0.3341980576515198
111787,1.6531725123358556,True,0.4231147687628589,0.8193935056802935,0.8590213793720368,0.875301905358261,0.055801826437964164,trpb,True,30,25,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.22160655300012877,11179,1.1988832095894808,0.05298886304678416,S2,96,-0.5535289620406488,1.5432236161955926,1.1254346224076044,offline,0.13630100129436387,1,68956,True,0.3568596289685459,0.36067625880241394
111691,3.2927285556284285,True,0.5165622202327663,0.7948075201432409,0.8202327663384065,0.8350044762757386,0.05191774581970491,trpb,True,20,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.11099174799983302,11170,2.9134878255607553,0.054129364368845106,S0,192,-0.4930670061585107,1.4099023928237715,1.2736647609019576,offline,0.13981417096519594,1,97527,True,0.45158476334922326,0.3444046676158905
