seed,belief,sample_count,median_high_relative_value_error,mean_high_pairwise_ranking_disagreement,high_kendall_tau,top10_overlap,median_high_gradient_cosine,median_high_gradient_relative_error,selected_panel_reference_regret
3101,gaussian,64,0.0176231317892134,0.1358585858585858,0.7282828282828282,0.9333333333333332,0.9529598808477051,0.333500467854545,0.0
3101,gaussian,128,0.0122612516222676,0.0868686868686868,0.8262626262626263,0.9555555555555556,0.9628369600339741,0.30497508879421753,0.0
3101,gaussian,256,0.0084370709644613,0.06616161616161609,0.8676767676767676,0.9777777777777776,0.9631686417238436,0.2901871857274634,0.0
3101,gaussian,512,0.0037469416153703,0.0363636363636363,0.9272727272727272,0.9777777777777776,0.9831867220305771,0.19907471635015317,0.0
3101,gaussian,1024,0.0021480941233976997,0.0181818181818181,0.9636363636363636,1.0,0.990628907008718,0.14698078119718339,0.0
3101,gaussian,2048,0.0013524849418004,0.0121212121212121,0.9757575757575756,1.0,0.9946967965364797,0.1116199981983123,0.0
3101,student_t,64,0.0200972730879887,0.1424242424242424,0.7151515151515151,0.9333333333333332,0.9541787270879898,0.34300463894470734,0.0
3101,student_t,128,0.0117667737299713,0.0878787878787878,0.8242424242424241,0.9555555555555556,0.9574270366082709,0.32668811390828456,0.0
3101,student_t,256,0.0081249989050999,0.0666666666666666,0.8666666666666666,0.9777777777777776,0.9685799096088146,0.27862445225946025,0.0
3101,student_t,512,0.00486993553920115,0.0439393939393939,0.912121212121212,0.9777777777777776,0.9778250729776482,0.231310188477042,0.0
3101,student_t,1024,0.0027005435385012502,0.0212121212121212,0.9575757575757574,0.9777777777777776,0.9868959158704909,0.18371110246445735,0.0
3101,student_t,2048,0.00154440464994235,0.0141414141414141,0.9717171717171716,1.0,0.9920814606352735,0.13717777126231795,0.0
3102,gaussian,64,0.014178804902298149,0.1313131313131313,0.7373737373737372,0.8444444444444444,0.7206459191900028,0.8367445260637281,0.0
3102,gaussian,128,0.0089633101392002,0.101010101010101,0.7979797979797979,0.8888888888888888,0.801091669202886,0.7838822554340497,0.0
3102,gaussian,256,0.0053028422094258,0.0747474747474747,0.8505050505050503,0.9333333333333332,0.834351165022069,0.7149895433337843,0.0
3102,gaussian,512,0.0027537077906673,0.0489898989898989,0.9020202020202019,0.9555555555555556,0.8726350874715946,0.6392728781381682,0.0
3102,gaussian,1024,0.0016709293694154499,0.034848484848484795,0.9303030303030302,0.9777777777777776,0.9075697997979142,0.519144563895981,0.0
3102,gaussian,2048,0.00104385550694735,0.021717171717171697,0.9565656565656565,0.9777777777777776,0.9542335546241534,0.38903744499267245,0.0
3102,student_t,64,0.01621576942798715,0.13888888888888884,0.7222222222222221,0.8444444444444444,0.7182278426794606,0.8327829657597401,0.0
3102,student_t,128,0.01051460582491525,0.102020202020202,0.7959595959595959,0.9,0.7859428214349184,0.7816123820621431,0.0
3102,student_t,256,0.005616938799959699,0.0762626262626262,0.8474747474747474,0.9111111111111112,0.8096782812831642,0.7424399656887337,0.0
3102,student_t,512,0.0031782896898959,0.0535353535353535,0.8929292929292928,0.9555555555555556,0.8590793991914766,0.6557194476651671,0.0
3102,student_t,1024,0.00200704890037375,0.0363636363636363,0.9272727272727272,0.9777777777777776,0.9109669015373121,0.537489127399252,0.0
3102,student_t,2048,0.0011386891721677501,0.0232323232323232,0.9535353535353536,0.9777777777777776,0.9388870087583532,0.4326181995657331,0.0
