seed,belief,sample_count,median,mean,maximum
3101,gaussian,64,0.15384360948815756,0.1797258868756885,0.3606590077128351
3101,gaussian,128,0.12812652570187075,0.1376827269555411,0.2923029364820192
3101,gaussian,256,0.11912790611409775,0.11614475969732649,0.2140715060402759
3101,gaussian,512,0.0948861719351021,0.0878272708439469,0.1317499635995622
3101,gaussian,1024,0.08018039797905245,0.07737642863012203,0.1195922315439156
3101,gaussian,2048,0.0792530064300016,0.07636579069841128,0.1203806940114063
3101,student_t,64,0.19240754410914435,0.18744725819772162,0.2881034171611649
3101,student_t,128,0.10203696302469385,0.10159992582791141,0.2488671616709421
3101,student_t,256,0.12912588425582233,0.106873297360765,0.1546615091479661
3101,student_t,512,0.10345125491679645,0.0914025972610204,0.1361849850291268
3101,student_t,1024,0.0785210956866645,0.08032838105087077,0.1252516439275516
3101,student_t,2048,0.081309438652521,0.07943549408064168,0.1173642227149701
3102,gaussian,64,0.2246494832781452,0.20729164609190745,0.256918241341022
3102,gaussian,128,0.19341193481739655,0.17349349461427738,0.2488448554620174
3102,gaussian,256,0.2003532582843801,0.18313674421179263,0.2467169198064939
3102,gaussian,512,0.1955287396098607,0.15437428785393065,0.2252205967531054
3102,gaussian,1024,0.150428882840898,0.1340660382209553,0.2231603393864422
3102,gaussian,2048,0.13287150456356484,0.1281514648617866,0.1939839098248439
3102,student_t,64,0.21032001172049436,0.23708430732616498,0.5221081034582
3102,student_t,128,0.19683941882964473,0.19319411626921065,0.350791612281954
3102,student_t,256,0.20439530729215086,0.18336417898476762,0.2343636624418635
3102,student_t,512,0.16821090523511012,0.15256498938923213,0.223712663759715
3102,student_t,1024,0.13604387894718875,0.1270602626881867,0.1940467062258816
3102,student_t,2048,0.13704755404723912,0.11764976376383963,0.1960851185533849
