seed,method,phase,initial_order,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation,best_observed_gw_ev,simple_regret_ev
0,FULL_PBE_OPT,initial,1,0,156,current-nlr-pbe-gw-v1:gw:matdb:000290207,1880,4.959,0.16523348915755762,,
0,FULL_PBE_OPT,initial,2,0,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,1.5968892633273806,,
0,FULL_PBE_OPT,initial,3,0,3,current-nlr-pbe-gw-v1:gw:matdb:000009744,78,4.385,-0.15144104431969785,,
0,FULL_PBE_OPT,initial,4,0,95,current-nlr-pbe-gw-v1:gw:matdb:000009772,889,2.519,-1.1809091270175354,,
0,FULL_PBE_OPT,initial,5,0,57,current-nlr-pbe-gw-v1:gw:matdb:000010286,653,1.962,-1.4882047980050468,,
0,FULL_PBE_OPT,initial,6,0,50,current-nlr-pbe-gw-v1:gw:matdb:000289749,566,4.973,0.17295725826675912,,
0,FULL_PBE_OPT,initial,7,0,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,0.8719583626494819,,
0,FULL_PBE_OPT,initial,8,0,117,current-nlr-pbe-gw-v1:gw:matdb:000010399,1189,4.684,0.013516595941102721,,
0,ADAPTIVE_PBE,initial,1,0,156,current-nlr-pbe-gw-v1:gw:matdb:000290207,1880,4.959,0.16523348915755762,,
0,ADAPTIVE_PBE,initial,2,0,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,1.5968892633273806,,
0,ADAPTIVE_PBE,initial,3,0,3,current-nlr-pbe-gw-v1:gw:matdb:000009744,78,4.385,-0.15144104431969785,,
0,ADAPTIVE_PBE,initial,4,0,95,current-nlr-pbe-gw-v1:gw:matdb:000009772,889,2.519,-1.1809091270175354,,
0,ADAPTIVE_PBE,initial,5,0,57,current-nlr-pbe-gw-v1:gw:matdb:000010286,653,1.962,-1.4882047980050468,,
0,ADAPTIVE_PBE,initial,6,0,50,current-nlr-pbe-gw-v1:gw:matdb:000289749,566,4.973,0.17295725826675912,,
0,ADAPTIVE_PBE,initial,7,0,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,0.8719583626494819,,
0,ADAPTIVE_PBE,initial,8,0,117,current-nlr-pbe-gw-v1:gw:matdb:000010399,1189,4.684,0.013516595941102721,,
0,FULL_PBE_OPT,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,2.8100727112655077,,
0,FULL_PBE_OPT,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,2.922067363348927,,
0,FULL_PBE_OPT,sequential,,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,3.1388845962000795,,
0,FULL_PBE_OPT,sequential,,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,0.8261674457877881,,
0,FULL_PBE_OPT,sequential,,5,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,0.543698175508424,,
0,FULL_PBE_OPT,sequential,,6,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,3.023579757355574,,
0,FULL_PBE_OPT,sequential,,7,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,1.9152188901851792,,
