method,qt_construction_seconds,sparse_factorization_seconds,posterior_mean_solve_seconds,posterior_mean_solve_relative_residual,observation_count,sigma_obs_standardized,selected_variance_solves_seconds,selected_variance_solve_relative_residual,selected_rhs_count,ei_seconds,selected_action_position,selected_action_key,selected_ei_standardized,total_decision_seconds,hyperparameters_fit_or_updated,seed,query_index,decision_kind,marginalization_500_rhs_seconds,marginalization_solve_relative_residual,dense_marginal_precision_seconds,dense_marginal_precision_relative_residual,support_rhs_count,principal_precision_submatrix_used,approximation,optimizer,optimizer_success,optimizer_iterations,optimizer_function_evaluations,gradient_infinity_norm,map_optimization_seconds,optimizer_attempts,factor_energy_gradient_calls,factor_energy_gradient_seconds,hessian_construction_seconds,factor_hessian_calls,factor_hessian_seconds,dense_cholesky_seconds,laplace_solve_relative_residual,laplace_spd_cholesky_success,warm_start_status,importance_validation_seconds_in_total
FULL_PBE,0.0007266650000019581,0.10016841100002694,0.0034067110000250977,1.1447776373683591e-15,9,0.05,,,,0.0003343449999988479,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,3.043409428573761e-05,1.7717950580000092,False,0,2,routine_bo_decision,0.34448894199999813,5.61370882038794e-16,0.036720790000003944,5.564314535920104e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,76,84,1.1454457262138895e-06,1.164129365000008,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 76, 'function_evaluations': 84, 'objective': 160.7773505898595, 'gradient_infinity_norm': 1.1454457262138895e-06}]",85,1.1210793970000168,0.014620449999995344,1,0.014618662999964727,0.0038267869999799586,6.964840377657391e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0007445349999670725,0.047919613999965804,0.001229055999999673,5.593436419556398e-16,10,0.05,,,,0.0003132819999791536,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,1.6084819532834367e-05,1.631554226999981,False,0,3,routine_bo_decision,0.36477577999994537,5.880482939555456e-16,0.042960818999972616,5.55186934296802e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,67,75,6.064581758238874e-06,1.042459727999983,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 67, 'function_evaluations': 75, 'objective': 160.06565031918788, 'gradient_infinity_norm': 6.064581758238874e-06}]",76,1.010117711000305,0.017302141000016036,1,0.017299137999998493,0.003995508999992126,7.844920286331999e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0007442360000027293,0.09284028799999078,0.0012582699999938995,8.145420040639695e-16,11,0.05,,,,0.00037326500000745,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,2.8833522548497257e-06,1.6493711800000028,False,0,4,routine_bo_decision,0.331467774000032,5.641205573543373e-16,0.036077982999984215,5.687951200402842e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,69,76,3.1950369108191268e-06,1.071669498999995,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 69, 'function_evaluations': 76, 'objective': 159.39139412453267, 'gradient_infinity_norm': 3.1950369108191268e-06}]",77,1.0358181020000075,0.014916193000033218,1,0.014913706000015736,0.003821284999958152,7.538408899627122e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0007681870000055824,0.047733960000016395,0.0012356849999832775,4.633409895294198e-16,12,0.05,,,,0.0003381289999992987,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,2.9734570059704814e-06,1.5965176180000071,False,0,5,routine_bo_decision,0.3726741620000098,5.52966753676452e-16,0.0371016810000242,5.826834390561425e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,44,51,6.728481457662916e-06,0.9993624839999597,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 44, 'function_evaluations': 51, 'objective': 159.29427722868687, 'gradient_infinity_norm': 6.728481457662916e-06}]",52,0.9180083659996967,0.018704107999951702,1,0.01870114400003331,0.007023496999977397,7.106188764452163e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0018135960000336127,0.11528565899999421,0.0012920720000124675,9.732102504557423e-16,13,0.05,,,,0.00033425100002659747,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,2.0828424949849477e-06,2.7011948310000093,False,0,6,routine_bo_decision,0.9637664859999973,5.781661402207438e-16,0.19133456500003376,5.750087802097959e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,37,45,1.3132290260092772e-06,1.2548401970000214,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 37, 'function_evaluations': 45, 'objective': 159.26903117224825, 'gradient_infinity_norm': 1.3132290260092772e-06}]",46,1.1361823760000789,0.018873579000000973,1,0.01887115299996367,0.0069021209999959865,7.783004947415548e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0007171679999942171,0.0961794149999946,0.00335001899998133,6.609072897053135e-16,14,0.05,,,,0.00030024000000139495,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,4.683585306169657e-06,2.128932958000007,False,0,7,routine_bo_decision,0.6245841369999994,5.694466377614804e-16,0.17528470399997786,5.899667027392803e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,75,81,1.545231730890051e-06,1.1171138770000084,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 75, 'function_evaluations': 81, 'objective': 158.42409162077374, 'gradient_infinity_norm': 1.545231730890051e-06}]",82,1.074575478999634,0.014672369999971124,1,0.014669912999977441,0.0037561319999781517,8.093829449882228e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0007342559999869991,0.047001281999996536,0.0012379030000033708,9.162415370243894e-16,15,0.05,,,,0.0003532220000010966,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,7.73444993897409e-06,1.66694346700001,False,0,8,routine_bo_decision,0.36589365500003623,5.621137522687103e-16,0.03583635300003607,5.837807069052577e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,73,82,1.417328365081738e-06,1.0919924739999942,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 73, 'function_evaluations': 82, 'objective': 157.94458859397974, 'gradient_infinity_norm': 1.417328365081738e-06}]",83,1.0510517140000388,0.01472920899999508,1,0.01472716699998955,0.0037897689999795148,7.626405237195391e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0007787320000147702,0.08173607200001243,0.0032760710000161453,4.345467045686582e-16,16,0.05,,,,0.0003057769999941229,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,9.545841019255612e-06,1.6017897210000456,False,0,9,routine_bo_decision,0.37011926699995,5.488974828561991e-16,0.0350409580000246,5.688858750515202e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,60,69,7.478965647553237e-07,0.9927030619999755,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 60, 'function_evaluations': 69, 'objective': 157.57072366517693, 'gradient_infinity_norm': 7.478965647553237e-07}]",70,0.9570014429999105,0.015071298999998817,1,0.015068917000007787,0.004200570000023163,7.630552258910685e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0006938039999795365,0.07267685199997231,0.003475949000005585,6.051182186728387e-16,17,0.05,,,,0.0003237870000134535,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,4.813435329170467e-06,1.4117774140000279,False,0,10,routine_bo_decision,0.3603337640000177,5.852870949796773e-16,0.03703480500001888,5.989201358757389e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,50,61,5.48188752162726e-07,0.8224540329999854,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 50, 'function_evaluations': 61, 'objective': 157.7943559491631, 'gradient_infinity_norm': 5.48188752162726e-07}]",62,0.7942423859999508,0.01482816800000819,1,0.014825515999973504,0.0038301029999843195,7.750276489394307e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.001919155999985378,0.09259424500004343,0.001260590000015327,3.6258217367766833e-16,18,0.05,,,,0.0003461850000121558,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,4.1336832746163935e-06,1.608832145000008,False,0,11,routine_bo_decision,0.35178900599998997,5.484720132168022e-16,0.039396619000001465,5.82921735121556e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,55,59,4.2347396567443685e-06,0.9887349629999562,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 55, 'function_evaluations': 59, 'objective': 157.7280220288215, 'gradient_infinity_norm': 4.2347396567443685e-06}]",60,0.9474033129999384,0.015162508999992497,1,0.015160499999979038,0.0060203919999821665,7.499193370984287e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.004192273000001023,0.11277893599998379,0.0014439349999975093,5.653290763045516e-16,19,0.05,,,,0.00032675500000323154,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,4.785756864959001e-06,3.5149083270000006,False,0,12,routine_bo_decision,1.1037435869999968,5.647473190529586e-16,0.15243169000001444,5.815204256345565e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,64,74,1.5482186451476476e-06,1.952560664000032,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 64, 'function_evaluations': 74, 'objective': 157.49471268236994, 'gradient_infinity_norm': 1.5482186451476476e-06}]",75,1.742914127000006,0.01558701299995846,1,0.015584632000013698,0.00876608800001577,6.986533350942554e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.0013172289999943132,0.09856854399998838,0.0012710770000126104,3.9239299734837443e-16,20,0.05,,,,0.0003590530000110448,133,current-nlr-pbe-gw-v1:gw:matdb:000286998,2.08072064632331e-06,1.7685884500000384,False,0,13,validation_only_after_12_queries,0.5005015610000214,5.612383882009703e-16,0.03770075500000303,5.753008932185156e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,64,71,1.8114727827200916e-06,0.993834129999982,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 64, 'function_evaluations': 71, 'objective': 157.68076352426522, 'gradient_infinity_norm': 1.8114727827200916e-06}]",72,0.9653768059998242,0.014754543999970338,1,0.01475234399998726,0.003844962000016494,7.516658482905453e-16,True,preceding_FULL_PBE_MAP,0.0
NO_PBE,0.0007705780000151208,0.07660261500006982,0.0013141459999133076,4.2885926860203323e-16,8,0.05,0.149310489999948,6.305849230430559e-16,191,0.00029398200001651276,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,0.012882221588970143,0.24710116400001425,False,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0007362569999713742,0.08357904000001781,0.0012910069999634288,4.63604407763883e-16,9,0.05,0.14329238699997404,6.1485188810559e-16,191,0.00028697100003682863,8,current-nlr-pbe-gw-v1:gw:matdb:000009995,2.5567109753984053e-05,0.24064383800009637,False,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0007351140000082523,0.04712855100001434,0.0012418140000818312,8.509503619627656e-16,10,0.05,0.14845950500000527,5.880108133395992e-16,191,0.00028986000006625545,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,1.427127824147592e-05,0.21210581000002549,False,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0007332860000133223,0.04692277499998454,0.0012391120000074807,4.09831475900791e-16,11,0.05,0.14284368900007394,6.215608536167064e-16,191,0.0002744030000485509,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,2.0350114722312738e-05,0.20561072199996033,False,1,4,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0006960609999850931,0.047504004999950666,0.0012459399999897869,3.774771273097254e-16,12,0.05,0.1733674910000218,6.263493839535087e-16,191,0.00028578000001289183,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,1.597983362158805e-05,0.23425740300001507,False,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0006855259999838381,0.047210900000095535,0.0012382929999148473,4.984996006018223e-16,13,0.05,0.16931955600000492,5.741987435676978e-16,191,0.00028670500000771426,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,7.683290613850952e-11,0.23184840999999778,False,1,6,,,,,,,,,,,,,,,,,,,,,,,,,
