seed,method,phase,initial_order,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation,best_observed_gw_ev,simple_regret_ev
1,NO_PBE,initial,1,0,177,current-nlr-pbe-gw-v1:gw:matdb:000010890,2038,4.095,-0.034574718668282066,,
1,NO_PBE,initial,2,0,87,current-nlr-pbe-gw-v1:gw:matdb:000009700,853,4.003,-0.11008508347497581,,
1,NO_PBE,initial,3,0,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,1.295885078632273,,
1,NO_PBE,initial,4,0,181,current-nlr-pbe-gw-v1:gw:matdb:000290216,2053,3.601,-0.44003254708683465,,
1,NO_PBE,initial,5,0,156,current-nlr-pbe-gw-v1:gw:matdb:000290207,1880,4.959,0.6745660986467574,,
1,NO_PBE,initial,6,0,27,current-nlr-pbe-gw-v1:gw:matdb:000289674,395,4.761,0.5120546613453947,,
1,NO_PBE,initial,7,0,140,current-nlr-pbe-gw-v1:gw:matdb:000289987,1576,4.369,0.19031484608208932,,
1,NO_PBE,initial,8,0,94,current-nlr-pbe-gw-v1:gw:matdb:000009916,886,1.593,-2.0881283354764175,,
1,FULL_PBE,initial,1,0,177,current-nlr-pbe-gw-v1:gw:matdb:000010890,2038,4.095,-0.034574718668282066,,
1,FULL_PBE,initial,2,0,87,current-nlr-pbe-gw-v1:gw:matdb:000009700,853,4.003,-0.11008508347497581,,
1,FULL_PBE,initial,3,0,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,1.295885078632273,,
1,FULL_PBE,initial,4,0,181,current-nlr-pbe-gw-v1:gw:matdb:000290216,2053,3.601,-0.44003254708683465,,
1,FULL_PBE,initial,5,0,156,current-nlr-pbe-gw-v1:gw:matdb:000290207,1880,4.959,0.6745660986467574,,
1,FULL_PBE,initial,6,0,27,current-nlr-pbe-gw-v1:gw:matdb:000289674,395,4.761,0.5120546613453947,,
1,FULL_PBE,initial,7,0,140,current-nlr-pbe-gw-v1:gw:matdb:000289987,1576,4.369,0.19031484608208932,,
1,FULL_PBE,initial,8,0,94,current-nlr-pbe-gw-v1:gw:matdb:000009916,886,1.593,-2.0881283354764175,,
1,NO_PBE,sequential,,1,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,2.804450845096443,7.554,2.795
1,NO_PBE,sequential,,2,8,current-nlr-pbe-gw-v1:gw:matdb:000009995,125,2.291,-1.5152344807473694,7.554,2.795
1,NO_PBE,sequential,,3,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,1.657842370803491,7.554,2.795
1,NO_PBE,sequential,,4,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,1.2376107753575412,7.554,2.795
1,NO_PBE,sequential,,5,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,4.609312716943402,9.753,0.5960000000000001
1,NO_PBE,sequential,,6,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,4.775927978419041,9.956,0.3930000000000007
1,NO_PBE,sequential,,7,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,5.098488558517202,10.349,0.0
1,NO_PBE,sequential,,8,117,current-nlr-pbe-gw-v1:gw:matdb:000010399,1189,4.684,0.4488557690615312,10.349,0.0
1,NO_PBE,sequential,,9,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,1.725965852096487,10.349,0.0
1,NO_PBE,sequential,,10,9,current-nlr-pbe-gw-v1:gw:matdb:000289592,126,4.942,0.6606130964542166,10.349,0.0
1,NO_PBE,sequential,,11,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.9210007403120813,10.349,0.0
1,NO_PBE,sequential,,12,16,current-nlr-pbe-gw-v1:gw:matdb:000289615,211,5.092,0.7837278216825216,10.349,0.0
1,FULL_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,4.609312716943402,9.753,0.5960000000000001
1,FULL_PBE,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,4.775927978419041,9.956,0.3930000000000007
1,FULL_PBE,sequential,,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,5.098488558517202,10.349,0.0
1,FULL_PBE,sequential,,4,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,1.2376107753575412,10.349,0.0
1,FULL_PBE,sequential,,5,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,1.657842370803491,10.349,0.0
1,FULL_PBE,sequential,,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,2.804450845096443,10.349,0.0
1,FULL_PBE,sequential,,7,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,4.92694870803243,10.349,0.0
1,FULL_PBE,sequential,,8,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,3.2780321548079914,10.349,0.0
1,FULL_PBE,sequential,,9,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,3.0014344054617315,10.349,0.0
1,FULL_PBE,sequential,,10,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,0.10823836259655262,10.349,0.0
1,FULL_PBE,sequential,,11,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,1.5256992323917768,10.349,0.0
1,FULL_PBE,sequential,,12,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.9210007403120813,10.349,0.0
2,NO_PBE,initial,1,0,17,current-nlr-pbe-gw-v1:gw:matdb:000012394,273,3.052,-0.5868350240077191,,
2,NO_PBE,initial,2,0,48,current-nlr-pbe-gw-v1:gw:matdb:000289757,519,5.391,1.1636602683934352,,
2,NO_PBE,initial,3,0,154,current-nlr-pbe-gw-v1:gw:matdb:000290272,1866,5.904,1.547586769035501,,
2,NO_PBE,initial,4,0,153,current-nlr-pbe-gw-v1:gw:matdb:000287048,1864,4.15,0.234902398419159,,
2,NO_PBE,initial,5,0,55,current-nlr-pbe-gw-v1:gw:matdb:000009667,648,2.002,-1.3726494990060998,,
2,NO_PBE,initial,6,0,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,0.3239613722523086,,
2,NO_PBE,initial,7,0,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.6145256293171858,,
2,NO_PBE,initial,8,0,20,current-nlr-pbe-gw-v1:gw:matdb:000286928,295,2.906,-0.6961006557693986,,
2,FULL_PBE,initial,1,0,17,current-nlr-pbe-gw-v1:gw:matdb:000012394,273,3.052,-0.5868350240077191,,
2,FULL_PBE,initial,2,0,48,current-nlr-pbe-gw-v1:gw:matdb:000289757,519,5.391,1.1636602683934352,,
2,FULL_PBE,initial,3,0,154,current-nlr-pbe-gw-v1:gw:matdb:000290272,1866,5.904,1.547586769035501,,
2,FULL_PBE,initial,4,0,153,current-nlr-pbe-gw-v1:gw:matdb:000287048,1864,4.15,0.234902398419159,,
2,FULL_PBE,initial,5,0,55,current-nlr-pbe-gw-v1:gw:matdb:000009667,648,2.002,-1.3726494990060998,,
2,FULL_PBE,initial,6,0,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,0.3239613722523086,,
2,FULL_PBE,initial,7,0,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.6145256293171858,,
2,FULL_PBE,initial,8,0,20,current-nlr-pbe-gw-v1:gw:matdb:000286928,295,2.906,-0.6961006557693986,,
2,NO_PBE,sequential,,1,16,current-nlr-pbe-gw-v1:gw:matdb:000289615,211,5.092,0.9398902417034198,5.904,4.445
2,NO_PBE,sequential,,2,66,current-nlr-pbe-gw-v1:gw:matdb:000290176,704,5.285,1.0843304261555033,5.904,4.445
2,NO_PBE,sequential,,3,67,current-nlr-pbe-gw-v1:gw:matdb:000290178,705,5.46,1.2152995053219,5.904,4.445
2,NO_PBE,sequential,,4,65,current-nlr-pbe-gw-v1:gw:matdb:000289867,703,3.991,0.11590763506226119,5.904,4.445
2,NO_PBE,sequential,,5,69,current-nlr-pbe-gw-v1:gw:matdb:000289849,707,3.187,-0.48580173436507035,5.904,4.445
2,NO_PBE,sequential,,6,64,current-nlr-pbe-gw-v1:gw:matdb:000289994,702,5.165,0.9945230575842599,5.904,4.445
