seed,method,mu_seed_ev,scale_seed_ev,initial_action_positions,initial_action_keys,aurc_ev,final_simple_regret_ev,time_to_first_oracle_top_10,global_optimum_discovered
5,NO_PBE,4.269375,1.8769459188114233,"[151, 119, 88, 4, 97, 148, 123, 54]","[""current-nlr-pbe-gw-v1:gw:matdb:000290117"", ""current-nlr-pbe-gw-v1:gw:matdb:000289924"", ""current-nlr-pbe-gw-v1:gw:matdb:000010152"", ""current-nlr-pbe-gw-v1:gw:matdb:000289861"", ""current-nlr-pbe-gw-v1:gw:matdb:000012095"", ""current-nlr-pbe-gw-v1:gw:matdb:000010195"", ""current-nlr-pbe-gw-v1:gw:matdb:000010448"", ""current-nlr-pbe-gw-v1:gw:matdb:000289808""]",42.693999999999996,3.1320000000000006,11,False
5,FULL_PBE,4.269375,1.8769459188114233,"[151, 119, 88, 4, 97, 148, 123, 54]","[""current-nlr-pbe-gw-v1:gw:matdb:000290117"", ""current-nlr-pbe-gw-v1:gw:matdb:000289924"", ""current-nlr-pbe-gw-v1:gw:matdb:000010152"", ""current-nlr-pbe-gw-v1:gw:matdb:000289861"", ""current-nlr-pbe-gw-v1:gw:matdb:000012095"", ""current-nlr-pbe-gw-v1:gw:matdb:000010195"", ""current-nlr-pbe-gw-v1:gw:matdb:000010448"", ""current-nlr-pbe-gw-v1:gw:matdb:000289808""]",16.243999999999996,0.20899999999999963,5,False
6,NO_PBE,3.5824999999999996,2.125232155385786,"[81, 177, 96, 69, 71, 99, 124, 64]","[""current-nlr-pbe-gw-v1:gw:matdb:000010113"", ""current-nlr-pbe-gw-v1:gw:matdb:000010890"", ""current-nlr-pbe-gw-v1:gw:matdb:000010033"", ""current-nlr-pbe-gw-v1:gw:matdb:000289849"", ""current-nlr-pbe-gw-v1:gw:matdb:000289958"", ""current-nlr-pbe-gw-v1:gw:matdb:000012289"", ""current-nlr-pbe-gw-v1:gw:matdb:000010087"", ""current-nlr-pbe-gw-v1:gw:matdb:000289994""]",13.901,0.20899999999999963,0,False
6,FULL_PBE,3.5824999999999996,2.125232155385786,"[81, 177, 96, 69, 71, 99, 124, 64]","[""current-nlr-pbe-gw-v1:gw:matdb:000010113"", ""current-nlr-pbe-gw-v1:gw:matdb:000010890"", ""current-nlr-pbe-gw-v1:gw:matdb:000010033"", ""current-nlr-pbe-gw-v1:gw:matdb:000289849"", ""current-nlr-pbe-gw-v1:gw:matdb:000289958"", ""current-nlr-pbe-gw-v1:gw:matdb:000012289"", ""current-nlr-pbe-gw-v1:gw:matdb:000010087"", ""current-nlr-pbe-gw-v1:gw:matdb:000289994""]",1.4629999999999974,0.0,0,True
7,NO_PBE,2.9213750000000003,1.9300231632584843,"[146, 158, 43, 167, 108, 115, 127, 173]","[""current-nlr-pbe-gw-v1:gw:matdb:000011962"", ""current-nlr-pbe-gw-v1:gw:matdb:000290197"", ""current-nlr-pbe-gw-v1:gw:matdb:000010575"", ""current-nlr-pbe-gw-v1:gw:matdb:000010851"", ""current-nlr-pbe-gw-v1:gw:matdb:000011437"", ""current-nlr-pbe-gw-v1:gw:matdb:000010393"", ""current-nlr-pbe-gw-v1:gw:matdb:000289918"", ""current-nlr-pbe-gw-v1:gw:matdb:000010309""]",52.461000000000006,4.152,,False
7,FULL_PBE,2.9213750000000003,1.9300231632584843,"[146, 158, 43, 167, 108, 115, 127, 173]","[""current-nlr-pbe-gw-v1:gw:matdb:000011962"", ""current-nlr-pbe-gw-v1:gw:matdb:000290197"", ""current-nlr-pbe-gw-v1:gw:matdb:000010575"", ""current-nlr-pbe-gw-v1:gw:matdb:000010851"", ""current-nlr-pbe-gw-v1:gw:matdb:000011437"", ""current-nlr-pbe-gw-v1:gw:matdb:000010393"", ""current-nlr-pbe-gw-v1:gw:matdb:000289918"", ""current-nlr-pbe-gw-v1:gw:matdb:000010309""]",1.8809999999999967,0.0,1,True
8,NO_PBE,3.287375,1.210202218934623,"[184, 150, 33, 43, 60, 132, 122, 188]","[""current-nlr-pbe-gw-v1:gw:matdb:000010790"", ""current-nlr-pbe-gw-v1:gw:matdb:000011727"", ""current-nlr-pbe-gw-v1:gw:matdb:000289702"", ""current-nlr-pbe-gw-v1:gw:matdb:000010575"", ""current-nlr-pbe-gw-v1:gw:matdb:000011892"", ""current-nlr-pbe-gw-v1:gw:matdb:000289932"", ""current-nlr-pbe-gw-v1:gw:matdb:000010046"", ""current-nlr-pbe-gw-v1:gw:matdb:000011210""]",46.63800000000002,3.474,,False
8,FULL_PBE,3.287375,1.210202218934623,"[184, 150, 33, 43, 60, 132, 122, 188]","[""current-nlr-pbe-gw-v1:gw:matdb:000010790"", ""current-nlr-pbe-gw-v1:gw:matdb:000011727"", ""current-nlr-pbe-gw-v1:gw:matdb:000289702"", ""current-nlr-pbe-gw-v1:gw:matdb:000010575"", ""current-nlr-pbe-gw-v1:gw:matdb:000011892"", ""current-nlr-pbe-gw-v1:gw:matdb:000289932"", ""current-nlr-pbe-gw-v1:gw:matdb:000010046"", ""current-nlr-pbe-gw-v1:gw:matdb:000011210""]",25.398,0.20899999999999963,7,False
9,NO_PBE,3.118375,1.1892201451251272,"[77, 160, 178, 53, 21, 126, 148, 113]","[""current-nlr-pbe-gw-v1:gw:matdb:000011455"", ""current-nlr-pbe-gw-v1:gw:matdb:000010765"", ""current-nlr-pbe-gw-v1:gw:matdb:000287083"", ""current-nlr-pbe-gw-v1:gw:matdb:000289794"", ""current-nlr-pbe-gw-v1:gw:matdb:000010038"", ""current-nlr-pbe-gw-v1:gw:matdb:000289890"", ""current-nlr-pbe-gw-v1:gw:matdb:000010195"", ""current-nlr-pbe-gw-v1:gw:matdb:000009927""]",53.509,4.152,,False
9,FULL_PBE,3.118375,1.1892201451251272,"[77, 160, 178, 53, 21, 126, 148, 113]","[""current-nlr-pbe-gw-v1:gw:matdb:000011455"", ""current-nlr-pbe-gw-v1:gw:matdb:000010765"", ""current-nlr-pbe-gw-v1:gw:matdb:000287083"", ""current-nlr-pbe-gw-v1:gw:matdb:000289794"", ""current-nlr-pbe-gw-v1:gw:matdb:000010038"", ""current-nlr-pbe-gw-v1:gw:matdb:000289890"", ""current-nlr-pbe-gw-v1:gw:matdb:000010195"", ""current-nlr-pbe-gw-v1:gw:matdb:000009927""]",0.9890000000000008,0.0,1,True
10,NO_PBE,4.6381250000000005,1.3326957039345906,"[28, 149, 49, 176, 156, 142, 38, 97]","[""current-nlr-pbe-gw-v1:gw:matdb:000012353"", ""current-nlr-pbe-gw-v1:gw:matdb:000011568"", ""current-nlr-pbe-gw-v1:gw:matdb:000010042"", ""current-nlr-pbe-gw-v1:gw:matdb:000287053"", ""current-nlr-pbe-gw-v1:gw:matdb:000290207"", ""current-nlr-pbe-gw-v1:gw:matdb:000290107"", ""current-nlr-pbe-gw-v1:gw:matdb:000286953"", ""current-nlr-pbe-gw-v1:gw:matdb:000012095""]",23.924999999999994,1.4529999999999994,0,False
10,FULL_PBE,4.6381250000000005,1.3326957039345906,"[28, 149, 49, 176, 156, 142, 38, 97]","[""current-nlr-pbe-gw-v1:gw:matdb:000012353"", ""current-nlr-pbe-gw-v1:gw:matdb:000011568"", ""current-nlr-pbe-gw-v1:gw:matdb:000010042"", ""current-nlr-pbe-gw-v1:gw:matdb:000287053"", ""current-nlr-pbe-gw-v1:gw:matdb:000290207"", ""current-nlr-pbe-gw-v1:gw:matdb:000290107"", ""current-nlr-pbe-gw-v1:gw:matdb:000286953"", ""current-nlr-pbe-gw-v1:gw:matdb:000012095""]",3.8459999999999965,0.0,0,True
11,NO_PBE,4.1621250000000005,2.7258410726914053,"[5, 135, 24, 113, 110, 148, 23, 93]","[""current-nlr-pbe-gw-v1:gw:matdb:000011924"", ""current-nlr-pbe-gw-v1:gw:matdb:000289941"", ""current-nlr-pbe-gw-v1:gw:matdb:000286938"", ""current-nlr-pbe-gw-v1:gw:matdb:000009927"", ""current-nlr-pbe-gw-v1:gw:matdb:000010295"", ""current-nlr-pbe-gw-v1:gw:matdb:000010195"", ""current-nlr-pbe-gw-v1:gw:matdb:000010465"", ""current-nlr-pbe-gw-v1:gw:matdb:000010188""]",2.5079999999999956,0.20899999999999963,0,False
11,FULL_PBE,4.1621250000000005,2.7258410726914053,"[5, 135, 24, 113, 110, 148, 23, 93]","[""current-nlr-pbe-gw-v1:gw:matdb:000011924"", ""current-nlr-pbe-gw-v1:gw:matdb:000289941"", ""current-nlr-pbe-gw-v1:gw:matdb:000286938"", ""current-nlr-pbe-gw-v1:gw:matdb:000009927"", ""current-nlr-pbe-gw-v1:gw:matdb:000010295"", ""current-nlr-pbe-gw-v1:gw:matdb:000010195"", ""current-nlr-pbe-gw-v1:gw:matdb:000010465"", ""current-nlr-pbe-gw-v1:gw:matdb:000010188""]",1.0449999999999982,0.0,0,True
