count,dimension,median,posterior,q25,q75,seed,top2_relevance_probability
16,0,1.1288613080978394,reused,0.680313766002655,2.0495665073394775,0,0.48437500000000006
16,1,0.9083857536315918,reused,0.5729566812515259,1.5362569093704224,0,0.6328125000000001
16,2,2.581689119338989,reused,1.4578474760055542,4.584235191345215,0,0.08593750000000001
16,3,2.554109811782837,reused,1.5954450368881226,4.2251505851745605,0,0.08203125000000001
16,4,3.055729389190674,reused,1.6468310356140137,5.325300693511962,0,0.050781250000000014
16,5,2.311661243438721,reused,1.3327823877334595,4.079675197601318,0,0.15625000000000003
16,6,1.9796143770217896,reused,0.8924804925918579,3.936927318572998,0,0.24218750000000006
16,7,2.7141382694244385,reused,1.3905653953552246,5.230202674865723,0,0.11718750000000001
16,8,2.8726599216461186,reused,1.50663161277771,5.194701194763184,0,0.10937500000000001
16,9,2.8374972343444824,reused,1.7925136089324951,4.876837730407715,0,0.03906250000000001
16,0,1.1288613080978394,fresh,0.680313766002655,2.0495665073394775,0,0.48437500000000006
16,1,0.9083857536315918,fresh,0.5729566812515259,1.5362569093704224,0,0.6328125000000001
16,2,2.581689119338989,fresh,1.4578474760055542,4.584235191345215,0,0.08593750000000001
16,3,2.554109811782837,fresh,1.5954450368881226,4.2251505851745605,0,0.08203125000000001
16,4,3.055729389190674,fresh,1.6468310356140137,5.325300693511962,0,0.050781250000000014
16,5,2.311661243438721,fresh,1.3327823877334595,4.079675197601318,0,0.15625000000000003
16,6,1.9796143770217896,fresh,0.8924804925918579,3.936927318572998,0,0.24218750000000006
16,7,2.7141382694244385,fresh,1.3905653953552246,5.230202674865723,0,0.11718750000000001
16,8,2.8726599216461186,fresh,1.50663161277771,5.194701194763184,0,0.10937500000000001
16,9,2.8374972343444824,fresh,1.7925136089324951,4.876837730407715,0,0.03906250000000001
18,0,0.8035339117050171,reused,0.5341514348983765,1.2570176124572756,0,0.7503505578705858
18,1,0.7797967195510864,reused,0.5395727157592773,1.2021905183792114,0,0.838212638636781
18,2,3.940678834915161,reused,2.3231546878814697,7.278847694396973,0,0.050629149193285476
18,3,3.4465930461883545,reused,2.042543649673462,4.961234092712402,0,0.046510336109242746
18,4,4.507898330688477,reused,2.495781898498535,8.142881393432617,0,0.020303991214248675
18,5,3.6078052520751953,reused,1.9996445178985596,7.325042724609375,0,0.06692870308545346
18,6,3.633671283721924,reused,1.8812137842178343,6.0871806144714355,0,0.09317388222036714
