active_log_lengthscale_w1,added_observations,count,ei_candidate_distance,ei_max_relative_error,ei_spearman,ei_top5_overlap,ess_fraction,fresh_ei_index,fresh_log_score,fresh_nuts_seconds,fresh_top2_active_probability,inactive_log_lengthscale_w1,max_log_lengthscale_w1,mean_log_lengthscale_w1,mmd,negative_log_ess_fraction,predictive_mean_rmse,predictive_variance_rmse,reused_ei_index,reused_log_score,reused_top2_active_probability,seed
2.789262703968777e-16,0,16,0.0,0.0,1.0,1.0,0.9999999999999998,1565,-1.1911042172569983,21.270659974999944,0.35937500000000006,2.7634788003610767e-16,3.4195232813736154e-16,2.768635581082617e-16,0.0,2.2204460492503136e-16,0.0,0.0,1565,-1.1911042172569983,0.35937500000000006,0
0.10971101874451439,2,18,1.570850850262855,0.002650680874772428,0.9938973178506955,0.970873786407767,0.45572941551820445,277,-0.797541307176228,16.234096926999996,0.6796875000000001,0.11968751369459601,0.16643694606164308,0.11769221470457972,0.060259061763744674,0.7858560326129875,0.038863843488862626,0.05315726858762852,1565,-0.8248657677048246,0.697613543714572,0
0.11289365023575657,4,20,0.0,0.11900946675673256,0.9779532969519908,0.970873786407767,0.029328374482385886,277,-0.5439307654170059,15.892435519999935,0.9257812500000001,0.30534558800421896,0.5826886680660336,0.26685520045052646,0.16142300345745167,3.5291998191997407,0.04073997018204701,0.05613986413934137,277,-0.48388306646811385,0.9078600428145644,0
0.18337187059886023,8,24,0.0,0.0277974975396262,0.9877997374876708,0.8543689320388349,0.00990432491226318,685,-0.19363835005596827,14.29348112699995,0.9804687500000001,0.4713732602598215,0.9519614180025125,0.41377298232762927,0.26666932384626885,4.6147837574125,0.063439903934472,0.03831350575956171,685,-0.21685548192373233,0.9957289888095814,0
0.23137368309519463,16,32,0.0,0.13353388558422216,0.9836175411996345,0.6796116504854369,0.004933558353283827,1805,0.938011551707873,14.876415236999947,1.0000000000000002,1.12956752752266,1.3944353331033539,0.9499287586371666,0.4535013102531351,5.311694775768252,0.1493413351831961,0.0640723951088265,1805,0.05711827272990229,0.9999988328534852,0
0.31683398260795503,24,40,0.0,0.46097738108055936,0.9646249781504829,0.46601941747572817,0.004443720398666957,1805,1.8278663753225135,15.42984714299996,1.0000000000000002,2.3698335305042333,2.9660619486838367,1.9592336209249777,0.6612226045615734,5.416263325775679,0.1642776772191763,0.07809060019980393,1805,0.2739787955808687,0.9999999926634212,0
2.671594632746801e-16,0,16,0.0,0.0,1.0,1.0,0.9999999999999998,117,-1.0985854351622064,10.59294907399999,0.5390625000000001,3.053066837122657e-16,4.1227140714782654e-16,2.976772396247486e-16,0.0,2.2204460492503136e-16,0.0,0.0,117,-1.0985854351622064,0.5390625000000001,1
0.048990260836489566,2,18,0.0,0.021272194151220402,0.9964435045509945,0.9514563106796117,0.4166506536986702,863,-0.8440174983360247,10.480963954000003,0.8476562500000001,0.1158115768592802,0.1829657876342296,0.10244731365472208,0.055374940818157414,0.8755071692155859,0.02652288313305713,0.03248981576389548,863,-0.8534865488349996,0.8701868773112147,1
0.08787376631143931,4,20,0.0,0.06464630153390995,0.9947860694166589,0.941747572815534,0.1387725036670334,1695,-0.548654184344736,10.23793220999994,0.9257812500000001,0.20589757028282213,0.30433626108113115,0.1822928094885456,0.11928887857345406,1.9749193509155092,0.030896902259243148,0.02672837395310707,1695,-0.6357484117703793,0.9191279116158817,1
0.12984962996587543,8,24,0.9854004254313162,0.18336540762747255,0.9957864302409127,0.9223300970873787,0.036975943685677526,927,-0.237402950570741,10.346662675000061,1.0000000000000002,0.48868866021365087,0.7569766390408141,0.4169208541640958,0.2618570632893074,3.2974877484478773,0.05644889043308129,0.06816245285348974,879,-0.41864413952793555,0.9965923996549358,1
0.48534690803599073,16,32,1.613174632153684,0.29673037727946716,0.9634659044884814,0.47572815533980584,0.010059448978500127,1823,1.3212630612688914,10.397613788000058,1.0000000000000002,2.495744041161104,2.9647765784174887,2.093664614536082,0.8611059167308973,4.599242889319601,0.2191171958136052,0.13522938127407555,306,-0.04385913193683445,0.9998863829358856,1
0.71334599526874,24,40,1.3396863387495106,0.04078136365651814,0.9495069316912438,0.42718446601941745,0.0050173625918950625,1823,1.892796120907283,10.523403498999983,1.0000000000000002,3.17897378121578,3.8488596031810163,2.6858482240263717,0.938950383797046,5.294850863439568,0.1877210094725227,0.11055035365011913,1695,0.1121925994179331,0.9999998985473415,1
2.5826120250268973e-16,0,16,0.0,0.0,1.0,1.0,0.9999999999999998,149,-0.6828701952084395,10.922811800999966,0.5898437500000001,3.084658858661842e-16,3.5851678610526704e-16,2.984249491934853e-16,0.0,2.2204460492503136e-16,0.0,0.0,149,-0.6828701952084395,0.5898437500000001,2
0.07931876281146386,3,19,0.0,0.10061629396975601,0.9967124505512301,0.8932038834951457,0.27205606481190686,149,-0.16098235311773346,14.711217739000062,0.9101562500000001,0.12378067866218706,0.2375337422959435,0.11488829549204241,0.08834693413466034,1.3017471132940681,0.041986777114408534,0.02787193974898851,149,-0.13518838774326516,0.9150143380313454,2
0.0750225392250521,4,20,0.0,0.03397517296649621,0.9970109036516318,0.8932038834951457,0.17630623225999592,149,0.0678222545667658,10.112190392000002,0.9804687500000001,0.2191279692942833,0.3343137714426044,0.19030688328043707,0.10848256919238677,1.735532839891175,0.02603856398947349,0.04614454699092318,149,-0.015329056069146002,0.9568277625067426,2
0.14461089531887528,8,24,2.115467714640174,0.0632653491091431,0.9965471817330259,0.970873786407767,0.05100885483364103,2012,0.4606983820141341,9.81054464400006,1.0000000000000002,0.3846491082559178,0.4968781976390109,0.33664146566850933,0.22162448620280828,2.9757560371397065,0.023249264403969017,0.019860188591405464,413,0.2835256196020517,0.9990023936373993,2
0.4512554945823215,16,32,1.1936291762943696,0.3264326174832179,0.986165356783505,0.7281553398058253,0.012398676956562785,317,1.6710658543477455,9.893938169999956,1.0000000000000002,1.85580062540962,2.1249370457133203,1.5748915992441606,0.6460563186897482,4.39016550911507,0.0827927666176917,0.03687649850909012,1725,0.6395374812880017,0.999998311015372,2
0.6049426692477173,24,40,1.1936291762943696,1.1760826020986337,0.9624879161352842,0.5728155339805825,0.006139259577331869,317,2.2069505731017776,10.934481296999934,1.0000000000000002,2.5496723786602895,3.12342183717328,2.1607264367777756,0.7633184045447734,5.0930511341057425,0.07127268283300722,0.024817754740904537,1725,0.9050592409575506,0.999999996775037,2
