action_key,composition_key,node_index,normalized_formula
current-nlr-pbe-gw-v1:gw:matdb:000290046,current-nlr-pbe-gw-v1:composition:3c5ff93660dc57332917f7482e44b90b03c2716f833695572a524439675ffb8c,1565,Mg O3 Ti
current-nlr-pbe-gw-v1:gw:matdb:000290025,current-nlr-pbe-gw-v1:composition:6a06915f556185f18f20f52ffbb13227db9f17a54d27214bb72b66013223e8f8,1571,Mg O5 Ti2
current-nlr-pbe-gw-v1:gw:matdb:000289987,current-nlr-pbe-gw-v1:composition:86ae630f155319e2ffa9150ff15eaf5901897b45f3ab3177fe65a460f8a0116f,1576,Mg O6 Sb2
current-nlr-pbe-gw-v1:gw:matdb:000010136,current-nlr-pbe-gw-v1:composition:21ee7a9bf7f15a7231cf0b1c71d6f053e3f7ed2a8b47d213bc40ea071954ccd7,1584,Mg2 O4 Sn
current-nlr-pbe-gw-v1:gw:matdb:000290107,current-nlr-pbe-gw-v1:composition:2516cf0e4ce0e0b2e122a48cee7a103036602ea8cb2224e9b8462da16cb7afea,1585,Mg2 O4 Ti
current-nlr-pbe-gw-v1:gw:matdb:000011392,current-nlr-pbe-gw-v1:composition:6269044c8608d9d3ef8712f5ec51fa3280b911b4337b537b16bdd5d05a83b913,1609,Mn Ni O3
current-nlr-pbe-gw-v1:gw:matdb:000011288,current-nlr-pbe-gw-v1:composition:af0fb650417ab17bb035dadc58a5e3efacf379effdd7519d5d2ccf4ae7a71299,1610,Mn Ni O4 Sn
current-nlr-pbe-gw-v1:gw:matdb:000011066,current-nlr-pbe-gw-v1:composition:b4e944674726ab28d9a04d7e5575696e5657a7b4e3a6d1eecf566be75b252df0,1612,Mn O
current-nlr-pbe-gw-v1:gw:matdb:000011962,current-nlr-pbe-gw-v1:composition:221acb7dd81344f6c0ff320bfbd824eb830d5710083eea7cd8c2a1c25050d098,1613,Mn O2
current-nlr-pbe-gw-v1:gw:matdb:000011961,current-nlr-pbe-gw-v1:composition:268ab60b93b3f19bdc5011f074857c2f19000fc09f061e7155f392440b74f9cd,1644,Mn2 Ni O4
current-nlr-pbe-gw-v1:gw:matdb:000010195,current-nlr-pbe-gw-v1:composition:b131adad3ee902c0d41a0eb1e2f1e624ea84641f0a4879cb7133c17322fc25f0,1647,Mn2 O4 Sn
current-nlr-pbe-gw-v1:gw:matdb:000011568,current-nlr-pbe-gw-v1:composition:4c4e90b9edcff5efcce24afd5be6ccaeca1472e69472066d08e8d4b117cc2bb2,1649,Mn2 O4 Zn
current-nlr-pbe-gw-v1:gw:matdb:000011727,current-nlr-pbe-gw-v1:composition:e8d70f827b0541218641cc882e122c09a707ede9dcc257f750ec40959acf38c6,1663,Mn3 O4
current-nlr-pbe-gw-v1:gw:matdb:000290117,current-nlr-pbe-gw-v1:composition:ca0db7e34795e775eb3e2843b651448636c1b51afb754d031de0d9be193c8c95,1765,Na O
current-nlr-pbe-gw-v1:gw:matdb:000290129,current-nlr-pbe-gw-v1:composition:41f23ca406a1edb6e60887dd69b6783e1373c7cef38f141bbe5eed69d37425b4,1797,Na2 O
current-nlr-pbe-gw-v1:gw:matdb:000287048,current-nlr-pbe-gw-v1:composition:56b66de969f5425f01d3fda9d6ff0bbe65d71a831a23a553a07da483e9164e3e,1864,Nb O4 Sb
current-nlr-pbe-gw-v1:gw:matdb:000290272,current-nlr-pbe-gw-v1:composition:445a6d2f821f332ca85329eac4cc2282c242e15fda1c7903dd0be20166bd8526,1866,Nb O4 Y
current-nlr-pbe-gw-v1:gw:matdb:000290153,current-nlr-pbe-gw-v1:composition:cd7fd14df01a62f71d5f19833c1124151add66c2f0b724a9c63da65423d587af,1875,Nb2 O5
current-nlr-pbe-gw-v1:gw:matdb:000290207,current-nlr-pbe-gw-v1:composition:dffd4d6571406db75c12791cf040ef05aaf604e17653d91f003841a9fca899a9,1880,Nb2 O7 Sr2
current-nlr-pbe-gw-v1:gw:matdb:000010543,current-nlr-pbe-gw-v1:composition:7a3eabfe8b7ca6f397d3929015ae41c47c511b789d7e5e71db6d2458a25c4e51,1895,Ni O
current-nlr-pbe-gw-v1:gw:matdb:000290197,current-nlr-pbe-gw-v1:composition:807cc57aee20386a0ef7a332b177eba0accfb93c611963a86dd3297585e7d4d9,1899,Ni O3 Sn
current-nlr-pbe-gw-v1:gw:matdb:000290146,current-nlr-pbe-gw-v1:composition:e847d0b70ebd40c24bc832c65fe0e3cebb15abe36414cf756fbf685411b119c0,1911,Ni2 O4 Sn
current-nlr-pbe-gw-v1:gw:matdb:000010765,current-nlr-pbe-gw-v1:composition:9cd038ca976f4fbe652e141cc0b6514052d980836a420a8ece0ada117fbf2742,1918,O Pb
current-nlr-pbe-gw-v1:gw:matdb:000010256,current-nlr-pbe-gw-v1:composition:9e0a98f1ad78301737ece547c76bca46f0acd1e75860d9ab7a1f86f77ab2262d,1926,O Sn
current-nlr-pbe-gw-v1:gw:matdb:000010290,current-nlr-pbe-gw-v1:composition:e9fac0e23e5ce1ebd3bc10bf3b11f3bd7fb2a80c11a0fb84602f0b96e4d11dd7,1927,O Sr
current-nlr-pbe-gw-v1:gw:matdb:000010337,current-nlr-pbe-gw-v1:composition:d656df65544a911e926cbde008ed17c82762e94b97ba1cbb1c6c338e99b22aea,1932,O Zn
current-nlr-pbe-gw-v1:gw:matdb:000011873,current-nlr-pbe-gw-v1:composition:6523928fd5485073bec2572e48b522da25bd00f3652e39046494f288b07c5947,1970,O2 Sb
current-nlr-pbe-gw-v1:gw:matdb:000010579,current-nlr-pbe-gw-v1:composition:c6b7c80f6a092448302c44b2537d521ef887cdfbf3e1273379b1d5b8c6059c38,1971,O2 Si
current-nlr-pbe-gw-v1:gw:matdb:000010269,current-nlr-pbe-gw-v1:composition:db5b698b45b68b29f6dd2ae7bffb551404d870e3f7a5487f11c8d94ec5de96ab,1972,O2 Sn
current-nlr-pbe-gw-v1:gw:matdb:000010851,current-nlr-pbe-gw-v1:composition:8818fb90b5fd735e55c087b0ff3ce1e6d7d6532a6edde721fffc7f10f450116f,1976,O2 Ti
current-nlr-pbe-gw-v1:gw:matdb:000010666,current-nlr-pbe-gw-v1:composition:a1c685c1453f513ce471dcab834bdb02bff03664fe3832750539876a25e4c4a5,1977,O2 V
current-nlr-pbe-gw-v1:gw:matdb:000290368,current-nlr-pbe-gw-v1:composition:5d0ea1f6172ad9cbd6e4a01437ad059705a6dc20ae42dc21832c71c062cbd8f3,1980,O2 Zr
current-nlr-pbe-gw-v1:gw:matdb:000011153,current-nlr-pbe-gw-v1:composition:ce6436ee93264c9a54289bd2877d5561d1cb1f2e6c30314e08f0686c4cea7278,2005,O3 Sc2
current-nlr-pbe-gw-v1:gw:matdb:000290229,current-nlr-pbe-gw-v1:composition:944c8f8cd67b95c3b5199346f1943c850061573da22345b2299747a28c5220a0,2008,O3 Sn Sr
current-nlr-pbe-gw-v1:gw:matdb:000010842,current-nlr-pbe-gw-v1:composition:db3c48da7555b77beb14417148c475775893564b81530a1b419ae81574e473a1,2011,O3 Sr Ti
current-nlr-pbe-gw-v1:gw:matdb:000010309,current-nlr-pbe-gw-v1:composition:e5c547362e6df680ab02207e9e7e2d24a8cf7d03858bb2692f48982dd3fc1d49,2017,O3 V2
current-nlr-pbe-gw-v1:gw:matdb:000287088,current-nlr-pbe-gw-v1:composition:f510081ca74621711b1e5951e887198ea25fb01f19f3a4599d2747f79fb8b133,2019,O3 W
current-nlr-pbe-gw-v1:gw:matdb:000290273,current-nlr-pbe-gw-v1:composition:0b46b8eb4c17a67610c210cd2bc9981f146910d74b9a54439cabadda691905bd,2020,O3 Y2
current-nlr-pbe-gw-v1:gw:matdb:000287053,current-nlr-pbe-gw-v1:composition:9667c15ce567055fdafbd690b9ba55da86fb9ae013fef0f61dc4bd3a5ab8c7be,2037,O4 Sb Ta
current-nlr-pbe-gw-v1:gw:matdb:000010890,current-nlr-pbe-gw-v1:composition:c407ea9a95e387a787573e935bf9c128cc811abbb967096e5854c5c1decfd13e,2038,O4 Sb2 Zn
current-nlr-pbe-gw-v1:gw:matdb:000287083,current-nlr-pbe-gw-v1:composition:9ebb877b86f2d8fc73c4a77d41570fba1b9d4e08f2bb29c67d8d23fb8a0d47c4,2046,O4 Sn W
current-nlr-pbe-gw-v1:gw:matdb:000010746,current-nlr-pbe-gw-v1:composition:80b7cc6422cf634046c330ceb728b05bb6f0cd7a785f925a96c8cd52bc682828,2047,O4 Sn Zn2
current-nlr-pbe-gw-v1:gw:matdb:000011761,current-nlr-pbe-gw-v1:composition:24757342d3b731ecdd8b2cf0b36462ddd67bec8b1ad8d7fc28f9682a91b0aaa5,2048,O4 Sn2 Ti
current-nlr-pbe-gw-v1:gw:matdb:000290216,current-nlr-pbe-gw-v1:composition:3d0b667c635dafe3a01ab8909d158c99d890de7eee2f2d9cbb6185a8cfa64d30,2053,O4 Sr2 Ti
current-nlr-pbe-gw-v1:gw:matdb:000290238,current-nlr-pbe-gw-v1:composition:bedd57af60c5499a507c3979375b2d6b7167771f356f8a51729c6317ffc8a93e,2055,O4 Ta Y
current-nlr-pbe-gw-v1:gw:matdb:000010902,current-nlr-pbe-gw-v1:composition:0804a5015e09a262534668d8e3b353feb22bcd75e0580f6c1ad59becfd43f428,2056,O4 Ti Zn2
current-nlr-pbe-gw-v1:gw:matdb:000010790,current-nlr-pbe-gw-v1:composition:64ad867f1a1df0fe15fd01b303015da90c0b0a4a46214d321f46b6a441d8745b,2063,O5 Sb2
current-nlr-pbe-gw-v1:gw:matdb:000290276,current-nlr-pbe-gw-v1:composition:272b230cf078617ce2d25967a55809d51db6826418828942d6d94ac5c659ef47,2071,O5 Ta2
current-nlr-pbe-gw-v1:gw:matdb:000010678,current-nlr-pbe-gw-v1:composition:7fb433cc270031b27c46fcbe64875fa65a34cbb5645b45b7534b5ade767795de,2075,O5 V2
current-nlr-pbe-gw-v1:gw:matdb:000290154,current-nlr-pbe-gw-v1:composition:710310030e1a7b9e355494bfc330f9376d969e6ae71b76886675c7b12bce6dbe,2086,O6 Sb2 Sr
current-nlr-pbe-gw-v1:gw:matdb:000011210,current-nlr-pbe-gw-v1:composition:102b8e62de719f1a8339acfed01ad117664f9e2374a557fabf9c86b3f71fea13,2087,O6 Sb2 Zn
current-nlr-pbe-gw-v1:gw:matdb:000290236,current-nlr-pbe-gw-v1:composition:d887f58cd09bbcad3a926842eb6afd7ad03508335f956512244e5600fc29a0b3,2112,O7 Sr2 Ta2
current-nlr-pbe-gw-v1:gw:matdb:000290308,current-nlr-pbe-gw-v1:composition:25d66f188a2f1cd5cfa180a38337a398e7a86e6428f5dd42b5d6a28a2168c022,2124,O7 Y2 Zr2
