autodiff_envelope_max_abs,beta,conditional_ess_from_beta0,count,entropy_effective_fraction,ess_fraction,finite_difference_max_abs,largest_shift_coordinates,largest_standardized_mean_shifts,mass_count_50,mass_count_90,mass_count_99,maximum_weight,point,seed,torch_gradient_max_abs,torch_value_abs
1.7763568394002505e-15,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,4.492055616367452e-10,"[4, 11, 2, 0, 6]","[1.1190926445539813e-15, 9.065273369516869e-16, 8.142037236313323e-16, 4.487679544496485e-16, 3.0111206497957895e-16]",128,231,254,0.003906250000000001,map,0,7.549516567451064e-15,1.5543122344752192e-15
2.1094237467877974e-15,0.25,0.925680452445535,16,0.9571482126705566,0.925680452445535,5.695643956471486e-10,"[1, 7, 2, 11, 6]","[0.15355836271595108, 0.143454919212425, 0.11181187805893077, 0.09130710221777696, 0.08754456039473388]",101,210,249,0.005723600687331252,map,0,6.217248937900877e-15,3.552713678800501e-15
2.220446049250313e-15,0.5,0.8049188929883775,16,0.8730147475769989,0.8049188929883775,6.628977367029165e-10,"[7, 1, 2, 11, 6]","[0.2591938596619064, 0.25050769235215614, 0.20163450486119985, 0.176356292436046, 0.1697025838980564]",83,187,242,0.007763181009699164,map,0,3.1086244689504383e-15,0.0
2.6645352591003757e-15,0.75,0.6980096873449564,16,0.785656210860934,0.6980096873449563,6.206377634043747e-10,"[7, 1, 2, 11, 6]","[0.34945471854088334, 0.30976442392415876, 0.27147827313680056, 0.25098688311474543, 0.2419483007855917]",69,166,230,0.00999654337020375,map,0,2.220446049250313e-15,0.0
8.881784197001252e-16,1.0,0.6117228298685429,16,0.707794503193372,0.6117228298685429,6.920046757841192e-10,"[7, 1, 2, 11, 6]","[0.41985559932886163, 0.34488752821262836, 0.3254303641482133, 0.31582645965533623, 0.30411928753312356]",60,149,216,0.012418567765460986,map,0,2.220446049250313e-15,0.0
3.677613769070831e-16,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,9.774184794864027e-10,"[4, 11, 2, 0, 6]","[1.1190926445539813e-15, 9.065273369516869e-16, 8.142037236313323e-16, 4.487679544496485e-16, 3.0111206497957895e-16]",128,231,254,0.003906250000000001,teacher,0,1.7763568394002505e-15,2.220446049250313e-16
1.27675647831893e-15,0.25,0.9736868042234267,16,0.9857044910369992,0.9736868042234267,7.784280997569226e-10,"[11, 9, 7, 4, 5]","[0.13171810414853177, 0.07377362310462844, 0.06992569492595854, 0.06431088176588366, 0.06334183099802831]",113,221,251,0.005314693959697452,teacher,0,2.220446049250313e-15,0.0
9.992007221626409e-16,0.5,0.9153284353208692,16,0.9516343435470287,0.9153284353208693,8.159091180459654e-10,"[11, 9, 7, 5, 1]","[0.24380858394434954, 0.1294111040612886, 0.1285299647193117, 0.11260129200929508, 0.10866785707213328]",99,210,248,0.007040698904864917,teacher,0,1.7763568394002505e-15,0.0
1.7763568394002505e-15,0.75,0.8406949029365112,16,0.9057734728904792,0.8406949029365114,8.354171798785615e-10,"[11, 7, 9, 1, 5]","[0.34265076085906676, 0.17818924459029267, 0.17391188090446197, 0.16090701170513094, 0.1531153874955054]",87,200,244,0.009127627815032693,teacher,0,2.6645352591003757e-15,1.2212453270876722e-15
1.5543122344752192e-15,1.0,0.7579873450262322,16,0.8524344471928598,0.7579873450262321,4.6519221807983513e-10,"[11, 7, 1, 9, 5]","[0.43186109767994035, 0.22064645932146543, 0.21300684148259713, 0.2113484212236158, 0.18807095430044754]",76,189,239,0.011615782295105879,teacher,0,1.7763568394002505e-15,0.0
1.7763568394002505e-15,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,9.531651024019538e-10,"[4, 11, 2, 0, 6]","[1.1190926445539813e-15, 9.065273369516869e-16, 8.142037236313323e-16, 4.487679544496485e-16, 3.0111206497957895e-16]",128,231,254,0.003906250000000001,midpoint,0,3.108624468950438e-14,8.881784197001252e-16
8.881784197001252e-16,0.25,0.9177270617919553,16,0.9468431091957296,0.9177270617919551,1.014231809648436e-09,"[7, 1, 2, 0, 11]","[0.19236575995505042, 0.1771956635399184, 0.1026058420601202, 0.09697433253770911, 0.09517920873292447]",103,205,244,0.005803432876249625,midpoint,0,3.3306690738754696e-15,0.0
3.219646771412954e-15,0.5,0.8189758496744763,16,0.8725110047414274,0.8189758496744763,1.1094973828562615e-09,"[7, 1, 2, 11, 6]","[0.2929816890020098, 0.25950431712835215, 0.1872324688671832, 0.16848952333896103, 0.15682655170106455]",87,186,233,0.007912676945305326,midpoint,0,4.440892098500626e-15,0.0
1.2212453270876722e-15,0.75,0.7328740793065204,16,0.8036957348822008,0.7328740793065204,1.0194822763764932e-09,"[7, 1, 2, 11, 6]","[0.36063813134986294, 0.30353022640637595, 0.25685111840295977, 0.2344631346363725, 0.23430177788916692]",75,171,223,0.010333315882805928,midpoint,0,2.6645352591003757e-15,1.1102230246251565e-15
1.9984014443252818e-15,1.0,0.6573500529670518,16,0.7417746652831824,0.6573500529670517,1.0310001741231645e-09,"[7, 1, 2, 6, 11]","[0.4120878901741924, 0.32790717326874785, 0.314746362797211, 0.30269617921276404, 0.29587232682676745]",66,159,213,0.013126771651093381,midpoint,0,5.329070518200751e-15,8.881784197001252e-16
7.815970093361102e-13,0.0,0.9999999999999998,40,1.0000000000000007,0.9999999999999998,1.4438323514553986e-07,"[9, 6, 7, 3, 5]","[8.94348163992973e-15, 4.671401302540261e-15, 4.2936485328269944e-15, 4.135917978225575e-15, 3.4809249455381618e-15]",128,231,254,0.003906250000000001,map,0,1.7337242752546445e-12,1.163513729807164e-13
7.407408020299044e-13,0.25,0.9992492953672114,40,0.9996298269387603,0.9992492953672114,1.431799754314511e-07,"[7, 8, 0, 9, 6]","[0.016745862832128398, 0.015475353574002298, 0.013138164662790977, 0.012571889199292056, 0.01256040003809266]",126,230,254,0.004501525292596278,map,0,2.2026824808563106e-12,1.1723955140041653e-13
7.602807272633072e-13,0.5,0.9968671548777255,40,0.9984777624760832,0.9968671548777257,1.4229303868518173e-07,"[7, 8, 0, 9, 6]","[0.03400476123417544, 0.03142999858610063, 0.026517779540628197, 0.025584772908145467, 0.025396874726344523]",123,229,254,0.005183620578284937,map,0,1.4495071809506044e-12,1.1191048088221578e-13
5.124789481669723e-13,0.75,0.9926366651520537,40,0.9964772750490372,0.9926366651520537,1.4114480784144234e-07,"[7, 8, 0, 9, 6]","[0.05181415051417938, 0.04789686154534381, 0.040147073211172, 0.0390734522943032, 0.038520137859560676]",121,228,254,0.00596439405511236,map,0,2.6005864128819667e-12,1.1146639167236572e-13
3.836930773104541e-13,1.0,0.9863097972650097,40,0.9935560026879395,0.9863097972650097,1.3996046899222847e-07,"[7, 8, 0, 9, 6]","[0.07021449353420271, 0.0649111523853982, 0.054034242370915926, 0.05307596114743998, 0.05194108380035963]",118,227,253,0.006857150206619353,map,0,1.2567724638756772e-12,1.1102230246251565e-13
2.8554936193359026e-13,0.0,0.9999999999999998,40,1.0000000000000007,0.9999999999999998,6.01053207205382e-08,"[9, 6, 7, 3, 5]","[8.94348163992973e-15, 4.671401302540261e-15, 4.2936485328269944e-15, 4.135917978225575e-15, 3.4809249455381618e-15]",128,231,254,0.003906250000000001,teacher,0,2.3661073100811336e-12,1.2145839889399213e-13
1.5987211554602254e-14,0.25,0.9978431429358973,40,0.9989284982608613,0.9978431429358973,5.913965006598687e-08,"[1, 8, 7, 0, 9]","[0.028202004424280742, 0.02803130846185662, 0.02535569894636083, 0.02465779421160866, 0.023528480295331316]",124,229,254,0.004660750758055112,teacher,0,1.9895196601282805e-12,1.1013412404281553e-13
2.0961010704922955e-13,0.5,0.9912066191473202,40,0.9956601911885717,0.9912066191473202,5.9119241502259e-08,"[8, 1, 7, 0, 9]","[0.05673830070169287, 0.05630773652886515, 0.05107999400112879, 0.049436383419545586, 0.04771654268873206]",119,227,253,0.00554899074318468,teacher,0,2.5863755581667647e-12,1.0480505352461478e-13
8.171241461241152e-14,0.75,0.979836493285614,40,0.9901148901226,0.979836493285614,5.846283857025014e-08,"[8, 1, 7, 0, 9]","[0.08616634239240513, 0.08427964925684503, 0.07722448466804066, 0.07431981049692626, 0.07261411967853057]",115,224,253,0.006591947428461078,teacher,0,1.6910917111090384e-12,9.481304630298837e-14
7.194245199571014e-14,1.0,0.9634773172156604,40,0.9822136960644652,0.9634773172156604,5.7939537168039124e-08,"[8, 1, 7, 0, 9]","[0.11636343298600968, 0.11207697941308643, 0.10384579359040634, 0.09929067100680355, 0.09827627663379632]",110,222,253,0.00781325789576466,teacher,0,1.8758328224066645e-12,8.615330671091215e-14
2.3225865675158275e-13,0.0,0.9999999999999998,40,1.0000000000000007,0.9999999999999998,6.192735568788521e-08,"[9, 6, 7, 3, 5]","[8.94348163992973e-15, 4.671401302540261e-15, 4.2936485328269944e-15, 4.135917978225575e-15, 3.4809249455381618e-15]",128,231,254,0.003906250000000001,midpoint,0,2.3305801732931286e-12,1.3988810110276972e-14
1.0054179711005418e-12,0.25,0.998627505033066,40,0.9993207416999904,0.9986275050330662,6.126228768721376e-08,"[8, 7, 1, 0, 9]","[0.02300534857550412, 0.021545775869629438, 0.019525389622204996, 0.019379128194708356, 0.019176023044297684]",125,229,254,0.0045896619990294495,midpoint,0,2.7426949600339867e-12,1.4210854715202004e-14
