absolute_regret,acquisition_signature_entropy_rank,active_log_lengthscale_w1,budget,count,design_attempts,design_cache_builds,diagnostic_factorizations,distance_to_teacher,elapsed_seconds,factorization_equivalents,factorization_equivalents_per_particle,final_beta,final_x,inactive_log_lengthscale_w1,max_log_lengthscale_w1,mean_log_lengthscale_w1,method,normalized_regret,particles,post_initialization_elapsed_seconds,post_initialization_factorizations_per_particle,posterior_mmd,repeat,seed,shared_initialization_elapsed_seconds,structural_steps,teacher_ei_at_method,teacher_optimum_ei,teacher_reference_strengthened
0.2553122007906041,,,0,16,,,,1.4088880359069342,,,,,"[1.0, 0.0, 0.8261865616238129, 0.48223938214909007, 0.570117337899251, 0.6265031150334075, 0.07513202304360017, 0.07603422296331579, 0.5586838513121869, 0.17975034194770126]",,,,map,0.4238083326173446,1,,,,0,0,,,0.34711153923794513,0.6024237400285493,
0.26273186272965887,1.2399696949409846,0.9385948705550298,32,16,32,8,8,1.9725081004877514,33.69796238999993,448,56,0.0,"[1.0, 0.0, 0.36621852366247, 1.0, 0.8755578614770555, 0.23538304175332733, 0.0, 0.09838176254485179, 0.9979317068903997, 0.47897170531911715]",1.3426475629822734,1.571024895099337,1.2618370244968247,posterior,0.43612468312953245,8,12.641453229000035,40,0.6362573163050897,0,0,21.056509160999894,32,0.3396918772988904,0.6024237400285493,False
0.29409941735750966,1.2247096368548018,0.9468470535211271,32,16,32,8,8,1.549350573925353,35.078021693999744,448,56,1.0,"[1.0, 0.0, 0.5761146481401915, 0.49226999700242724, 0.49324130220060597, 0.7932497078519233, 0.054617256583662316, 0.07069570215729923, 0.4050020019655533, 0.4906532704997386]",1.3212921251959369,1.561804728849457,1.246403110860975,decision,0.4881936049591474,8,14.02151253299985,40,0.6328448145869353,0,0,21.056509160999894,32,0.3083243226710396,0.6024237400285493,False
0.23580263204227048,1.231561473374442,0.7384344026894218,32,16,32,8,8,2.1453947448135393,15.920530953000025,448,56,0.0,"[1.0, 0.0, 0.0, 1.0, 0.970794560583448, 0.22410755881371677, 0.0, 0.021546604159150155, 0.9989467629267462, 0.4474996180222283]",1.3400334390706308,1.612595932698135,1.219713631794389,posterior,0.39142320658062985,8,5.798546356000088,40,0.612287106805493,1,0,10.121984596999937,32,0.3666211079862788,0.6024237400285493,False
0.24959887782398182,1.2264699493087416,0.7439019422730977,32,16,32,8,8,1.873563982399864,22.340113758999905,448,56,1.0,"[1.0, 0.0, 0.057721609889175025, 0.4805692041630426, 0.9755877732487556, 0.28628746324243853, 0.0, 0.12524978961646868, 0.9788337910651963, 0.5190576199053099]",1.3326868314809404,1.5930336071396378,1.2149298536393718,decision,0.41432443849598816,8,12.218129161999968,40,0.6093189152930967,1,0,10.121984596999937,32,0.35282486220456744,0.6024237400285493,False
0.2381880180027437,1.442177923800026,0.4432941655610263,32,16,32,8,8,2.135377083122559,15.904075361000196,448,56,0.0,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.2211551890531958, 0.0, 0.05037582681309574, 1.0, 0.4574723916387323]",0.9900040006043094,1.112946319777697,0.8806620335956528,posterior,0.39538285458580336,8,5.842249767000112,40,0.5216375079714587,2,0,10.061825594000084,32,0.36423572202580556,0.6024237400285493,False
0.26441143309628534,1.432127175181213,0.4553574253182464,32,16,32,8,8,1.8067974211983029,22.782150897000065,448,56,1.0,"[1.0, 0.0, 0.020023670679711524, 0.48629431939668977, 1.0, 0.7979224654384247, 0.0, 0.032303016579814346, 0.7579732830295497, 0.4781472839943192]",0.9910852316771012,1.113405312069499,0.8839396704053302,decision,0.4389127046748767,8,12.720325302999981,40,0.5257803860423235,2,0,10.061825594000084,32,0.3380123069322639,0.6024237400285493,False
0.19483389975976534,1.3746864571459267,0.9991064736922728,64,16,64,16,8,2.2391999774994034,30.250190501999896,768,96,0.0,"[1.0, 0.0, 0.0, 1.0, 0.5112391932722161, 0.0, 0.0, 0.0, 1.0, 0.21786816459047073]",1.370134022283219,1.5458397007053315,1.2959285125650297,posterior,0.3234167029183346,8,9.193681341000001,80,0.6414695152842284,0,0,21.056509160999894,64,0.4075898402687839,0.6024237400285493,False
0.29068570682067096,1.3327170493857818,1.0204972640182886,64,16,64,16,8,1.3148617486252658,43.73450125499994,768,96,1.0,"[0.9506330087830642, 0.0, 0.6660701513750712, 0.37282242901293317, 0.5490779903842917, 0.8132096497311238, 0.3178544850547983, 0.06516344044074367, 0.3619696945950778, 0.35459008307874257]",1.3443127790352307,1.5365719793672774,1.2795496760318423,decision,0.4825269781149315,8,22.677992094000047,80,0.6377679935864979,0,0,21.056509160999894,64,0.3117380332078783,0.6024237400285493,False
0.19146216679152323,1.2793147386938815,0.7968401530346159,64,16,64,16,8,2.1640014215486336,19.71028309799999,768,96,0.0,"[0.9897181892569864, 0.0, 0.0, 1.0, 0.9992196194106772, 0.04765823799274267, 0.0, 0.0, 1.0, 0.15330498437356435]",1.345755982537008,1.587525972645207,1.2359728166365298,posterior,0.3178197572068619,8,9.588298501000054,80,0.6391485135684878,1,0,10.121984596999937,64,0.41096157323702603,0.6024237400285493,False
