absolute_decision_regret,approximate_index,budget,count,exact_index_agreement,max_absolute_error,method,normalized_decision_regret,normalized_max_error,regret_bound_pass,regret_bound_slack,repetition,retained,rmse,seed,spearman,teacher_index,top5_overlap,twice_delta
0.10869093955802173,1985,4,16,False,0.23654178255562247,random_equal,0.25160828850740125,0.547569772708967,True,0.3643926255532232,0,4,0.044204460219523435,0,0.7834000187464104,365,0.6990291262135923,0.47308356511124494
0.03611267730853912,277,4,16,False,0.17189950324134295,random_equal,0.08359711460743371,0.397929578874771,True,0.3076863291741468,1,4,0.03289356334327203,0,0.9433183092526042,365,0.7572815533980582,0.3437990064826859
0.06250583959478762,5,4,16,False,0.32117169746104535,random_equal,0.1446945567506778,0.7434792765964869,True,0.5798375553273031,2,4,0.05234392562666404,0,0.9241190106370176,365,0.6504854368932039,0.6423433949220907
0.055429145828410575,1205,4,16,False,0.21725266837284093,random_equal,0.12831274227663306,0.5029174675022142,True,0.3790761909172713,3,4,0.04031471262344375,0,0.9041621484472511,365,0.6116504854368932,0.43450533674568187
0.03970495554057252,725,4,16,False,0.1466068648781602,random_equal,0.09191286734155946,0.33937973584024744,True,0.25350877421574786,4,4,0.03566493883956216,0,0.8360791053029253,365,0.6893203883495146,0.2932137297563204
0.04523836112295093,1229,4,16,False,0.20992774544548287,random_equal,0.10472212921620097,0.4859610281826577,True,0.3746171297680148,5,4,0.033103546843829226,0,0.95132673907992,365,0.7184466019417476,0.41985549089096574
0.011620062556325528,1565,4,16,False,0.15235834185172553,random_equal,0.02689924352512624,0.35269381044106546,True,0.29309662114712554,6,4,0.02744810269932713,0,0.9281680212458722,365,0.8349514563106796,0.30471668370345106
0.05179271537030028,777,4,16,False,0.1424985362867181,random_equal,0.11989478170363707,0.32986937987385195,True,0.23320435720313593,7,4,0.03547205008486561,0,0.8515818161004641,365,0.7766990291262136,0.2849970725734362
0.055429145828410575,1205,4,16,False,0.3491269907503123,random_equal,0.12831274227663306,0.8081928905171771,True,0.6428248356722139,8,4,0.06358893503067573,0,0.9309515234302638,365,0.6504854368932039,0.6982539815006246
0.11378941573930279,1421,4,16,False,0.14015442184501792,random_equal,0.2634107337819043,0.32444299727802556,True,0.16651942795073305,9,4,0.029294944150808584,0,0.8930006750004114,365,0.7766990291262136,0.28030884369003584
