absolute_decision_regret,added_observations,approximate_index,count,ess_fraction,exact_index_agreement,max_absolute_error,max_log_lengthscale_w1,mean_log_lengthscale_w1,mmd,negative_log_ess_fraction,normalized_decision_regret,normalized_max_error,regret_bound_pass,regret_bound_slack,rmse,saved_ei_spearman,saved_ei_top5_overlap,seed,spearman,teacher_index,top5_overlap,twice_delta
0.0,0,1565,16,0.9999999999999998,True,0.0,3.4195232813736154e-16,2.768635581082617e-16,0.0,2.2204460492503136e-16,0.0,0.0,True,0.0,0.0,1.0,1.0,0,1.0,1565,1.0,0.0
0.013875348327989034,2,1565,18,0.45572941551820445,False,0.022683723219045493,0.16643694606164308,0.11769221470457972,0.060259061763744674,0.7858560326129875,0.030042312308719277,0.049113829877442644,True,0.03149209811010195,0.005277164402261215,0.9938973178506955,0.970873786407767,0,0.9938973178506955,277,0.970873786407767,0.045367446438090986
0.0,4,277,20,0.029328374482385886,True,0.0676325878019508,0.5826886680660336,0.26685520045052646,0.16142300345745167,3.5291998191997407,0.0,0.11900946675673256,True,0.1352651756039016,0.012775969287265584,0.9779532969519908,0.970873786407767,0,0.9779532969519908,277,0.970873786407767,0.1352651756039016
0.0,8,685,24,0.00990432491226318,True,0.061925741963380576,0.9519614180025125,0.41377298232762927,0.26666932384626885,4.6147837574125,0.0,0.15238453848401198,True,0.12385148392676115,0.010059758488980754,0.9877997374876708,0.8543689320388349,0,0.9877997374876708,685,0.8543689320388349,0.12385148392676115
0.0,16,1805,32,0.004933558353283827,True,0.1282879454895452,1.3944353331033539,0.9499287586371666,0.4535013102531351,5.311694775768252,0.0,0.36203683367388245,True,0.2565758909790904,0.01834041671625886,0.9836175411996345,0.6796116504854369,0,0.9836175411996345,1805,0.6796116504854369,0.2565758909790904
0.0,24,1805,40,0.004443720398666957,True,0.1687263662304499,2.9660619486838367,1.9592336209249777,0.6612226045615734,5.416263325775679,0.0,1.042761562527753,True,0.3374527324608998,0.02187458655184653,0.9646249781504829,0.46601941747572817,0,0.9646249781504829,1805,0.46601941747572817,0.3374527324608998
0.0,0,117,16,0.9999999999999998,True,0.0,4.1227140714782654e-16,2.976772396247486e-16,0.0,2.2204460492503136e-16,0.0,0.0,True,0.0,0.0,1.0,1.0,1,1.0,117,1.0,0.0
0.0,2,863,18,0.4166506536986702,True,0.02020412004799732,0.1829657876342296,0.10244731365472208,0.055374940818157414,0.8755071692155859,0.0,0.04404126420949148,True,0.04040824009599464,0.004177833274056895,0.9964435045509945,0.9514563106796117,1,0.9964435045509945,863,0.9514563106796117,0.04040824009599464
0.0,4,1695,20,0.1387725036670334,True,0.04790450437841476,0.30433626108113115,0.1822928094885456,0.11928887857345406,1.9749193509155092,0.0,0.1445686231743267,True,0.09580900875682952,0.007963637081340832,0.9947860694166589,0.941747572815534,1,0.9947860694166589,1695,0.941747572815534,0.09580900875682952
0.03987570001140442,8,879,24,0.036975943685677526,False,0.08643463535988705,0.7569766390408141,0.4169208541640958,0.2618570632893074,3.2974877484478773,0.16084263563104753,0.34864277133985616,True,0.13299357070836967,0.01441830874895323,0.9957864302409127,0.9223300970873787,1,0.9957864302409127,927,0.9223300970873787,0.1728692707197741
0.3127867069573599,16,306,32,0.010059448978500127,False,0.218342322370741,2.9647765784174887,2.093664614536082,0.8611059167308973,4.599242889319601,0.9827298676326977,0.6859994903532304,True,0.12389793778412211,0.03776108036259343,0.9634659044884814,0.47572815533980584,1,0.9634659044884814,1823,0.47572815533980584,0.436684644741482
0.040774966263288664,24,1695,40,0.0050173625918950625,False,0.20440852868581322,3.8488596031810163,2.6858482240263717,0.938950383797046,5.294850863439568,0.192888388043986,0.9669666271716335,True,0.36804209110833774,0.030989400008373053,0.9495069316912438,0.42718446601941745,1,0.9495069316912438,1823,0.42718446601941745,0.40881705737162644
0.0,0,149,16,0.9999999999999998,True,0.0,3.5851678610526704e-16,2.984249491934853e-16,0.0,2.2204460492503136e-16,0.0,0.0,True,0.0,0.0,1.0,1.0,2,1.0,149,1.0,0.0
0.0,3,149,19,0.27205606481190686,True,0.041669576848761436,0.2375337422959435,0.11488829549204241,0.08834693413466034,1.3017471132940681,0.0,0.12220913115575983,True,0.08333915369752287,0.0071127105366112515,0.9967124505512301,0.8932038834951457,2,0.9967124505512301,149,0.8932038834951457,0.08333915369752287
0.0,4,149,20,0.17630623225999592,True,0.0249477903652658,0.3343137714426044,0.19030688328043707,0.10848256919238677,1.735532839891175,0.0,0.10774457383546196,True,0.0498955807305316,0.0071847033379101675,0.9970109036516318,0.8932038834951457,2,0.9970109036516318,149,0.8932038834951457,0.0498955807305316
0.0023757769507403437,8,413,24,0.05100885483364103,False,0.025583721919276076,0.4968781976390109,0.33664146566850933,0.22162448620280828,2.9757560371397065,0.015424746376176105,0.16610247095817557,True,0.04879166688781181,0.005801314581621994,0.9965471817330259,0.970873786407767,2,0.9965471817330259,2012,0.970873786407767,0.05116744383855215
0.003945525566878522,16,1725,32,0.012398676956562785,False,0.08046535314480442,2.1249370457133203,1.5748915992441606,0.6460563186897482,4.39016550911507,0.042796828719064914,0.8728018303228734,True,0.15698518072273032,0.013316408953463676,0.986165356783505,0.7281553398058253,2,0.986165356783505,317,0.7281553398058253,0.16093070628960884
0.00817908793744939,24,1725,40,0.006139259577331869,False,0.09058637585076476,3.12342183717328,2.1607264367777756,0.7633184045447734,5.0930511341057425,0.11672854753316961,1.2928111496318033,True,0.17299366376408012,0.01222879339095115,0.9624879161352842,0.5728155339805825,2,0.9624879161352842,317,0.5728155339805825,0.18117275170152952
