state_seed,sample_count,repetition,qmc_seed,selected_candidate,exact_best_selected,one_percent_optimal_selected,normalized_regret,pairwise_disagreement_top32,kendall_tau_top32,top32_overlap
4101,64,12,620112,12707,True,True,-0.0,0.046370967741935484,0.9072580645161292,0.9375
4101,128,12,620112,12707,True,True,-0.0,0.014112903225806451,0.9717741935483872,0.96875
4101,256,12,620112,12707,True,True,-0.0,0.014112903225806451,0.9717741935483872,0.96875
4101,512,12,620112,12707,True,True,-0.0,0.018145161290322582,0.963709677419355,1.0
4101,1024,12,620112,12707,True,True,-0.0,0.012096774193548387,0.9758064516129032,1.0
4101,64,13,620113,12707,True,True,-0.0,0.05241935483870968,0.8951612903225807,0.96875
4101,128,13,620113,12707,True,True,-0.0,0.046370967741935484,0.9072580645161292,0.96875
4101,256,13,620113,12707,True,True,-0.0,0.02620967741935484,0.9475806451612905,1.0
4101,512,13,620113,12707,True,True,-0.0,0.008064516129032258,0.9838709677419356,1.0
4101,1024,13,620113,12707,True,True,-0.0,0.008064516129032258,0.9838709677419356,1.0
4101,64,14,620114,12707,True,True,-0.0,0.046370967741935484,0.9072580645161292,0.90625
4101,128,14,620114,12707,True,True,-0.0,0.03225806451612903,0.935483870967742,0.96875
4101,256,14,620114,12707,True,True,-0.0,0.016129032258064516,0.9677419354838711,1.0
4101,512,14,620114,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,1024,14,620114,12707,True,True,-0.0,0.0020161290322580645,0.9959677419354841,1.0
4101,64,15,620115,12707,True,True,-0.0,0.06854838709677419,0.8629032258064517,0.96875
4101,128,15,620115,12707,True,True,-0.0,0.038306451612903226,0.9233870967741936,0.96875
4101,256,15,620115,12707,True,True,-0.0,0.02217741935483871,0.9556451612903226,1.0
4101,512,15,620115,12707,True,True,-0.0,0.004032258064516129,0.9919354838709679,1.0
4101,1024,15,620115,12707,True,True,-0.0,0.0020161290322580645,0.9959677419354841,1.0
4101,64,16,620116,12707,True,True,-0.0,0.056451612903225805,0.8870967741935486,0.90625
4101,128,16,620116,12707,True,True,-0.0,0.038306451612903226,0.9233870967741936,1.0
4101,256,16,620116,12707,True,True,-0.0,0.020161290322580645,0.9596774193548389,1.0
4101,512,16,620116,12707,True,True,-0.0,0.008064516129032258,0.9838709677419356,1.0
4101,1024,16,620116,12707,True,True,-0.0,0.008064516129032258,0.9838709677419356,1.0
4101,64,17,620117,12707,True,True,-0.0,0.05846774193548387,0.8830645161290324,0.96875
4101,128,17,620117,12707,True,True,-0.0,0.03225806451612903,0.935483870967742,0.96875
4101,256,17,620117,12707,True,True,-0.0,0.020161290322580645,0.9596774193548389,1.0
4101,512,17,620117,12707,True,True,-0.0,0.012096774193548387,0.9758064516129032,1.0
4101,1024,17,620117,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,64,18,620118,12707,True,True,-0.0,0.06048387096774194,0.8790322580645162,0.9375
4101,128,18,620118,12707,True,True,-0.0,0.02620967741935484,0.9475806451612905,0.96875
4101,256,18,620118,12707,True,True,-0.0,0.018145161290322582,0.963709677419355,1.0
4101,512,18,620118,12707,True,True,-0.0,0.008064516129032258,0.9838709677419356,1.0
4101,1024,18,620118,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,64,19,620119,12707,True,True,-0.0,0.04838709677419355,0.903225806451613,0.96875
4101,128,19,620119,12707,True,True,-0.0,0.036290322580645164,0.9274193548387099,0.96875
4101,256,19,620119,12707,True,True,-0.0,0.03024193548387097,0.9395161290322582,1.0
4101,512,19,620119,12707,True,True,-0.0,0.016129032258064516,0.9677419354838711,1.0
4101,1024,19,620119,12707,True,True,-0.0,0.018145161290322582,0.963709677419355,1.0
4101,64,20,620120,12707,True,True,-0.0,0.05241935483870968,0.8951612903225807,0.9375
4101,128,20,620120,12707,True,True,-0.0,0.03225806451612903,0.935483870967742,1.0
4101,256,20,620120,12707,True,True,-0.0,0.02217741935483871,0.9556451612903226,1.0
4101,512,20,620120,12707,True,True,-0.0,0.010080645161290322,0.9798387096774195,1.0
4101,1024,20,620120,12707,True,True,-0.0,0.004032258064516129,0.9919354838709679,1.0
4101,64,21,620121,12707,True,True,-0.0,0.0846774193548387,0.8306451612903227,0.90625
4101,128,21,620121,12707,True,True,-0.0,0.034274193548387094,0.931451612903226,0.96875
4101,256,21,620121,12707,True,True,-0.0,0.024193548387096774,0.9516129032258066,0.96875
4101,512,21,620121,12707,True,True,-0.0,0.020161290322580645,0.9596774193548389,0.96875
4101,1024,21,620121,12707,True,True,-0.0,0.010080645161290322,0.9798387096774195,1.0
4101,64,22,620122,12707,True,True,-0.0,0.04435483870967742,0.9112903225806452,0.875
4101,128,22,620122,12707,True,True,-0.0,0.034274193548387094,0.931451612903226,0.96875
4101,256,22,620122,12707,True,True,-0.0,0.016129032258064516,0.9677419354838711,0.96875
4101,512,22,620122,12707,True,True,-0.0,0.012096774193548387,0.9758064516129032,1.0
4101,1024,22,620122,12707,True,True,-0.0,0.008064516129032258,0.9838709677419356,1.0
4101,64,23,620123,12707,True,True,-0.0,0.06854838709677419,0.8629032258064517,0.9375
4101,128,23,620123,12707,True,True,-0.0,0.038306451612903226,0.9233870967741936,0.96875
4101,256,23,620123,12707,True,True,-0.0,0.024193548387096774,0.9516129032258066,1.0
4101,512,23,620123,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,1024,23,620123,12707,True,True,-0.0,0.004032258064516129,0.9919354838709679,1.0
4101,64,24,620124,12707,True,True,-0.0,0.07661290322580645,0.8467741935483872,0.96875
4101,128,24,620124,12707,True,True,-0.0,0.02217741935483871,0.9556451612903226,0.96875
4101,256,24,620124,12707,True,True,-0.0,0.02620967741935484,0.9475806451612905,1.0
4101,512,24,620124,12707,True,True,-0.0,0.016129032258064516,0.9677419354838711,1.0
4101,1024,24,620124,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,64,25,620125,12707,True,True,-0.0,0.07258064516129033,0.8548387096774194,0.96875
4101,128,25,620125,12707,True,True,-0.0,0.024193548387096774,0.9516129032258066,0.96875
4101,256,25,620125,12707,True,True,-0.0,0.016129032258064516,0.9677419354838711,1.0
4101,512,25,620125,12707,True,True,-0.0,0.012096774193548387,0.9758064516129032,1.0
4101,1024,25,620125,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,64,26,620126,12707,True,True,-0.0,0.08064516129032258,0.838709677419355,0.96875
4101,128,26,620126,12707,True,True,-0.0,0.056451612903225805,0.8870967741935486,0.96875
4101,256,26,620126,12707,True,True,-0.0,0.02620967741935484,0.9475806451612905,0.96875
4101,512,26,620126,12707,True,True,-0.0,0.012096774193548387,0.9758064516129032,0.96875
4101,1024,26,620126,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,64,27,620127,12707,True,True,-0.0,0.08064516129032258,0.838709677419355,0.875
4101,128,27,620127,12707,True,True,-0.0,0.056451612903225805,0.8870967741935486,0.90625
4101,256,27,620127,12707,True,True,-0.0,0.02217741935483871,0.9556451612903226,0.96875
4101,512,27,620127,12707,True,True,-0.0,0.014112903225806451,0.9717741935483872,0.96875
4101,1024,27,620127,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,64,28,620128,12707,True,True,-0.0,0.06854838709677419,0.8629032258064517,0.96875
4101,128,28,620128,12707,True,True,-0.0,0.05241935483870968,0.8951612903225807,0.96875
4101,256,28,620128,12707,True,True,-0.0,0.016129032258064516,0.9677419354838711,0.96875
4101,512,28,620128,12707,True,True,-0.0,0.010080645161290322,0.9798387096774195,0.96875
4101,1024,28,620128,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,64,29,620129,12707,True,True,-0.0,0.056451612903225805,0.8870967741935486,0.96875
4101,128,29,620129,12707,True,True,-0.0,0.03024193548387097,0.9395161290322582,0.9375
4101,256,29,620129,12707,True,True,-0.0,0.012096774193548387,0.9758064516129032,0.96875
4101,512,29,620129,12707,True,True,-0.0,0.012096774193548387,0.9758064516129032,1.0
4101,1024,29,620129,12707,True,True,-0.0,0.0020161290322580645,0.9959677419354841,1.0
4101,64,30,620130,12707,True,True,-0.0,0.05241935483870968,0.8951612903225807,1.0
4101,128,30,620130,12707,True,True,-0.0,0.036290322580645164,0.9274193548387099,1.0
4101,256,30,620130,12707,True,True,-0.0,0.016129032258064516,0.9677419354838711,1.0
4101,512,30,620130,12707,True,True,-0.0,0.010080645161290322,0.9798387096774195,1.0
4101,1024,30,620130,12707,True,True,-0.0,0.010080645161290322,0.9798387096774195,1.0
4101,64,31,620131,12707,True,True,-0.0,0.07862903225806452,0.8427419354838711,0.96875
4101,128,31,620131,12707,True,True,-0.0,0.028225806451612902,0.9435483870967742,1.0
4101,256,31,620131,12707,True,True,-0.0,0.014112903225806451,0.9717741935483872,1.0
4101,512,31,620131,12707,True,True,-0.0,0.012096774193548387,0.9758064516129032,1.0
4101,1024,31,620131,12707,True,True,-0.0,0.006048387096774193,0.9879032258064518,1.0
4101,64,32,620132,12707,True,True,-0.0,0.09879032258064516,0.8024193548387097,0.96875
4101,128,32,620132,12707,True,True,-0.0,0.04435483870967742,0.9112903225806452,0.96875
4101,256,32,620132,12707,True,True,-0.0,0.03024193548387097,0.9395161290322582,0.96875
4101,512,32,620132,12707,True,True,-0.0,0.018145161290322582,0.963709677419355,1.0
4101,1024,32,620132,12707,True,True,-0.0,0.008064516129032258,0.9838709677419356,1.0
4101,64,33,620133,12707,True,True,-0.0,0.0625,0.8750000000000001,0.84375
4101,128,33,620133,12707,True,True,-0.0,0.02217741935483871,0.9556451612903226,0.96875
