state_seed,sample_count,mean_normalized_regret,regret_lower_95,regret_upper_95,mean_pairwise_disagreement,pairwise_lower_95,pairwise_upper_95,exact_best_selection_probability,one_percent_optimal_probability,mean_kendall_tau,mean_top32_overlap
4101,64,0.0,0.0,0.0,0.061019405241935484,0.058121219758064516,0.06394909274193548,1.0,1.0,0.8779611895161291,0.94775390625
4101,128,0.0,0.0,0.0,0.03748739919354838,0.03521925403225806,0.03981854838709678,1.0,1.0,0.9250252016129032,0.970703125
4101,256,0.0,0.0,0.0,0.021389868951612902,0.02006678427419355,0.02271295362903226,1.0,1.0,0.9572202620967742,0.98681640625
4101,512,0.0,0.0,0.0,0.011529737903225807,0.010521673387096774,0.012569304435483871,1.0,1.0,0.9769405241935486,0.99560546875
4101,1024,0.0,0.0,0.0,0.0066154233870967735,0.0059223790322580645,0.007371471774193547,1.0,1.0,0.9867691532258066,1.0
4102,64,0.0,0.0,0.0,0.08344884072580645,0.07960559475806453,0.08722908266129031,1.0,1.0,0.8331023185483872,0.91357421875
4102,128,0.0,0.0,0.0,0.04816658266129033,0.045709425403225805,0.050655241935483875,1.0,1.0,0.9036668346774195,0.943359375
4102,256,0.0,0.0,0.0,0.030178931451612902,0.028572328629032258,0.031754032258064516,1.0,1.0,0.9396421370967744,0.9599609375
4102,512,0.0,0.0,0.0,0.019436743951612906,0.018145161290322582,0.020728326612903226,1.0,1.0,0.9611265120967744,0.96923828125
4102,1024,0.0,0.0,0.0,0.014049899193548387,0.01285282258064516,0.015278477822580645,1.0,1.0,0.9719002016129034,0.98486328125
4103,64,0.0,0.0,0.0,0.1715599798387097,0.16330645161290325,0.17981350806451613,1.0,1.0,0.6568800403225807,0.90478515625
4103,128,0.0,0.0,0.0,0.10994203629032259,0.10452368951612903,0.11536038306451613,1.0,1.0,0.780115927419355,0.94970703125
4103,256,0.0,0.0,0.0,0.0633820564516129,0.06057837701612903,0.06624873991935483,1.0,1.0,0.8732358870967742,0.97314453125
4103,512,0.0,0.0,0.0,0.04142515120967742,0.03937752016129033,0.04356728830645162,1.0,1.0,0.9171496975806454,0.978515625
4103,1024,0.0,0.0,0.0,0.02554813508064516,0.024067540322580648,0.02702872983870968,1.0,1.0,0.9489037298387097,0.98681640625
