state_seed,candidate_index,rank,quality,log_ei,ei,log_feasibility,feasibility,log_constrained_ei,constrained_ei,d2,chi_square,ess_fraction,top_1_percent,top_5_percent,top_32,truth_feasible,x0_unit,x0_raw,x1_unit,x1_raw,x2_unit,x2_raw,x3_unit,x3_raw
4102,3272,9838,0.0,-511.5539863731992,6.837959473043635e-223,-476805.3872567116,0.0,-477316.9412430848,0.0,477314.5737486576,1.0142320547350045e+304,0.0,False,False,False,False,0.42221328616142273,4.2943562008440495,0.17390753328800201,1.82168457955122,0.8698719143867493,8.711731952428817,0.21283058822155,2.207022823393345
4102,3273,7102,0.0,-164756.6177006479,0.0,-1537.5266386169787,0.0,-166294.1443392649,0.0,166288.33020779744,1.0142320547350045e+304,0.0,False,False,False,False,0.7122612595558167,7.158579938113689,0.8601747751235962,8.615730273723603,0.08805054426193237,0.9717003881931305,0.7305904626846313,7.3328455805778505
4102,3274,12171,0.0,-10998.751266057716,0.0,-1234403.6411996507,0.0,-1245402.3924657083,0.0,1245398.9332135182,1.0142320547350045e+304,0.0,False,False,False,False,0.9922620058059692,9.923587307333946,0.2883283495903015,2.9544506609439853,0.6410719156265259,6.446611964702606,0.4719190299510956,4.771998396515846
4102,3275,4946,0.0,-3950.408193350336,0.0,-62753.26296359715,0.0,-66703.67115694749,0.0,66699.43706487662,1.0142320547350045e+304,0.0,False,False,False,False,0.14166328310966492,1.523924920707941,0.7245901226997375,7.273442214727401,0.4227428436279297,4.285154151916504,0.9597820043563843,9.601841843128204
4102,3276,1738,0.0,-373.1715036250714,8.58371267798153e-163,-4734.992143347893,0.0,-5108.163646972965,0.0,5104.863810056154,1.0142320547350045e+304,0.0,False,False,False,False,0.11724326014518738,1.2827771939337254,0.4154006540775299,4.212466475367546,0.1289970576763153,1.3770708709955217,0.8047646880149841,8.067170411348343
4102,3277,15392,0.0,-156071.80001174487,0.0,-3313557.6912139966,0.0,-3469629.4912257413,0.0,3469623.567283415,1.0142320547350045e+304,0.0,False,False,False,False,0.76665198802948,7.695688381791115,0.605086088180542,6.090352272987365,0.9106506109237671,9.115441048145295,0.2636551558971405,2.7101860433816913
4102,3278,4943,0.0,-464.0707951688178,2.861636362630113e-202,-66166.93088133726,0.0,-66631.00167650609,0.0,66628.36001828764,1.0142320547350045e+304,0.0,False,False,False,False,0.547140896320343,5.528016351163387,0.05904228240251541,0.6845185957849026,0.35826632380485535,3.646836605668068,0.502787709236145,5.0775983214378355
4102,3279,10071,0.0,-1216.5663165405717,0.0,-515438.22995110665,0.0,-516654.79626764724,0.0,516652.59204304626,1.0142320547350045e+304,0.0,False,False,False,False,0.33718153834342957,3.454667691141367,0.9987217783927917,9.987345606088638,0.5764580368995667,5.80693456530571,0.053914591670036316,0.6337544575333596
4102,3280,437,9.281807815817898e-31,-15.043551705472025,2.9286569686983164e-07,-53.70883874398138,4.726587521374954e-24,-68.7523904494534,1.3842553482637334e-30,68.48789385465295,5.545163785213036e+29,1.8033732433055298e-30,False,True,False,False,0.36636579036712646,3.742862179875374,0.024129893630743027,0.338885946944356,0.09611167758703232,1.05150560811162,0.9282301664352417,9.289478647708894
4102,3281,9524,0.0,-22053.345521769526,0.0,-400768.7032453907,0.0,-422822.0487671602,0.0,422817.8739734957,1.0142320547350045e+304,0.0,False,False,False,False,0.5294618606567383,5.3534358739852905,0.9633215665817261,9.636883509159087,0.8154191970825195,8.172650051116943,0.37835055589675903,3.8456705033779146
4102,3282,12414,0.0,-562858.4823267051,0.0,-795891.6662769873,0.0,-1358750.1486036924,0.0,1358742.6340210387,1.0142320547350045e+304,0.0,False,False,False,False,0.8119038939476013,8.142550952732563,0.3883013129234314,3.944182997941971,0.3834287226200104,3.895944353938103,0.6370202898979187,6.406500869989395
4102,3283,2165,0.0,-645.9707409040077,2.873900675305824e-281,-8515.523187296278,0.0,-9161.493928200285,0.0,9157.707423524465,1.0142320547350045e+304,0.0,False,False,False,False,0.08435089886188507,0.9579651262611151,0.5774980187416077,5.817230385541916,0.6642754673957825,6.676327127218246,0.18127702176570892,1.8946425154805184
4102,3284,5349,0.0,-106.11711217415522,8.202075209363464e-47,-79704.10336571989,0.0,-79810.22047789404,0.0,79808.28293056598,1.0142320547350045e+304,0.0,False,False,False,False,0.18700654804706573,1.9716896619647741,0.2539047300815582,2.613656827807427,0.9030891060829163,9.040582150220871,0.08534835278987885,0.9449486926198005
4102,3285,13866,0.0,-1097518.5831226308,0.0,-1129538.2165476023,0.0,-2227056.7996702334,0.0,2227049.4610022763,1.0142320547350045e+304,0.0,False,False,False,False,0.9594613909721375,9.599681235849857,0.6887011528015137,6.918141412734985,0.18391887843608856,1.9207968965172768,0.5962302088737488,6.002679067850113
4102,3286,14533,0.0,-79579.54362784872,0.0,-2629379.519528467,0.0,-2708959.063156316,0.0,2708952.464858627,1.0142320547350045e+304,0.0,False,False,False,False,0.74141526222229,7.446475714445114,0.1472960114479065,1.5582305133342744,0.6152722835540771,6.191195607185364,0.35709935426712036,3.635283607244492
4102,3287,6011,0.0,-37635.41529816687,0.0,-68414.20687159062,0.0,-106049.6221697575,0.0,106044.29604993277,1.0142320547350045e+304,0.0,False,False,False,False,0.4045034646987915,4.119471713900566,0.8320989012718201,8.33777912259102,0.33459341526031494,3.412474811077118,0.8362001180648804,8.378381168842315
4102,3288,10517,0.0,-140725.01167806252,0.0,-478587.18305188563,0.0,-619312.1947299482,0.0,619305.2284354704,1.0142320547350045e+304,0.0,False,False,False,False,0.43872037529945374,4.457363706082106,0.4822036027908325,4.873815667629242,0.5601637959480286,5.645621579885483,0.5593689680099487,5.637752783298493
4102,3289,14595,0.0,-216424.44944631399,0.0,-2525518.1348859686,0.0,-2741942.5843322827,0.0,2741935.8937083846,1.0142320547350045e+304,0.0,False,False,False,False,0.6642923355102539,6.684886813163757,0.5459127426147461,5.504536151885986,0.27837297320365906,2.8558924347162247,0.008928739465773106,0.18839452071115376
4102,3290,7599,0.0,-3677.001197627541,0.0,-197914.74499065013,0.0,-201591.74618827767,0.0,201588.62926916542,1.0142320547350045e+304,0.0,False,False,False,False,0.8842344880104065,8.856815569102764,0.11809388548135757,1.2691294662654402,0.9602700471878052,9.606673467159272,0.7558813691139221,7.583225554227829
