absolute_median_log_inverse_lengthscale_change,active,current_count,dimension,log_lengthscale_w1,previous_count,seed
0.42926683474558125,True,18,0,0.4458167991835348,16,0
0.30082169750046406,True,18,1,0.3189550047608575,16,0
0.45925529258084496,False,18,2,0.5362646854693943,16,0
0.2970976460468111,False,18,3,0.31562880100169316,16,0
0.370453571467918,False,18,4,0.4270591446385312,16,0
0.4590892384508848,False,18,5,0.48164059976201573,16,0
0.62059617997799,False,18,6,0.6772984787094563,16,0
0.4469208132619864,False,18,7,0.42628568449437815,16,0
0.33414093602456174,False,18,8,0.4635733149128933,16,0
0.2931170731641346,False,18,9,0.38099318920716996,16,0
0.18675429994723747,True,20,0,0.24469263095538177,18,0
0.28627142385542464,True,20,1,0.2440146012689183,18,0
0.3126429428938695,False,20,2,0.26248462008792084,18,0
0.5577156813564053,False,20,3,0.4960586456215638,18,0
0.20379748511460405,False,20,4,0.27397849393768725,18,0
0.5154945816933074,False,20,5,0.4640329729329738,18,0
0.6902790507793379,False,20,6,0.6378056214734827,18,0
0.3353165537769556,False,20,7,0.44967414829373237,18,0
0.27186977526351597,False,20,8,0.21632066861211607,18,0
0.693461008965381,False,20,9,0.5906558065747362,18,0
0.03273890345617669,True,24,0,0.03981813316561226,20,0
0.06161004757368964,True,24,1,0.09840121756847624,20,0
0.3462981664219753,False,24,2,0.35180986525056385,20,0
0.3996736750605383,False,24,3,0.5721624075568451,20,0
0.29144003388644224,False,24,4,0.3297677705418662,20,0
0.4280655199193688,False,24,5,0.5332177002823586,20,0
0.1868598431695112,False,24,6,0.3788408344078048,20,0
0.36243244318634393,False,24,7,0.46756222629805433,20,0
0.14096791310121382,False,24,8,0.23180200117120775,20,0
0.08779865746597793,False,24,9,0.13683455840833325,20,0
0.06455295888826307,True,32,0,0.10957667864080677,24,0
0.4709343267899192,True,32,1,0.4367626069681883,24,0
1.4076491872114953,False,32,2,1.3896237727127498,24,0
1.4774535944652567,False,32,3,1.3945715663946576,24,0
1.444334883559704,False,32,4,1.3661746396989607,24,0
1.401758073216377,False,32,5,1.3428692923736303,24,0
1.561550950491263,False,32,6,1.485022014491908,24,0
1.2736560745579895,False,32,7,1.217241089887798,24,0
1.6501728400160878,False,32,8,1.6199829607321623,24,0
1.5550195075161137,False,32,9,1.4810568986439419,24,0
0.12865186636224463,True,40,0,0.13101729395084039,32,0
0.29144146392529047,True,40,1,0.3216110450004669,32,0
1.434068551587333,False,40,2,1.4917139265237624,32,0
1.307154092939654,False,40,3,1.3004234887854393,32,0
1.5843843357707619,False,40,4,1.6636816963512895,32,0
1.1272815591802217,False,40,5,1.1427921299075852,32,0
1.2275820420810106,False,40,6,1.2300261291513899,32,0
1.3345199335274347,False,40,7,1.308681232380092,32,0
1.5192501975261221,False,40,8,1.563892328046837,32,0
1.25718716006903,False,40,9,1.3647509239793258,32,0
0.21841393597497433,True,18,0,0.20745412853774775,16,1
0.11544058627136405,True,18,1,0.17773288263723713,16,1
0.5503091842655723,False,18,2,0.5544325691983432,16,1
0.09069259996143919,False,18,3,0.2056046384622494,16,1
0.31159996319006344,False,18,4,0.3676667898308448,16,1
0.3632069691411808,False,18,5,0.4380197685928799,16,1
0.31882527133386374,False,18,6,0.45284910814924373,16,1
0.4311705353769768,False,18,7,0.5269677037803637,16,1
0.20804665229925567,False,18,8,0.3648775509096478,16,1
0.19112083009344216,False,18,9,0.24322770264495583,16,1
0.2319182558156348,True,20,0,0.23383018903517017,18,1
0.13453722610885804,True,20,1,0.0949284941555432,18,1
0.1604088610369787,False,20,2,0.15558250548546937,18,1
0.22886003616944195,False,20,3,0.22695516644637376,18,1
0.356101566263737,False,20,4,0.3262090553060691,18,1
0.17727435846076944,False,20,5,0.21721572163333192,18,1
0.17442746580585955,False,20,6,0.1408138653036723,18,1
0.23880889784133208,False,20,7,0.23082904629753506,18,1
0.28958441663183065,False,20,8,0.23734489971295442,18,1
0.37746444588927686,False,20,9,0.43907142339526994,18,1
0.09128318128311441,True,24,0,0.12740744043255156,20,1
0.1622458099441944,True,24,1,0.1590541893187224,20,1
0.3469583898217723,False,24,2,0.4252112698728077,20,1
0.5930233784148522,False,24,3,0.5143475334395657,20,1
0.6187399566145784,False,24,4,0.5976283239236329,20,1
0.49732088818878606,False,24,5,0.4712925204400688,20,1
0.7395904689323105,False,24,6,0.6812880062828582,20,1
0.6879565364943105,False,24,7,0.6493966724703565,20,1
0.616117155108292,False,24,8,0.5760968408339397,20,1
0.6528488883748773,False,24,9,0.5785276492981711,20,1
0.1986598080406024,True,32,0,0.19862610363899416,24,1
0.5925749046804529,True,32,1,0.6050262766087434,24,1
2.1401899137482605,False,32,2,2.0621538009677267,24,1
1.9707247826508922,False,32,3,1.9536302699729557,24,1
1.7316524998259286,False,32,4,1.8044285739629942,24,1
2.109524779475146,False,32,5,2.0275463681639505,24,1
1.9669211923541137,False,32,6,1.9959666870781985,24,1
1.7210609760547855,False,32,7,1.843531773803044,24,1
1.9537259481327531,False,32,8,2.0300853940239705,24,1
1.9395539748359423,False,32,9,1.9162144478277359,24,1
0.15151829982710496,True,40,0,0.15786164053295823,32,1
0.25783848549286836,True,40,1,0.24669329410018911,32,1
0.7701658051636482,False,40,2,0.788959125725376,32,1
0.7032704947135677,False,40,3,0.7560986599521088,32,1
0.7146045953608962,False,40,4,0.7579320372585365,32,1
0.673340902039123,False,40,5,0.8139150736916632,32,1
0.6315208493578179,False,40,6,0.7368642722631126,32,1
0.7748363786939292,False,40,7,0.7493944602916326,32,1
0.7163970476122197,False,40,8,0.6961724606934377,32,1
0.7533549532279062,False,40,9,0.8145845546831098,32,1
0.014188164208983,True,19,0,0.18457965991751768,16,2
0.008977334826854918,True,19,1,0.15430166169004755,16,2
0.5646805894733289,False,19,2,0.743260878217988,16,2
0.5541032739254739,False,19,3,0.7000107016989876,16,2
0.563006263351818,False,19,4,0.6525085069016833,16,2
0.686903632433302,False,19,5,0.7392769189483066,16,2
0.7393797758221967,False,19,6,0.6936001894220211,16,2
0.55906063989214,False,19,7,0.6806436239040005,16,2
0.6038960320082821,False,19,8,0.616286735566555,16,2
0.638271524230525,False,19,9,0.74041005208109,16,2
0.04662539697726226,True,20,0,0.09051491431294968,19,2
0.0015247136089476757,True,20,1,0.06671832662395354,19,2
0.29387395944857153,False,20,2,0.19250565946020726,19,2
0.29096973909507184,False,20,3,0.2893768676780141,19,2
0.3926566775454092,False,20,4,0.28806477198110153,19,2
0.3103754151657556,False,20,5,0.26914815437012385,19,2
0.19891358489395605,False,20,6,0.3355490448496059,19,2
0.3484272442326508,False,20,7,0.3023005866720024,19,2
0.3273540560696613,False,20,8,0.33530888780830276,19,2
0.25305348703362407,False,20,9,0.3130957765412202,19,2
0.04300930292919414,True,24,0,0.054819035483179845,20,2
0.07556932039208243,True,24,1,0.08512331822426414,20,2
0.5208811728819809,False,24,2,0.6011667753550616,20,2
0.4048764923680097,False,24,3,0.38293532472848585,20,2
0.40395368226680617,False,24,4,0.47325019896122156,20,2
0.38194986159739797,False,24,5,0.4406811018554617,20,2
0.6146426156894851,False,24,6,0.5129781441909116,20,2
0.5889017135470374,False,24,7,0.645872700108943,20,2
0.6600139412502741,False,24,8,0.632949779594843,20,2
0.3959013560456923,False,24,9,0.42893928118123187,20,2
0.0536312052269467,True,32,0,0.08260751863546567,24,2
0.5169534510890759,True,32,1,0.5072773958530822,24,2
1.8803919861000122,False,32,2,1.8384653988072093,24,2
1.8693507307766155,False,32,3,1.8796710820222395,24,2
1.6758015449555574,False,32,4,1.586807818625277,24,2
2.0195815834337045,False,32,5,1.9837832613051243,24,2
1.9262292480398555,False,32,6,1.9247044438443128,24,2
1.9879029274715219,False,32,7,1.8872492540352173,24,2
1.8139656377347877,False,32,8,1.7449928062667999,24,2
1.6770337737193968,False,32,9,1.7129262570940849,24,2
0.14178325900760708,True,40,0,0.14488605255593376,32,2
0.19386814629845162,True,40,1,0.22279159283907535,32,2
0.7998109367268773,False,40,2,0.8126850360248885,32,2
0.8057153048046821,False,40,3,0.7402962820783132,32,2
0.8140426887212842,False,40,4,0.8832929985975483,32,2
0.7886069054220304,False,40,5,0.829797887598199,32,2
0.7384145564954947,False,40,6,0.6862555434929124,32,2
0.7891403774737551,False,40,7,0.8041542196170568,32,2
0.9261200177676088,False,40,8,0.9673974010992211,32,2
0.8847561369913493,False,40,9,0.8735413313311531,32,2
