dimension,median_inverse_lengthscale,method,n,regime,seed
2,9.999999999999991e-05,B1,16,W,2
3,0.161297498624415,B1,16,W,2
4,9.999999999999991e-05,B1,16,W,2
5,0.00020966074432483852,B1,16,W,2
6,9.999999999999991e-05,B1,16,W,2
7,9.999999999999991e-05,B1,16,W,2
8,0.00017152049143098392,B1,16,W,2
9,9.999999999999991e-05,B1,16,W,2
10,9.999999999999991e-05,B1,16,W,2
11,0.38804640504071447,B1,16,W,2
12,0.00010070044109247938,B1,16,W,2
13,0.7337042237322009,B1,16,W,2
14,9.999999999999991e-05,B1,16,W,2
15,9.999999999999991e-05,B1,16,W,2
16,9.999999999999991e-05,B1,16,W,2
17,0.00019075872078394739,B1,16,W,2
18,0.00012266362262493752,B1,16,W,2
19,0.24974580639360958,B1,16,W,2
0,0.3627196925626534,B0-NUTS,16,W,2
1,0.40120398476931735,B0-NUTS,16,W,2
2,0.3104893321111032,B0-NUTS,16,W,2
3,0.2966479331341406,B0-NUTS,16,W,2
4,0.26191035942917407,B0-NUTS,16,W,2
5,0.2977389806137458,B0-NUTS,16,W,2
6,0.3201889638805594,B0-NUTS,16,W,2
7,0.2736792918224685,B0-NUTS,16,W,2
8,0.2784456232268522,B0-NUTS,16,W,2
9,0.25472819544929903,B0-NUTS,16,W,2
10,0.2498055970922661,B0-NUTS,16,W,2
11,0.2408115476008812,B0-NUTS,16,W,2
12,0.26965716563548797,B0-NUTS,16,W,2
13,0.4440109783701778,B0-NUTS,16,W,2
14,0.2734270753586891,B0-NUTS,16,W,2
15,0.33852210950469763,B0-NUTS,16,W,2
16,0.24708534513109726,B0-NUTS,16,W,2
17,0.28318205921506845,B0-NUTS,16,W,2
18,0.2852906862491458,B0-NUTS,16,W,2
19,0.3524035298216169,B0-NUTS,16,W,2
0,1.38268784926724,B1,32,W,2
1,0.9140909994760159,B1,32,W,2
2,0.00010159624852836716,B1,32,W,2
3,0.6937943270036581,B1,32,W,2
4,9.999999999999991e-05,B1,32,W,2
5,9.999999999999991e-05,B1,32,W,2
6,9.999999999999991e-05,B1,32,W,2
7,0.0003239161489834824,B1,32,W,2
8,0.00010022578406046367,B1,32,W,2
9,0.3336861312819083,B1,32,W,2
10,0.00010000009008487058,B1,32,W,2
11,0.00014635858151778745,B1,32,W,2
12,0.8157377704801645,B1,32,W,2
13,9.999999999999991e-05,B1,32,W,2
14,0.0002675353073421188,B1,32,W,2
15,9.999999999999991e-05,B1,32,W,2
16,0.00010383040448332848,B1,32,W,2
17,0.0004997702498567804,B1,32,W,2
18,1.294999698194172,B1,32,W,2
19,0.00011455365782211038,B1,32,W,2
0,1.1627439601213305,B0-NUTS,32,W,2
1,0.615310300031093,B0-NUTS,32,W,2
2,0.27670755462530594,B0-NUTS,32,W,2
3,0.31879721683758366,B0-NUTS,32,W,2
4,0.24732465387583155,B0-NUTS,32,W,2
5,0.2626919778012008,B0-NUTS,32,W,2
6,0.28650279807234474,B0-NUTS,32,W,2
7,0.2800043138888443,B0-NUTS,32,W,2
8,0.27501714625058166,B0-NUTS,32,W,2
9,0.3296370652873972,B0-NUTS,32,W,2
10,0.25152777549073446,B0-NUTS,32,W,2
11,0.271267552497974,B0-NUTS,32,W,2
12,0.5737508481377476,B0-NUTS,32,W,2
13,0.3156001735578614,B0-NUTS,32,W,2
14,0.26972816834160807,B0-NUTS,32,W,2
15,0.30113010348725366,B0-NUTS,32,W,2
16,0.2440037905313699,B0-NUTS,32,W,2
17,0.3351525329259613,B0-NUTS,32,W,2
18,0.4508144839550125,B0-NUTS,32,W,2
19,0.35235220399792194,B0-NUTS,32,W,2
0,3.77821822621522,B1,64,W,2
1,4.8797844127893475,B1,64,W,2
2,0.00039171688976037124,B1,64,W,2
3,0.00036006768742492535,B1,64,W,2
4,0.00047442616537717985,B1,64,W,2
5,0.00013555745845000172,B1,64,W,2
6,0.00011298740631906316,B1,64,W,2
7,9.999999999999991e-05,B1,64,W,2
8,0.00012463735182047331,B1,64,W,2
9,0.00010014975590104258,B1,64,W,2
10,9.999999999999991e-05,B1,64,W,2
11,9.999999999999991e-05,B1,64,W,2
12,0.00022230850902681232,B1,64,W,2
13,0.3588772054244553,B1,64,W,2
14,9.999999999999991e-05,B1,64,W,2
15,9.999999999999991e-05,B1,64,W,2
16,0.1383636959428827,B1,64,W,2
17,9.999999999999991e-05,B1,64,W,2
18,9.999999999999991e-05,B1,64,W,2
19,9.999999999999991e-05,B1,64,W,2
0,4.051701542291689,B0-NUTS,64,W,2
1,5.449781049386592,B0-NUTS,64,W,2
2,0.12132461060594334,B0-NUTS,64,W,2
3,0.11240009038546991,B0-NUTS,64,W,2
4,0.12162559842436106,B0-NUTS,64,W,2
5,0.11137954363817178,B0-NUTS,64,W,2
6,0.0999663805335495,B0-NUTS,64,W,2
7,0.11726553222527585,B0-NUTS,64,W,2
8,0.10849901857374539,B0-NUTS,64,W,2
9,0.10024432326106376,B0-NUTS,64,W,2
10,0.09558418775427786,B0-NUTS,64,W,2
11,0.0931993225192559,B0-NUTS,64,W,2
12,0.09732795829793343,B0-NUTS,64,W,2
13,0.1418320512149307,B0-NUTS,64,W,2
14,0.10701461345246764,B0-NUTS,64,W,2
15,0.0938625698523284,B0-NUTS,64,W,2
16,0.11714750275888569,B0-NUTS,64,W,2
17,0.0809664606144813,B0-NUTS,64,W,2
18,0.09645473124432725,B0-NUTS,64,W,2
19,0.1047322578540715,B0-NUTS,64,W,2
0,0.0002544267669558282,B1,16,G,3
1,0.1134133397869518,B1,16,G,3
2,0.09235704306877038,B1,16,G,3
3,0.0012055242702183647,B1,16,G,3
4,9.999999999999991e-05,B1,16,G,3
5,0.0001611264806160668,B1,16,G,3
6,0.1680958947774389,B1,16,G,3
7,9.999999999999991e-05,B1,16,G,3
8,9.999999999999991e-05,B1,16,G,3
9,1.068882290854791,B1,16,G,3
10,9.999999999999991e-05,B1,16,G,3
11,9.999999999999991e-05,B1,16,G,3
12,9.999999999999991e-05,B1,16,G,3
13,0.0005180456238960805,B1,16,G,3
14,9.999999999999991e-05,B1,16,G,3
15,0.000562051532659101,B1,16,G,3
16,9.999999999999991e-05,B1,16,G,3
17,1.1262879999006354,B1,16,G,3
18,9.999999999999991e-05,B1,16,G,3
19,9.999999999999991e-05,B1,16,G,3
0,0.23540287295581291,B0-NUTS,16,G,3
1,0.3121980322082127,B0-NUTS,16,G,3
2,0.23263098836395066,B0-NUTS,16,G,3
3,0.2017327153957819,B0-NUTS,16,G,3
4,0.20468809177581926,B0-NUTS,16,G,3
5,0.20993806205644058,B0-NUTS,16,G,3
6,0.2608844673138658,B0-NUTS,16,G,3
7,0.19698356849113266,B0-NUTS,16,G,3
8,0.19361596449903035,B0-NUTS,16,G,3
9,0.3801780614348047,B0-NUTS,16,G,3
10,0.19431849150250613,B0-NUTS,16,G,3
11,0.2137153223994288,B0-NUTS,16,G,3
12,0.21658802350361156,B0-NUTS,16,G,3
13,0.19996863522169941,B0-NUTS,16,G,3
14,0.198586568750866,B0-NUTS,16,G,3
15,0.2789828337126256,B0-NUTS,16,G,3
16,0.19558030962268744,B0-NUTS,16,G,3
17,0.386158436379742,B0-NUTS,16,G,3
18,0.2063271595431161,B0-NUTS,16,G,3
19,0.20466097599415375,B0-NUTS,16,G,3
0,0.3845949781967286,B1,32,G,3
1,2.1142811120851848,B1,32,G,3
2,0.0002097275836441699,B1,32,G,3
3,9.999999999999991e-05,B1,32,G,3
4,0.0005109496030421173,B1,32,G,3
5,0.0002409363015944282,B1,32,G,3
6,9.999999999999991e-05,B1,32,G,3
7,0.0008234880883745581,B1,32,G,3
8,9.999999999999991e-05,B1,32,G,3
9,9.999999999999991e-05,B1,32,G,3
10,0.00010094746360368942,B1,32,G,3
11,0.4740341977618802,B1,32,G,3
12,0.0003821958618966847,B1,32,G,3
13,0.00029676458360243226,B1,32,G,3
14,0.0010408326171890228,B1,32,G,3
15,9.999999999999991e-05,B1,32,G,3
16,9.999999999999991e-05,B1,32,G,3
17,0.00014931923053497351,B1,32,G,3
18,0.0002245806395597201,B1,32,G,3
19,9.999999999999991e-05,B1,32,G,3
0,0.4345319007841781,B0-NUTS,32,G,3
1,1.2091127530828096,B0-NUTS,32,G,3
2,0.26421530585872904,B0-NUTS,32,G,3
3,0.24265410220047695,B0-NUTS,32,G,3
4,0.29343441608689796,B0-NUTS,32,G,3
5,0.3220792849478718,B0-NUTS,32,G,3
6,0.2305807522933336,B0-NUTS,32,G,3
7,0.2636081612759499,B0-NUTS,32,G,3
8,0.28787484008899533,B0-NUTS,32,G,3
9,0.4977695857497307,B0-NUTS,32,G,3
10,0.24215244886468537,B0-NUTS,32,G,3
11,0.35608242709365345,B0-NUTS,32,G,3
12,0.3176590644556257,B0-NUTS,32,G,3
13,0.24382101365376976,B0-NUTS,32,G,3
14,0.25505541755888195,B0-NUTS,32,G,3
15,0.2805611012191775,B0-NUTS,32,G,3
16,0.37426874115006914,B0-NUTS,32,G,3
17,0.3750848800592443,B0-NUTS,32,G,3
18,0.3685873399087744,B0-NUTS,32,G,3
19,0.3701313468043965,B0-NUTS,32,G,3
0,3.475647401877614,B1,64,G,3
1,4.1447717109550295,B1,64,G,3
2,0.1590703517146678,B1,64,G,3
3,0.002506778547123684,B1,64,G,3
4,0.00018252509762747558,B1,64,G,3
5,9.999999999999991e-05,B1,64,G,3
6,0.00011864215478271335,B1,64,G,3
7,0.0005406981959623286,B1,64,G,3
8,0.00033275738123159256,B1,64,G,3
9,9.999999999999991e-05,B1,64,G,3
10,0.23702048108826174,B1,64,G,3
11,0.0001330587443905232,B1,64,G,3
12,0.09683948630635923,B1,64,G,3
13,9.999999999999991e-05,B1,64,G,3
14,0.00022390622980844927,B1,64,G,3
15,0.00014927874248689302,B1,64,G,3
16,9.999999999999991e-05,B1,64,G,3
17,0.0001437678910257661,B1,64,G,3
18,9.999999999999991e-05,B1,64,G,3
19,0.00024372340555835616,B1,64,G,3
0,3.8936878843699456,B0-NUTS,64,G,3
1,5.120215904133455,B0-NUTS,64,G,3
2,0.13961541964305893,B0-NUTS,64,G,3
3,0.11669037770890454,B0-NUTS,64,G,3
4,0.11570103112000008,B0-NUTS,64,G,3
5,0.09537416822919552,B0-NUTS,64,G,3
6,0.093702475630707,B0-NUTS,64,G,3
7,0.11104002426628809,B0-NUTS,64,G,3
8,0.10660589774177921,B0-NUTS,64,G,3
9,0.10764691867185469,B0-NUTS,64,G,3
10,0.14370326711429102,B0-NUTS,64,G,3
11,0.09522286212813613,B0-NUTS,64,G,3
12,0.10624071940264178,B0-NUTS,64,G,3
13,0.09725415546533031,B0-NUTS,64,G,3
14,0.10217180835241688,B0-NUTS,64,G,3
15,0.09441562892584811,B0-NUTS,64,G,3
16,0.09638106265071203,B0-NUTS,64,G,3
17,0.09637260114880289,B0-NUTS,64,G,3
18,0.10838284878222422,B0-NUTS,64,G,3
19,0.09494981663840646,B0-NUTS,64,G,3
0,0.000333544891671353,B1,16,W,3
1,0.2808751828708142,B1,16,W,3
2,0.0002044369646463341,B1,16,W,3
3,0.00010879961629456593,B1,16,W,3
4,0.0002270199388823106,B1,16,W,3
5,0.0005389511231256969,B1,16,W,3
6,9.999999999999991e-05,B1,16,W,3
7,9.999999999999991e-05,B1,16,W,3
8,0.00010740040963564583,B1,16,W,3
9,0.39588859551542893,B1,16,W,3
10,9.999999999999991e-05,B1,16,W,3
11,9.999999999999991e-05,B1,16,W,3
12,0.0001263014722108084,B1,16,W,3
13,0.0001000079999167269,B1,16,W,3
14,9.999999999999991e-05,B1,16,W,3
15,0.41206311818834834,B1,16,W,3
16,9.999999999999991e-05,B1,16,W,3
17,0.00017156464822088246,B1,16,W,3
18,0.0001288585375750684,B1,16,W,3
19,9.999999999999991e-05,B1,16,W,3
0,0.23556614006153845,B0-NUTS,16,W,3
1,0.38442262983084863,B0-NUTS,16,W,3
2,0.21658493586320612,B0-NUTS,16,W,3
3,0.19874019071933094,B0-NUTS,16,W,3
4,0.20031960550353817,B0-NUTS,16,W,3
5,0.20116092029975163,B0-NUTS,16,W,3
6,0.27104644093208907,B0-NUTS,16,W,3
7,0.19477783143981311,B0-NUTS,16,W,3
8,0.19998737680951253,B0-NUTS,16,W,3
9,0.35268662239434556,B0-NUTS,16,W,3
10,0.214382105663894,B0-NUTS,16,W,3
11,0.19724442235421277,B0-NUTS,16,W,3
12,0.23285662249404201,B0-NUTS,16,W,3
13,0.21286874027465985,B0-NUTS,16,W,3
14,0.19981741268113978,B0-NUTS,16,W,3
15,0.37817457311646796,B0-NUTS,16,W,3
16,0.21345850085203513,B0-NUTS,16,W,3
17,0.37212391991094385,B0-NUTS,16,W,3
18,0.19677957395308798,B0-NUTS,16,W,3
19,0.21950739600194202,B0-NUTS,16,W,3
0,0.4655157418615573,B1,32,W,3
1,2.369505137172725,B1,32,W,3
2,0.00043339340048044787,B1,32,W,3
3,9.999999999999991e-05,B1,32,W,3
4,9.999999999999991e-05,B1,32,W,3
5,0.00014632999283970073,B1,32,W,3
6,9.999999999999991e-05,B1,32,W,3
7,0.00022245670910910601,B1,32,W,3
8,0.0001585804626830672,B1,32,W,3
9,0.2321451205776861,B1,32,W,3
10,0.001136221355082849,B1,32,W,3
11,0.6441826204995702,B1,32,W,3
12,0.0002017210287466786,B1,32,W,3
13,0.00011678047075448733,B1,32,W,3
14,0.0001905620396044167,B1,32,W,3
15,0.0001494628963137721,B1,32,W,3
16,9.999999999999991e-05,B1,32,W,3
17,0.001475528615705469,B1,32,W,3
18,9.999999999999991e-05,B1,32,W,3
19,0.0001261750820315918,B1,32,W,3
0,0.386908193651169,B0-NUTS,32,W,3
1,1.377528954079112,B0-NUTS,32,W,3
2,0.2526367648926835,B0-NUTS,32,W,3
3,0.24572368329195238,B0-NUTS,32,W,3
4,0.2606391957135263,B0-NUTS,32,W,3
5,0.2984004761870545,B0-NUTS,32,W,3
6,0.24092505290163674,B0-NUTS,32,W,3
7,0.23188818391094246,B0-NUTS,32,W,3
8,0.24407308209385006,B0-NUTS,32,W,3
9,0.41134109536461694,B0-NUTS,32,W,3
10,0.2269675800791208,B0-NUTS,32,W,3
11,0.27931328190416876,B0-NUTS,32,W,3
12,0.27684517713132556,B0-NUTS,32,W,3
13,0.22243509084007357,B0-NUTS,32,W,3
14,0.25137525787251186,B0-NUTS,32,W,3
15,0.2493607214369265,B0-NUTS,32,W,3
16,0.3710762810695207,B0-NUTS,32,W,3
17,0.31407361107957,B0-NUTS,32,W,3
18,0.28388798453725944,B0-NUTS,32,W,3
19,0.3386786272950181,B0-NUTS,32,W,3
0,2.7606499488795953,B1,64,W,3
1,3.4555486024734905,B1,64,W,3
2,0.0007181697157013989,B1,64,W,3
3,0.00035024429202194015,B1,64,W,3
4,0.00027883296764842814,B1,64,W,3
5,9.999999999999991e-05,B1,64,W,3
6,9.999999999999991e-05,B1,64,W,3
7,0.0003942061532987124,B1,64,W,3
8,9.999999999999991e-05,B1,64,W,3
9,9.999999999999991e-05,B1,64,W,3
10,0.2509258010136452,B1,64,W,3
11,0.00027912225443972615,B1,64,W,3
12,0.0004550690450052155,B1,64,W,3
13,9.999999999999991e-05,B1,64,W,3
14,0.0004508820743966099,B1,64,W,3
15,0.00010165353674588688,B1,64,W,3
16,0.00030462761154684037,B1,64,W,3
17,9.999999999999991e-05,B1,64,W,3
18,9.999999999999991e-05,B1,64,W,3
19,0.20044018770129843,B1,64,W,3
0,3.9394362451194818,B0-NUTS,64,W,3
1,4.848502693131824,B0-NUTS,64,W,3
2,0.12093291975013401,B0-NUTS,64,W,3
3,0.08775651779416983,B0-NUTS,64,W,3
4,0.09429802788733951,B0-NUTS,64,W,3
5,0.09503704755496312,B0-NUTS,64,W,3
6,0.0929665990890473,B0-NUTS,64,W,3
7,0.11181181549998201,B0-NUTS,64,W,3
8,0.0868432355573993,B0-NUTS,64,W,3
9,0.10918018928931247,B0-NUTS,64,W,3
10,0.1435956409602496,B0-NUTS,64,W,3
11,0.08483220623134975,B0-NUTS,64,W,3
12,0.09418196116471333,B0-NUTS,64,W,3
13,0.09519614314202707,B0-NUTS,64,W,3
14,0.10276672230223649,B0-NUTS,64,W,3
15,0.09893394527961115,B0-NUTS,64,W,3
16,0.09377174398574634,B0-NUTS,64,W,3
17,0.0818146074161134,B0-NUTS,64,W,3
18,0.08861768477593782,B0-NUTS,64,W,3
19,0.12326914397663886,B0-NUTS,64,W,3
0,0.7394239603063328,B1,16,G,4
1,1.0652611158670326,B1,16,G,4
2,0.00011257937733467182,B1,16,G,4
3,9.999999999999991e-05,B1,16,G,4
4,0.4051926232850495,B1,16,G,4
5,1.709521333196764,B1,16,G,4
6,0.0005042168102235399,B1,16,G,4
7,9.999999999999991e-05,B1,16,G,4
8,9.999999999999991e-05,B1,16,G,4
9,0.12958876614891093,B1,16,G,4
10,9.999999999999991e-05,B1,16,G,4
11,9.999999999999991e-05,B1,16,G,4
12,9.999999999999991e-05,B1,16,G,4
13,9.999999999999991e-05,B1,16,G,4
14,9.999999999999991e-05,B1,16,G,4
15,9.999999999999991e-05,B1,16,G,4
16,9.999999999999991e-05,B1,16,G,4
17,9.999999999999991e-05,B1,16,G,4
18,0.0001563417483290013,B1,16,G,4
19,9.999999999999991e-05,B1,16,G,4
0,0.48253371203630535,B0-NUTS,16,G,4
1,0.45174373227415504,B0-NUTS,16,G,4
2,0.331650292797195,B0-NUTS,16,G,4
3,0.3716499733360709,B0-NUTS,16,G,4
4,0.4286101188059089,B0-NUTS,16,G,4
5,0.507238372310843,B0-NUTS,16,G,4
6,0.4095400055572705,B0-NUTS,16,G,4
7,0.42420623374968264,B0-NUTS,16,G,4
8,0.36674138025514513,B0-NUTS,16,G,4
9,0.4185009800530575,B0-NUTS,16,G,4
10,0.36131663462336483,B0-NUTS,16,G,4
11,0.45803545696242526,B0-NUTS,16,G,4
12,0.35768411913554027,B0-NUTS,16,G,4
13,0.3950451575893007,B0-NUTS,16,G,4
14,0.3679289079026556,B0-NUTS,16,G,4
15,0.4003501253458763,B0-NUTS,16,G,4
16,0.3688799373916749,B0-NUTS,16,G,4
17,0.39327971711836024,B0-NUTS,16,G,4
18,0.3998613442599958,B0-NUTS,16,G,4
19,0.4021407246214685,B0-NUTS,16,G,4
0,2.7385639941756894,B1,32,G,4
1,1.290129251139286,B1,32,G,4
2,9.999999999999991e-05,B1,32,G,4
3,0.165036738342643,B1,32,G,4
4,0.007226366112009853,B1,32,G,4
5,9.999999999999991e-05,B1,32,G,4
6,9.999999999999991e-05,B1,32,G,4
7,9.999999999999991e-05,B1,32,G,4
8,0.5547442198089779,B1,32,G,4
9,9.999999999999991e-05,B1,32,G,4
10,9.999999999999991e-05,B1,32,G,4
11,0.0005449472527024469,B1,32,G,4
12,0.0005407685021629868,B1,32,G,4
13,0.2629383912191188,B1,32,G,4
14,0.25326365765587344,B1,32,G,4
15,9.999999999999991e-05,B1,32,G,4
16,9.999999999999991e-05,B1,32,G,4
17,9.999999999999991e-05,B1,32,G,4
18,9.999999999999991e-05,B1,32,G,4
19,9.999999999999991e-05,B1,32,G,4
0,2.9934964164421345,B0-NUTS,32,G,4
1,1.8435373711957843,B0-NUTS,32,G,4
2,0.20590080854682957,B0-NUTS,32,G,4
3,0.19126687721907729,B0-NUTS,32,G,4
4,0.21829045037584882,B0-NUTS,32,G,4
5,0.20107073338977846,B0-NUTS,32,G,4
6,0.18524530152733462,B0-NUTS,32,G,4
7,0.18614992393290133,B0-NUTS,32,G,4
8,0.23607498377621944,B0-NUTS,32,G,4
9,0.1973891688615473,B0-NUTS,32,G,4
10,0.24613499974209424,B0-NUTS,32,G,4
11,0.23591750503322015,B0-NUTS,32,G,4
12,0.20028551221710006,B0-NUTS,32,G,4
13,0.24014037368913735,B0-NUTS,32,G,4
14,0.22469691374569273,B0-NUTS,32,G,4
15,0.2104294992180759,B0-NUTS,32,G,4
16,0.22896468693472086,B0-NUTS,32,G,4
17,0.22785997501496014,B0-NUTS,32,G,4
18,0.1798008074825829,B0-NUTS,32,G,4
19,0.23413983910563946,B0-NUTS,32,G,4
0,3.7061141106338535,B1,64,G,4
1,3.8494405382989565,B1,64,G,4
2,9.999999999999991e-05,B1,64,G,4
3,0.00012472412519855123,B1,64,G,4
4,0.0006794332922841277,B1,64,G,4
5,9.999999999999991e-05,B1,64,G,4
6,9.999999999999991e-05,B1,64,G,4
7,9.999999999999991e-05,B1,64,G,4
8,9.999999999999991e-05,B1,64,G,4
9,9.999999999999991e-05,B1,64,G,4
10,9.999999999999991e-05,B1,64,G,4
11,0.19915780014950482,B1,64,G,4
12,9.999999999999991e-05,B1,64,G,4
13,0.00010098180482837976,B1,64,G,4
14,0.0002773606553375771,B1,64,G,4
15,0.12618100530542287,B1,64,G,4
16,0.00515582975951302,B1,64,G,4
17,0.00017223135872665478,B1,64,G,4
18,9.999999999999991e-05,B1,64,G,4
19,9.999999999999991e-05,B1,64,G,4
0,4.237030840064723,B0-NUTS,64,G,4
1,2.8448675269427586,B0-NUTS,64,G,4
2,0.10639968477419733,B0-NUTS,64,G,4
3,0.12939447728816594,B0-NUTS,64,G,4
4,0.1395394971910234,B0-NUTS,64,G,4
5,0.12309400388931879,B0-NUTS,64,G,4
6,0.11758683720060764,B0-NUTS,64,G,4
7,0.11721334708668532,B0-NUTS,64,G,4
8,0.18646507953637448,B0-NUTS,64,G,4
9,0.12100484628057503,B0-NUTS,64,G,4
10,0.13928449270178625,B0-NUTS,64,G,4
11,0.1856132022311375,B0-NUTS,64,G,4
12,0.12329325332576592,B0-NUTS,64,G,4
13,0.13149526886652205,B0-NUTS,64,G,4
14,0.12751241284847648,B0-NUTS,64,G,4
15,0.12968901319181955,B0-NUTS,64,G,4
16,0.13233756775614225,B0-NUTS,64,G,4
17,0.12237766873472809,B0-NUTS,64,G,4
18,0.12377985951719402,B0-NUTS,64,G,4
19,0.14922299957623983,B0-NUTS,64,G,4
0,1.2688659799771709,B1,16,W,4
1,1.5701439230989993,B1,16,W,4
2,0.00024391865956145334,B1,16,W,4
3,9.999999999999991e-05,B1,16,W,4
4,0.6291942300833289,B1,16,W,4
5,0.00015182442969176576,B1,16,W,4
6,0.00017075760674036778,B1,16,W,4
7,0.00011490370685677153,B1,16,W,4
8,0.0019800159621698797,B1,16,W,4
9,0.00022029832489552385,B1,16,W,4
10,9.999999999999991e-05,B1,16,W,4
11,9.999999999999991e-05,B1,16,W,4
12,9.999999999999991e-05,B1,16,W,4
13,0.00014520954492996523,B1,16,W,4
14,9.999999999999991e-05,B1,16,W,4
15,0.0003192811119057289,B1,16,W,4
16,9.999999999999991e-05,B1,16,W,4
17,0.4546381434987579,B1,16,W,4
18,9.999999999999991e-05,B1,16,W,4
19,9.999999999999991e-05,B1,16,W,4
0,0.44092065267158687,B0-NUTS,16,W,4
1,0.4299099062679847,B0-NUTS,16,W,4
2,0.3469654315290965,B0-NUTS,16,W,4
3,0.33103019290151947,B0-NUTS,16,W,4
4,0.3864526324131307,B0-NUTS,16,W,4
5,0.3647565990761454,B0-NUTS,16,W,4
6,0.37772501437173917,B0-NUTS,16,W,4
7,0.43674085411298424,B0-NUTS,16,W,4
8,0.4200641348142798,B0-NUTS,16,W,4
9,0.4043097440899993,B0-NUTS,16,W,4
10,0.3551986789717621,B0-NUTS,16,W,4
11,0.4195056030846117,B0-NUTS,16,W,4
12,0.33905071075543214,B0-NUTS,16,W,4
13,0.3601463223737259,B0-NUTS,16,W,4
14,0.34681597232099826,B0-NUTS,16,W,4
15,0.368123966220085,B0-NUTS,16,W,4
16,0.37973606337861426,B0-NUTS,16,W,4
17,0.423282774454658,B0-NUTS,16,W,4
18,0.3740436960095561,B0-NUTS,16,W,4
19,0.36435205068585647,B0-NUTS,16,W,4
0,2.126292350632982,B1,32,W,4
1,0.8010501446457836,B1,32,W,4
2,0.00035984848345796053,B1,32,W,4
3,0.16854060967049653,B1,32,W,4
4,0.1023336605304054,B1,32,W,4
5,9.999999999999991e-05,B1,32,W,4
6,9.999999999999991e-05,B1,32,W,4
7,9.999999999999991e-05,B1,32,W,4
8,0.5101341859527103,B1,32,W,4
9,9.999999999999991e-05,B1,32,W,4
10,9.999999999999991e-05,B1,32,W,4
11,0.00018005289754306563,B1,32,W,4
12,0.00011075291211556388,B1,32,W,4
13,0.25795462006927655,B1,32,W,4
14,0.1184775927453612,B1,32,W,4
15,0.0002827316604799044,B1,32,W,4
16,0.0003567069175244707,B1,32,W,4
17,9.999999999999991e-05,B1,32,W,4
18,9.999999999999991e-05,B1,32,W,4
19,9.999999999999991e-05,B1,32,W,4
0,2.9848289633366667,B0-NUTS,32,W,4
1,1.5091972410792442,B0-NUTS,32,W,4
2,0.1946246529186171,B0-NUTS,32,W,4
3,0.1927727688196411,B0-NUTS,32,W,4
4,0.20900843699679447,B0-NUTS,32,W,4
5,0.19074481748955335,B0-NUTS,32,W,4
6,0.19800432786364755,B0-NUTS,32,W,4
7,0.20944014960505053,B0-NUTS,32,W,4
8,0.37247109045904814,B0-NUTS,32,W,4
9,0.2058166512865623,B0-NUTS,32,W,4
10,0.22197179016439644,B0-NUTS,32,W,4
11,0.25148927388765785,B0-NUTS,32,W,4
12,0.19353556201711317,B0-NUTS,32,W,4
13,0.24131043601543567,B0-NUTS,32,W,4
14,0.22301795038199387,B0-NUTS,32,W,4
15,0.20721098237444377,B0-NUTS,32,W,4
16,0.20451909358584677,B0-NUTS,32,W,4
17,0.23772725498435862,B0-NUTS,32,W,4
18,0.20515854638405848,B0-NUTS,32,W,4
19,0.22279781007708047,B0-NUTS,32,W,4
0,3.6609979492294955,B1,64,W,4
1,2.1734807013377524,B1,64,W,4
2,9.999999999999991e-05,B1,64,W,4
3,0.001571839164142236,B1,64,W,4
4,0.05306791525917676,B1,64,W,4
5,0.31482051715228265,B1,64,W,4
6,9.999999999999991e-05,B1,64,W,4
7,0.00039108869901659764,B1,64,W,4
8,0.3105604642561115,B1,64,W,4
9,0.0008367513665636027,B1,64,W,4
10,9.999999999999991e-05,B1,64,W,4
11,0.19980923587231467,B1,64,W,4
12,9.999999999999991e-05,B1,64,W,4
13,0.0002045417024058709,B1,64,W,4
14,0.0005260256992674619,B1,64,W,4
15,0.002340324769300204,B1,64,W,4
16,9.999999999999991e-05,B1,64,W,4
17,0.13022348584417387,B1,64,W,4
18,0.1997553583484237,B1,64,W,4
19,0.34734511621275227,B1,64,W,4
0,4.696263262983588,B0-NUTS,64,W,4
1,3.127047022501061,B0-NUTS,64,W,4
2,0.1086893853914674,B0-NUTS,64,W,4
3,0.1402303179336538,B0-NUTS,64,W,4
4,0.1371380733899847,B0-NUTS,64,W,4
5,0.15795164830447989,B0-NUTS,64,W,4
6,0.12855593708975885,B0-NUTS,64,W,4
7,0.13207906879341783,B0-NUTS,64,W,4
8,0.2249452379210361,B0-NUTS,64,W,4
9,0.14915009303226806,B0-NUTS,64,W,4
10,0.13988846259274,B0-NUTS,64,W,4
11,0.20330867704685873,B0-NUTS,64,W,4
12,0.12978180388455643,B0-NUTS,64,W,4
13,0.14709392777654923,B0-NUTS,64,W,4
14,0.12322848837530263,B0-NUTS,64,W,4
15,0.139565246412805,B0-NUTS,64,W,4
16,0.13136873062049928,B0-NUTS,64,W,4
17,0.14722256071524434,B0-NUTS,64,W,4
18,0.1457354258924113,B0-NUTS,64,W,4
19,0.15174072577603398,B0-NUTS,64,W,4
