absolute_decision_regret,active_top2_recall,average_correction_kl,chosen_index,coefficient_norm,ei_seconds,ei_spearman,expected_true_nll,max_ei_abs_error,mean_rmse,method,n,normalization_seconds,normalized_regret,pi_max_abs_error,pit_mean_error,pit_variance_error,prediction_seconds,quantile_10_error,quantile_50_error,quantile_90_error,regime,seed,top5_overlap,true_ei_at_selection,true_ei_optimum,true_to_model_kl,variance_rmse
0.2676613204282985,0.0,,30,,0.0005143019998286036,-0.006052414117298227,6.3352767287259155,0.7162620898998527,1.0719560000577673,B1,16,0.0007743599999230355,0.9625772748065667,0.9038853170539374,0.01340454229355803,0.1005492523716973,0.09189727699981631,0.23793723266731856,0.015579467432435157,0.26060996354865085,G,0,0.10679611650485436,0.010406038352933834,0.27806735878123234,5.785431859360169,0.22097038084157752
0.2676613204282985,,,30,,0.004469596000035381,-0.006256892737686674,2.5878173200042873,1.0326411896117755,1.057833927738193,B2-G,16,1.99300006897829e-06,0.9625772748065667,0.679040860923775,0.0007424143912125314,0.009269622643597361,0.6814613500000632,0.028442319459432402,0.005264474541601727,0.014996131165439075,G,0,0.10679611650485436,0.010406038352933834,0.27806735878123234,2.0379724506385406,1.6231223847626732
0.2676613204282985,,,30,,0.003947485000026063,-0.005317981954300331,2.5005238485701833,1.0336030932167946,1.057276069268652,B2-C,16,7.700000423938036e-07,0.9625772748065667,0.7119561900530365,0.017133818277532686,0.00010816972540035608,0.010499179999897024,0.010719647690533504,0.014333636626066015,0.019031882142380607,G,0,0.0970873786407767,0.010406038352933834,0.27806735878123234,1.9506789792044363,1.2032914793568295
0.2676613204282985,,,30,,0.003744804000007207,-0.006237478780221193,2.5902081640604178,1.0842654348208154,1.0580396494960234,B3,16,1.68999986271956e-06,0.9625772748065667,0.697410384123027,0.014465493260081508,0.009234756101510713,0.6991905289999067,0.03730485807923434,0.01030652659027853,0.006726504262878019,G,0,0.10679611650485436,0.010406038352933834,0.27806735878123234,2.0403632946946706,1.61721502448314
0.2676613204282985,,,30,,0.0039786679999451735,-0.006028879669929448,2.7046327769895555,0.8935581404648816,1.0629638612771546,B4,16,1.3720000424655154e-06,0.9625772748065667,0.7626917936729243,0.0084698892326871,0.03888811299613519,0.010743709000053059,0.08927208148547813,0.017194674800927068,0.07892661389461442,G,0,0.0970873786407767,0.010406038352933834,0.27806735878123234,2.154787907623809,1.0184567494673318
0.2676613204282985,,0.04441081958029723,30,0.9975103373639409,0.007708235000109198,-0.005969842910737447,5.814815560401931,0.7085320281292866,1.0724146736039997,E0,16,0.0005957389998911822,0.9625772748065667,0.8406615764866758,0.01871134989951373,0.08713311850893939,0.02895499400005974,0.19776853196306363,0.02067509984843885,0.23156329018262645,G,0,0.10679611650485436,0.010406038352933834,0.27806735878123234,5.264970691036185,0.24383857030985845
0.2676613204282985,,0.04984315685621456,30,1.162354677916657,0.008504807999997865,-0.0057153359447768065,5.655927991677155,0.7308626162228398,1.0724944404918966,E1,16,0.0007100109999100823,0.9625772748065667,0.8622647112988389,0.011781142149344115,0.08698250584833704,0.03108752999992248,0.20776981565964212,0.017939545848526306,0.22046093797509314,G,0,0.10679611650485436,0.010406038352933834,0.27806735878123234,5.106083122311408,0.23590825147706915
0.2705137493915685,0.0,,1631,,0.008263216000159446,0.08480927530559576,1.3398959644886488,0.24785314108444395,0.7390960230397526,B0-NUTS,16,,0.9728353251429034,0.5149650489894899,0.006774806104588027,0.013791540963225532,0.8361445600000934,0.038594258392363245,0.009844193900964138,0.04961979526851146,G,0,0.24271844660194175,0.007553609389663804,0.27806735878123234,0.7900510951229017,1.008055977681964
0.09442984656436126,0.0,,767,,0.0004756779999297578,0.01916269763685184,2.718084452441756,0.31146997267923854,0.9935160228579604,B1,32,0.0006888289999551489,0.4682152368602169,0.6763595450006974,0.001240754096167307,0.07423361258193652,0.006833406999930958,0.18669142192782615,0.0024120770502322753,0.1872708267065415,G,0,0.08737864077669903,0.10725057545179106,0.20168042201615233,2.6856467997779427,0.17857715680836675
0.20168042053384358,,,358,,0.0042206190000797505,0.018656748431318856,1.508286239092841,0.6635336393189954,0.9907664170089777,B2-G,32,1.258999873243738e-06,0.99999999265021,0.6160217666903735,0.008215924053141588,0.009551753745103322,0.011006195999925694,0.024865669652817307,0.016003528879913187,0.019375463999952935,G,0,0.0970873786407767,1.4823087341594528e-09,0.20168042201615233,1.475848586429028,0.9620912379994958
0.20168042053384358,,,358,,0.004051446000175929,0.023180889615735042,1.4990675470718462,0.5935000333218867,1.004921695451752,B2-C,32,1.0209998890786665e-06,0.99999999265021,0.7055942411899306,0.029669008485993076,0.005137973217639882,0.010560299000189843,0.037705875772410996,0.044451803359283115,0.0072539372978325245,G,0,0.07766990291262135,1.4823087341594528e-09,0.20168042201615233,1.4666298944080332,0.9421461424554555
0.20168042053384358,,,358,,0.003811933999941175,0.018626987740541903,1.5089963848692287,0.6782750108351421,0.991430871750617,B3,32,1.4540000847773626e-06,0.99999999265021,0.6154189083643323,0.013024293585458091,0.00954614233211358,0.019933803000185435,0.02925266957597622,0.019916962232861435,0.016675613992619187,G,0,0.0970873786407767,1.4823087341594528e-09,0.20168042201615233,1.4765587322054157,0.9617348700403574
0.20168042053384358,,,358,,0.003964748000043983,0.018783154009022404,1.5293889084919592,0.6137615321170695,0.9909636124169781,B4,32,1.4080001164984424e-06,0.99999999265021,0.6206955810477714,0.005995166681427855,0.016050897660557853,0.010573091999958706,0.04065233052234357,0.01034244682368135,0.036807185323631475,G,0,0.0970873786407767,1.4823087341594528e-09,0.20168042201615233,1.4969512558281461,0.8270928707250595
0.20168042053384358,,0.1458171488884643,358,1.2351635149619782,0.007455930999867633,0.019389827300537007,2.2835553295127413,0.44961507404023926,0.9923140857676033,E0,32,0.0006144159999621479,0.99999999265021,0.6291208533044528,0.0001180110751729524,0.04362268431267162,0.028542517999994743,0.11512265703566746,0.007004068137549335,0.10919384776291052,G,0,0.0970873786407767,1.4823087341594528e-09,0.20168042201615233,2.2511176768489283,0.3819560754053088
0.20168042053384358,,0.25814352965973586,358,1.4585209512461328,0.008552740999903108,0.020061440183720216,2.170491510288028,0.5359865305637344,0.9992059470805766,E1,32,0.0006531340000037744,0.99999999265021,0.6559201257114698,0.02014365448903821,0.03745385589719781,0.029756610999811528,0.11305718178851479,0.027325785226015364,0.0822625425520308,G,0,0.08737864077669903,1.4823087341594528e-09,0.20168042201615233,2.138053857624215,0.39381462150916896
0.20168041383553462,0.0,,1631,,0.0029726850000315608,0.07895888658888485,1.2407391951142597,0.17042798266036915,0.7748251278907259,B0-NUTS,32,,0.9999999594377201,0.606221535501315,0.004021091836726498,0.0005506449583644463,1.5206441190000533,0.013656964599275068,0.003970169439883486,0.0017798638086755636,G,0,0.1941747572815534,8.18061771147104e-09,0.20168042201615233,1.2083015424504466,0.7206240377706996
