B2-C_charged_fit_seconds,B2-C_fit_seconds,B2-G_charged_fit_seconds,B2-G_fit_seconds,B3_charged_fit_seconds,B3_fit_seconds,B4_charged_fit_seconds,B4_fit_seconds,E0_charged_fit_seconds,E0_fit_seconds,E1_charged_fit_seconds,E1_fit_seconds,analytic_loo_seconds,crossfit_forward_evaluations,crossfit_optimizer_iterations,crossfit_pit_mean,crossfit_pit_std,crossfit_seconds,final_reference_seconds,loo_pit_mean,loo_pit_std,map_device,map_forward_evaluations,map_optimizer_callbacks,map_optimizer_iterations,map_retries,n,nuts_seconds,peak_torch_cuda_bytes,pit_clamps,prediction_device,regime,seed
13.090885020000087,0.019570447999967655,13.773737531000052,0.7024229589999322,13.103725386000178,0.03241081400005896,13.160696459000292,0.08938188700017236,13.096126482000273,0.024811910000153148,13.100504408999996,0.029189836999876206,0.0018087670000568323,0,281,0.5317019014251542,3.7984227405941624,9.243107934000136,3.8282066379999833,0.028636043988931978,0.9001143389195538,cpu,0,293,74,0,16,24.13666182199995,1270697984,2,cuda,G,0
12.193821729000092,0.018985904000146547,12.18700806999982,0.012172244999874238,12.20758143099988,0.032745605999934924,12.23843136000005,0.06359553500010406,12.19805342199993,0.02321759699998438,12.210984146999863,0.03614832199991724,0.002792934000126479,0,257,0.14706238745998648,2.2455377040321,10.472741280000037,1.702094544999909,-0.013037915142500245,0.9198007302085744,cpu,0,250,63,0,32,19.86192092500005,1273431040,0,cuda,G,0
21.659654944000295,0.01483020400019086,21.653410537000127,0.008585797000023376,21.678518244000088,0.03369350399998439,21.703029761000153,0.05820502100004887,21.708378582000023,0.06355384199991931,21.72307500900024,0.07825026900013654,0.02637296000011702,0,285,-0.145916779822943,1.3359061224985678,17.291264901000204,4.3535598389998995,-0.034412128805025005,0.9761411133859454,cpu,0,269,68,0,64,18.648773076999987,1278166016,0,cuda,G,0
12.803267217000212,0.013785532000156309,12.797302444000024,0.007820758999969257,12.811006247000023,0.021524561999967773,12.848898068999915,0.059416383999860045,12.807838629000116,0.01835694400006105,12.812228846000153,0.02274716100009755,0.0029091809999499674,0,270,0.7372723765588046,3.337119635592027,9.370507312999962,3.4189743720000934,0.04181689086269515,0.9599108662918752,cpu,0,273,69,0,16,14.291267005000009,1275432960,0,cuda,W,0
16.225772161999885,0.01602934099992126,16.220676814999933,0.010933993999969971,16.23611538199998,0.026372561000016503,16.27086929999996,0.061126478999995015,16.230693432999942,0.02095061199997872,16.237849244000017,0.028106423000053837,0.005447429000014381,0,311,0.08023900016531194,2.25685167897529,14.576468634000094,1.63327418699987,0.030740818265204348,0.8191720569839539,cpu,0,226,57,0,32,15.949972652999804,1278166016,0,cuda,W,0
27.558598674999985,0.0172283320000588,27.55445266899983,0.013082325999903333,27.577776679999943,0.03640633700001672,27.59920322699986,0.0578328839999358,27.650046626999938,0.10867628400001195,27.578988851000076,0.03761850800015054,0.005153743999926519,0,325,-0.16052405287424865,1.5241291729574422,22.00767976499992,5.533690578000005,0.003298539058449991,0.9773778376053303,cpu,0,370,93,0,64,14.14241070900016,1282813440,1,cuda,W,0
16.27047732699998,0.019833220000009533,16.261018605000118,0.01037449800014656,16.279589395999892,0.028945288999921104,16.30970139200008,0.059057285000108095,16.273609611999973,0.02296550500000194,16.277427378999846,0.02678327199987507,0.002580608000016582,0,311,0.32519149884503684,2.8651618039529922,14.137044791000108,2.1135993159998634,-0.0413944043218913,0.6441433100387693,cpu,0,274,69,0,16,13.042969161999963,1283908608,1,cuda,G,1
11.789821282000048,0.015974827000036385,11.785885097000119,0.012038642000106847,11.804729143000031,0.030882688000019698,11.847397107000006,0.07355065199999444,11.797513333000097,0.02366687800008549,11.80706559400005,0.03321913900003892,0.02504341899998508,0,231,0.0759926923220919,1.966875925740414,9.736435240999981,2.0374112140000307,0.009336964041847588,0.9179387526123193,cpu,0,165,42,0,32,15.010171193000133,1286137856,0,cuda,G,1
22.24097586500011,0.01505070700000033,22.237420909000093,0.011495750999984011,22.260780332000195,0.034855174000085754,22.290466884000125,0.06454172600001584,22.362408376000076,0.13648321799996666,22.260211590000154,0.03428643200004444,0.0054098220000469155,0,273,-0.21740812368941642,1.7895395874907793,17.994873894999955,4.231051263000154,0.012015614188943119,0.8982716703676197,cpu,0,253,64,0,64,14.638826459000029,1290782720,1,cuda,G,1
10.890552132999801,0.01600297100003445,10.885309874999848,0.010760713000081523,10.904649112999778,0.03009995100001106,10.935029376999637,0.06048021499987044,10.895593518999704,0.02104435699993701,10.899372449999646,0.02482328799987954,0.003554494999889357,0,294,0.24685839332357712,2.988214646577806,8.775302898999826,2.099246262999941,0.021129817357925663,0.650614043697599,cpu,0,241,61,0,16,13.42832741999996,1291877888,1,cuda,W,1
