method,seed,bo_iteration,selected_action_index,selected_action_x,observed_scalar_outcome,incumbent_before_observation,incumbent,noise_free_best_value_observed,simple_regret,t_0_10_status,t_0_10,active_factor_indices,M_t,N,cumulative_factor_use_through_iteration,cumulative_final_active_factor_use,raw_factor_likelihood_evaluation_count,inference_ess,inference_ess_fraction,inference_wall_time_seconds,selected_action_acquisition_estimate,structural_bound_at_worst_challenger,empirical_inference_allowance,adaptive_heldout_full_target_acquisition_regret,numerical_accuracy_reliable,config_sha256,starting_git_commit,preference_bank_sha256,scalar_noise_sha256,screened_factor_source,scalar_observation_count
full,0,5,12,0.75,0.9953544694200632,0.5246475482787409,0.9953544694200632,0.9882354306132825,0.0,reached,5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,40,48,524344,65513.93223074245,0.9996632725638191,0.04022237495519221,0.009878266583699592,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,8
full,0,6,13,0.8125,0.7059402861962635,0.9953544694200632,0.9953544694200632,0.9882354306132825,0.0,reached,5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,48,48,524344,65517.35230315949,0.9997154587274092,0.039316375041380525,0.00040276222816125495,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,9
adaptive,0,1,3,0.1875,0.5246475482787409,0.2497805845436931,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,7,42,983250,16373.278487060838,0.9993456107825218,0.16505591641180217,0.06649708696742507,0.0,0.0,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,4
adaptive,0,2,0,0.0,0.002098736133679174,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,14,42,983252,16373.150756947687,0.9993378147551079,0.13808220764622092,0.010518383634344824,2.0904185861954237e-05,0.0011263291520166596,9.25303677724431e-05,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,5
adaptive,0,3,10,0.625,0.15660596729376428,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,21,42,983252,16375.187020292627,0.9994620984065324,0.12448637513443828,0.0096835855672326,6.903826028672369e-05,0.0010465763334218724,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,6
adaptive,0,4,15,0.9375,0.003044720181691608,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,28,42,983250,16377.213820739918,0.9995858044885204,0.12250641523860395,0.009610645862734163,8.678978742122386e-05,0.0010294690355801856,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,7
adaptive,0,5,5,0.3125,0.18906972650135637,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,35,42,983250,16378.75081293206,0.9996796150471228,0.12282904516905546,0.009381373647721049,2.4862014803777555e-05,0.0012062962657083294,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,8
adaptive,0,6,12,0.75,0.9953544694200632,0.5246475482787409,0.9953544694200632,0.9882354306132825,0.0,reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,42,42,983250,16380.10378154868,0.9997621936980395,0.12200537603348494,0.009361983113806349,2.733310171503414e-05,0.001845509038565521,0.00021906121642699915,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,9
standard,1,1,1,0.0625,0.08429369470254913,0.2558262790720216,0.2558262790720216,0.258984272217597,0.7292511583956854,not_reached,7,[],0,8,0,0,0,,,0.0,0.05088257564993116,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,4
standard,1,2,3,0.1875,0.5159708189063935,0.2558262790720216,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,,,0.0,0.05088169531284139,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,5
