support_count,model_name,domain,node_count,spearman_pbe_rank_vs_map_rank,strict_pair_ordering_accuracy,strict_pair_count,map_standard_deviation,map_range,decile_count,top_decile_minus_bottom_decile_map_contrast,optimization_iterations,factor_gradient_calls,optimization_wall_seconds
500,NORMALIZED_ALL_PAIRS_PBE_500_V1,support,500,0.9897442696242639,0.9571192610529354,124718,0.1505890129667505,0.6247674241599137,50,0.468180855898897,11,13,0.03168745897710323
500,NORMALIZED_ALL_PAIRS_PBE_500_V1,actions,191,0.9881802838247451,0.955800496004409,18145,0.13127579097808326,0.5366290683301944,20,0.4189183612277849,11,13,0.03168745897710323
1000,NORMALIZED_ALL_PAIRS_PBE_1000_DEV,support,1000,0.9874515753531576,0.9510955000490627,499361,0.1582281658285371,0.6710017285778698,100,0.4913980704052704,11,13,0.1187108748126775
1000,NORMALIZED_ALL_PAIRS_PBE_1000_DEV,actions,191,0.9852318131716726,0.9501791127032241,18145,0.13794822469709242,0.5649589095210283,20,0.43533362344699045,11,13,0.1187108748126775
2142,NORMALIZED_ALL_PAIRS_PBE_2142_DEV,support,2142,0.9756380330613181,0.9302219469211844,2292440,0.18570454229126057,0.7988771738083988,215,0.5731837300228835,1,17,0.7376992499921471
2142,NORMALIZED_ALL_PAIRS_PBE_2142_DEV,actions,191,0.9713471341967483,0.9267015706806283,18145,0.15505789995952635,0.6727350636950304,20,0.48435377368531307,1,17,0.7376992499921471
