round,batch_id,chunk_index,proposals_generated,proposals_consumed,accepted_candidates,accepted_retained,cumulative_proposals_generated,cumulative_proposals_consumed,cumulative_accepted_retained
5,cert-r05-7b1f78d701ef1cfec013,26,25000,25000,8373,8373,675000,675000,225530
5,cert-r05-7b1f78d701ef1cfec013,27,25000,25000,8371,8371,700000,700000,233901
5,cert-r05-7b1f78d701ef1cfec013,28,25000,25000,8499,8499,725000,725000,242400
5,cert-r05-7b1f78d701ef1cfec013,29,25000,25000,8364,8364,750000,750000,250764
5,cert-r05-7b1f78d701ef1cfec013,30,25000,25000,8329,8329,775000,775000,259093
5,cert-r05-7b1f78d701ef1cfec013,31,25000,25000,8403,8403,800000,800000,267496
5,cert-r05-7b1f78d701ef1cfec013,32,25000,25000,8191,8191,825000,825000,275687
5,cert-r05-7b1f78d701ef1cfec013,33,25000,25000,8414,8414,850000,850000,284101
5,cert-r05-7b1f78d701ef1cfec013,34,25000,25000,8414,8414,875000,875000,292515
5,cert-r05-7b1f78d701ef1cfec013,35,25000,25000,8339,8339,900000,900000,300854
5,cert-r05-7b1f78d701ef1cfec013,36,25000,25000,8329,8329,925000,925000,309183
5,cert-r05-7b1f78d701ef1cfec013,37,25000,25000,8411,8411,950000,950000,317594
5,cert-r05-7b1f78d701ef1cfec013,38,25000,25000,8336,8336,975000,975000,325930
5,cert-r05-7b1f78d701ef1cfec013,39,25000,25000,8398,8398,1000000,1000000,334328
5,cert-r05-7b1f78d701ef1cfec013,40,25000,25000,8366,8366,1025000,1025000,342694
5,cert-r05-7b1f78d701ef1cfec013,41,25000,25000,8417,8417,1050000,1050000,351111
5,cert-r05-7b1f78d701ef1cfec013,42,25000,25000,8400,8400,1075000,1075000,359511
5,cert-r05-7b1f78d701ef1cfec013,43,25000,25000,8429,8429,1100000,1100000,367940
5,cert-r05-7b1f78d701ef1cfec013,44,25000,25000,8372,8372,1125000,1125000,376312
5,cert-r05-7b1f78d701ef1cfec013,45,25000,25000,8319,8319,1150000,1150000,384631
5,cert-r05-7b1f78d701ef1cfec013,46,25000,25000,8281,8281,1175000,1175000,392912
5,cert-r05-7b1f78d701ef1cfec013,47,25000,25000,8452,8452,1200000,1200000,401364
5,cert-r05-7b1f78d701ef1cfec013,48,25000,25000,8355,8355,1225000,1225000,409719
5,cert-r05-7b1f78d701ef1cfec013,49,25000,25000,8384,8384,1250000,1250000,418103
5,cert-r05-7b1f78d701ef1cfec013,50,25000,25000,8418,8418,1275000,1275000,426521
5,cert-r05-7b1f78d701ef1cfec013,51,25000,25000,8385,8385,1300000,1300000,434906
5,cert-r05-7b1f78d701ef1cfec013,52,25000,25000,8440,8440,1325000,1325000,443346
5,cert-r05-7b1f78d701ef1cfec013,53,25000,25000,8385,8385,1350000,1350000,451731
5,cert-r05-7b1f78d701ef1cfec013,54,25000,25000,8346,8346,1375000,1375000,460077
5,cert-r05-7b1f78d701ef1cfec013,55,25000,25000,8410,8410,1400000,1400000,468487
5,cert-r05-7b1f78d701ef1cfec013,56,25000,25000,8353,8353,1425000,1425000,476840
5,cert-r05-7b1f78d701ef1cfec013,57,25000,25000,8189,8189,1450000,1450000,485029
5,cert-r05-7b1f78d701ef1cfec013,58,25000,25000,8289,8289,1475000,1475000,493318
5,cert-r05-7b1f78d701ef1cfec013,59,25000,25000,8446,8446,1500000,1500000,501764
5,cert-r05-7b1f78d701ef1cfec013,60,25000,25000,8368,8368,1525000,1525000,510132
5,cert-r05-7b1f78d701ef1cfec013,61,25000,25000,8436,8436,1550000,1550000,518568
5,cert-r05-7b1f78d701ef1cfec013,62,25000,25000,8371,8371,1575000,1575000,526939
5,cert-r05-7b1f78d701ef1cfec013,63,25000,25000,8365,8365,1600000,1600000,535304
5,cert-r05-7b1f78d701ef1cfec013,64,25000,25000,8434,8434,1625000,1625000,543738
5,cert-r05-7b1f78d701ef1cfec013,65,25000,25000,8340,8340,1650000,1650000,552078
5,cert-r05-7b1f78d701ef1cfec013,66,25000,25000,8215,8215,1675000,1675000,560293
