action_index,action,is_leader,is_maximizer,active_acquisition,estimated_gap,lambda_q,b_infer,b_struct,psi
0,-0.58,False,False,0.1840217186607988,-0.1352967305817343,1.2868255819642098,0.020257504946456874,0.5000393656622137,0.3850001400269363
1,-0.5787,False,False,0.18386545652618738,-0.13545299271634573,1.2930113610122766,0.020354882906158788,0.499511749725836,0.3844136399156491
2,-0.5773999999999999,False,False,0.1837057706425595,-0.1356126785999736,1.2995924313381204,0.020458483632276828,0.49902178952878357,0.38386759456108677
3,-0.5761,False,False,0.18354522581313445,-0.13577322342939865,1.3065657801660961,0.02056825969700229,0.4985694320764841,0.3833644683440877
4,-0.5748,False,False,0.18343164490825042,-0.13588680433428268,1.311490579522934,0.02064578702372762,0.49815462844151387,0.3829136111309588
5,-0.5735,False,False,0.18357155353648655,-0.13574689570604656,1.3033897451373728,0.020518261821450053,0.4977773337583084,0.3825486998737119
6,-0.5721999999999999,False,False,0.18371858257769483,-0.13559986666483828,1.2956693320718213,0.020396725299285663,0.4974375072183065,0.38223436585275383
7,-0.5709,False,False,0.18386848850281676,-0.13544996073971635,1.288332953270415,0.020281234333033873,0.4971351120655381,0.38196638565885566
8,-0.5696,False,False,0.18401765988801663,-0.13530078935451648,1.2813841499467649,0.020171844669295655,0.49687011559264926,0.38174117090742843
9,-0.5682999999999999,False,False,0.1841641301840917,-0.1351543190584414,1.2748263774913442,0.02006861070362437,0.4966424891373625,0.3815567807825454
10,-0.567,False,False,0.1843068538600808,-0.1350115953824523,1.2686629912819474,0.01997158525715073,0.4964522080793785,0.38141219795407694
11,-0.5657,False,False,0.1844452765022864,-0.1348731727402467,1.262897232493682,0.01988081935320042,0.4962992518377129,0.3813068984506666
12,-0.5644,False,False,0.1845790998795176,-0.13473934936301551,1.2575322140110057,0.019796361995518152,0.49618360386846927,0.3812406165009719
13,-0.5630999999999999,False,False,0.18470815885817968,-0.13461029038435343,1.2525709065493211,0.01971825994979059,0.49610525166305064,0.3812132212284878
14,-0.5618,False,False,0.1848323582292486,-0.13448609101328451,1.248016125097451,0.01964655753022068,0.49606418674680586,0.381224653263742
15,-0.5605,False,False,0.18495164075884823,-0.13436680848368487,1.2438705157947327,0.019581296392943856,0.496060404678114,0.381274892587373
16,-0.5591999999999999,False,False,0.18506597128987584,-0.13425247795265727,1.2401365433574032,0.01952251533809128,0.4960939050479025,0.38136394243333654
17,-0.5579,False,False,0.18517532898580769,-0.13414312025672542,1.2368164791682117,0.01947025012229378,0.49616469147960374,0.3814918213451721
18,-0.5566,False,False,0.18527970363298973,-0.13403874560954337,1.2339123901407798,0.01942453328338205,0.49627277162954775,0.38165855930338644
19,-0.5552999999999999,False,False,0.1853790939252302,-0.13393935531730292,1.231426128466054,0.019385393978972924,0.4964181571877887,0.38186419584945874
20,-0.5539999999999999,False,False,0.18547350670544208,-0.13384494253709103,1.22935932234223,0.019352857840537738,0.4966008638793702,0.3821087791828169
21,-0.5527,False,False,0.18556295668515924,-0.13375549255737387,1.227713367781863,0.019326946844427928,0.4968209114660262,0.3823923657530802
22,-0.5514,False,False,0.18564746644278807,-0.13367098279974504,1.2264894215805513,0.019307679201186468,0.4970783237483181,0.38271502014975955
23,-0.5500999999999999,False,False,0.18572706664305325,-0.13359138259947986,1.225688395520732,0.019295069264302668,0.49737312856820937,0.38307681523303216
24,-0.5488,False,False,0.18580179649195627,-0.13351665275057684,1.2253109518719323,0.019289127459376082,0.4977053578120768,0.3834778325208761
25,-0.5475,False,False,0.18587170448097287,-0.13344674476156024,1.2253575002354593,0.019289860234444914,0.49807504741415914,0.38391816288704383
26,-0.5462,False,False,0.18593684950178144,-0.13338159974075167,1.2258281957672577,0.019297270032009806,0.4984822373604445,0.3843979076517026
27,-0.5448999999999999,False,False,0.1859973024406479,-0.1333211468018852,1.2267229387977616,0.019311355283049482,0.49892697169299405,0.3849171801741583
28,-0.5436,False,False,0.18605314839780346,-0.13326530084472965,1.2280413758522881,0.019332110423083998,0.49940929851470706,0.38547610809306143
29,-0.5423,False,False,0.1861044897283647,-0.1332139595141684,1.229782902060208,0.019359525930100475,0.49992926999452225,0.3860748364104543
30,-0.5409999999999999,False,False,0.18615145017356438,-0.13316699906896873,1.2319466649260187,0.019393588383918196,0.5004869423730622,0.3867135316880117
31,-0.5397,False,False,0.18619418044852676,-0.13312426879400635,1.2345315694208918,0.019434280546340926,0.5010823759687153,0.3873923877210499
32,-0.5384,False,False,0.18623286577265763,-0.13308558346987548,1.2375362843394793,0.019481581461227207,0.5017156351841592,0.3881116331755109
33,-0.5370999999999999,False,False,0.18626773594564555,-0.13305071329688756,1.2409592498540594,0.019535466573409477,0.5023867885133284,0.38887154178985034
34,-0.5357999999999999,False,False,0.18629907860005004,-0.13301937064248306,1.244798686186637,0.01959590786521227,0.5030959085488209,0.38967244577155014
35,-0.5345,False,False,0.18632725596452218,-0.13299119327801093,1.249052603309637,0.01966287400916276,0.5038430719897515,0.39051475272090336
36,-0.5332,False,False,0.18635272427701166,-0.13296572496552145,1.2537188115774083,0.01973633053535436,0.504628359650046,0.39139896521987894
37,-0.5318999999999999,False,False,0.18637605166969476,-0.13294239757283835,1.258794933184063,0.01981624001181866,0.5054518564671836,0.3923256989061639
38,-0.5306,False,False,0.18639792283747658,-0.13292052640505653,1.2642784143382206,0.019902562236183047,0.5063136515113826,0.39329568734250914
39,-0.5293,False,False,0.1864191058510972,-0.13289934339143591,1.2701665380420297,0.01999525443684104,0.5072138379952351,0.39430974904064026
40,-0.5279999999999999,False,False,0.18644034801510156,-0.13287810122743154,1.2764564373603737,0.02009427148183915,0.5081525132837893,0.3953686835381969
41,-0.5267,False,False,0.18646221841148616,-0.13285623083104695,1.2831451090663697,0.020199566093687494,0.5091297789050786,0.39647311416771913
42,-0.5254,False,False,0.18648509068779787,-0.13283335855473524,1.2902294275510429,0.020311089068329083,0.5101457405611062,0.39762347107470003
43,-0.5241,False,False,0.18666089627865076,-0.13265755296388235,1.2865614169086852,0.020253346399258267,0.5112005081392753,0.39879630157465124
44,-0.5227999999999999,False,False,0.18691088403606798,-0.13240756520646513,1.278320633802492,0.02012361809195995,0.5122941957242743,0.4000102486097691
45,-0.5215,False,False,0.187163597610641,-0.1321548516318921,1.270461945845661,0.019999904814582324,0.5134269216104193,0.4012719747931095
46,-0.5202,False,False,0.18741651452950933,-0.13190193471302378,1.2629892738375956,0.019882268289253404,0.5145988083144466,0.40257914189067623
