action_index,action,is_leader,is_maximizer,active_acquisition,estimated_gap,lambda_q,b_infer,b_struct,psi
0,-0.58,False,True,0.18343208968533112,-0.13574749403304312,1.2844428667860168,0.0202199956948654,0.2896546245187162,0.1741271261805385
1,-0.5787,False,False,0.18324147870878213,-0.1359381050095921,1.290644391057139,0.020317621519498192,0.288217885682897,0.17259740219280312
2,-0.5773999999999999,False,False,0.18304548667208334,-0.1361340970462909,1.2972418177010263,0.02042147973054528,0.2868092983719985,0.17109668105625286
3,-0.5761,False,False,0.1828491913661422,-0.13633039235223204,1.3042321048734868,0.0205315224425942,0.2854287102318443,0.16962984032220646
4,-0.5748,False,False,0.1827128322504152,-0.13646675146795903,1.30917008227085,0.020609257221071244,0.2840759719366746,0.16821847768978682
5,-0.5735,False,False,0.1828740772845954,-0.13630550643377884,1.3010592726459476,0.020481574986276504,0.2827509371729974,0.16692700572549504
6,-0.5721999999999999,False,False,0.18304186246127266,-0.13613772125710158,1.2933294947658298,0.02035989104104246,0.28145346262376036,0.16567563240770125
7,-0.5709,False,False,0.18320826012842134,-0.1359713235899529,1.2859843879858615,0.020244262676940197,0.2801834079528516,0.1644563470398389
8,-0.5696,False,False,0.18337000064412853,-0.1358095830742457,1.279027519380328,0.02013474604767539,0.27894063578992,0.16326579876334968
9,-0.5682999999999999,False,False,0.18352594194617236,-0.13565364177220188,1.2724623695087374,0.02003139594501814,0.2777250117155162,0.1621027658883325
10,-0.567,False,False,0.18367571745583897,-0.13550386626253527,1.2662923180821188,0.019934265573158548,0.2765364042465557,0.16096680355717896
11,-0.5657,False,False,0.18381922390526503,-0.1353603598131092,1.2605206296270641,0.019843406323026756,0.2753746848220958,0.15985773133201336
12,-0.5644,False,False,0.18395643912172346,-0.13522314459665077,1.255150439251449,0.01975886754821363,0.27423972778943084,0.1587754507409937
13,-0.5630999999999999,False,False,0.18408736070052414,-0.1350922230178501,1.2501847386208562,0.019680696344208413,0.27313141039050187,0.1577198837168602
14,-0.5618,False,False,0.1842119871473343,-0.13496759657103993,1.2456263622586268,0.01960893733273094,0.27204961274861855,0.15669095351030957
15,-0.5605,False,False,0.18433031372665057,-0.13484926999172367,1.2414779742849382,0.019543632452975173,0.2709942178554934,0.15568858031674487
16,-0.5591999999999999,False,False,0.18444233322799752,-0.13473725049037671,1.237742055711268,0.019484820761595703,0.2699651115585856,0.15471268182980458
17,-0.5579,False,False,0.1845480381129145,-0.13463154560545973,1.2344208924058722,0.019432538243257552,0.2689621825487549,0.15376317518655275
18,-0.5566,False,False,0.1846474227456991,-0.13453216097267515,1.2315165638434564,0.019386817633530888,0.26798532234822203,0.15283997900907778
19,-0.5552999999999999,False,False,0.18474048526459558,-0.13443909845377866,1.2290309327479716,0.019347688255845534,0.2670344252988354,0.1519430151009023
20,-0.5539999999999999,False,False,0.18482722899558227,-0.13435235472279197,1.226965635731412,0.019315175874124776,0.26610938855064303,0.15107220970197582
21,-0.5527,False,False,0.18490766345164922,-0.13427192026672502,1.2253220750236786,0.01928930256259495,0.2652101120507682,0.15022749434663815
22,-0.5514,False,False,0.1849818050106572,-0.13419777870771704,1.224101411379092,0.019270086594118142,0.26433649853258834,0.14940880641898943
23,-0.5500999999999999,False,False,0.1850496773725349,-0.13412990634583935,1.2233045582340902,0.019257542348221326,0.2634884535052133,0.1486160895075953
24,-0.5488,False,False,0.1851113118837195,-0.13406827183465475,1.2229321771782313,0.01925168023979983,0.2626658852432666,0.1478492936484117
25,-0.5475,False,False,0.18516674779329187,-0.13401283592508237,1.222984674787027,0.01925250666925908,0.2618687047769627,0.14710837552113942
26,-0.5462,False,False,0.185216032474515,-0.13396355124385922,1.2234622008506175,0.01926002399463,0.26109682588248573,0.1463932986332565
27,-0.5448999999999999,False,False,0.18525922160649075,-0.1339203621118835,1.2243646480171444,0.019274230525954884,0.2603501650726614,0.14570403348673278
