absolute_decision_regret,approximate_index,budget,count,exact_index_agreement,max_absolute_error,method,normalized_decision_regret,normalized_max_error,regret_bound_pass,regret_bound_slack,repetition,retained,rmse,seed,spearman,teacher_index,top5_overlap,twice_delta
0.007026225850658208,253,4,8,False,0.12234499106188533,random_equal,0.023453276384853363,0.40838295703347055,True,0.23766375627311245,0,4,0.03780066851747077,0,0.9139820325017165,91,0.5384615384615384,0.24468998212377066
0.004247256989794002,131,4,8,False,0.2080840837096249,random_equal,0.014177183338023145,0.694576808411819,True,0.4119209104294558,1,4,0.0613287352138711,0,0.967715009155413,91,0.9230769230769231,0.4161681674192498
0.007026225850658208,253,4,8,False,0.14326896555250238,random_equal,0.023453276384853363,0.478226393215086,True,0.27951170525434654,2,4,0.0392698416302339,0,0.9320460917830166,91,0.6923076923076923,0.28653793110500475
0.0,91,4,8,True,0.1914765952780093,random_equal,0.0,0.6391416395852366,True,0.3829531905560186,3,4,0.04487423004003236,0,0.9738384069581137,91,0.8461538461538461,0.3829531905560186
0.021980055181568814,71,4,8,False,0.09418276548183051,random_equal,0.07336859362119279,0.31437851223189356,True,0.1663854757820922,4,4,0.03659900761076242,0,0.9593549725337605,91,0.6923076923076923,0.18836553096366102
0.03786248117404062,192,4,8,False,0.14612572406998486,random_equal,0.12638353142432723,0.4877621451962188,True,0.2543889669659291,5,4,0.034403242106538966,0,0.923833400091554,91,0.5384615384615384,0.2922514481399697
0.007026225850658208,253,4,8,False,0.16359535869001204,random_equal,0.023453276384853363,0.5460751254212308,True,0.3201644915293659,6,4,0.05094354903981693,0,0.9173380636301212,91,0.6923076923076923,0.3271907173800241
0.0804819845182192,111,4,8,False,0.13683504528236623,random_equal,0.2686458230958317,0.4567502104761725,True,0.19318810604651326,7,4,0.050241643470843735,0,0.8890349622339208,91,0.5384615384615384,0.27367009056473246
0.004247256989794002,131,4,8,False,0.3886748438184142,random_equal,0.014177183338023145,1.2973819415524532,True,0.7731024306470344,8,4,0.11893198789812631,0,0.9351203078507666,91,0.8461538461538461,0.7773496876368284
0.03786248117404062,192,4,8,False,0.1872271064233865,random_equal,0.12638353142432723,0.6249570063667519,True,0.3365917316727324,9,4,0.04601755176040717,0,0.907262817578393,91,0.23076923076923078,0.374454212846773
0.0804819845182192,111,4,8,False,0.09782112312889168,random_equal,0.2686458230958317,0.32652321257275674,True,0.11516026173956417,10,4,0.03096530627344709,0,0.9226131551842524,91,0.6153846153846154,0.19564224625778337
0.007026225850658208,253,4,8,False,0.20117676592552536,random_equal,0.023453276384853363,0.6715204426598808,True,0.3953273060003925,11,4,0.04983957627477409,0,0.9036993591210803,91,0.6923076923076923,0.4023535318510507
0.007026225850658208,253,4,8,False,0.20621601693090943,random_equal,0.023453276384853363,0.6883412720943418,True,0.40540580801116066,12,4,0.07531120620496894,0,0.9446254863813228,91,0.6923076923076923,0.41243203386181887
0.0,91,4,8,True,0.10605738068512727,random_equal,0.0,0.3540155290665589,True,0.21211476137025453,13,4,0.03349417828245543,0,0.9257052529182876,91,0.6923076923076923,0.21211476137025453
0.0804819845182192,111,4,8,False,0.15641018713211563,random_equal,0.2686458230958317,0.5220912942718029,True,0.23233838974601206,14,4,0.04473021644013577,0,0.8593463893339435,91,0.46153846153846156,0.31282037426423126
0.0,91,4,8,True,0.13734064244453223,random_equal,0.0,0.4584378746981482,True,0.27468128488906446,15,4,0.04576391416291392,0,0.9273274776836803,91,0.5384615384615384,0.27468128488906446
0.0,91,4,8,True,0.13914084983713917,random_equal,0.0,0.4644468989490427,True,0.27828169967427835,16,4,0.03506585582921562,0,0.9384477283131148,91,0.5384615384615384,0.27828169967427835
0.007026225850658208,253,4,8,False,0.09557399905537481,random_equal,0.023453276384853363,0.3190223973289211,True,0.1841217722600914,17,4,0.0213209453655591,0,0.9668838693064773,91,0.6153846153846154,0.19114799811074962
0.007026225850658208,253,4,8,False,0.08963606776583946,random_equal,0.023453276384853363,0.29920180706498944,True,0.17224590968102071,18,4,0.025816767146370004,0,0.9262746051728082,91,0.7692307692307693,0.17927213553167892
0.007026225850658208,253,4,8,False,0.23788518793252697,random_equal,0.023453276384853363,0.7940517681938288,True,0.46874415001439573,19,4,0.07996551220032695,0,0.9189652952620736,91,0.8461538461538461,0.47577037586505394
0.0,91,4,8,True,0.11824268134514238,random_equal,0.0,0.39468960221567334,True,0.23648536269028475,20,4,0.03890530500522605,0,0.9647523746852824,91,0.6923076923076923,0.23648536269028475
0.03786248117404062,192,4,8,False,0.14365514874331753,random_equal,0.12638353142432723,0.4795154581130673,True,0.24944781631259444,21,4,0.03598959196022748,0,0.9531457427328907,91,0.38461538461538464,0.28731029748663506
0.007026225850658208,253,4,8,False,0.162630330266189,random_equal,0.023453276384853363,0.5428538970086769,True,0.3182344346817198,22,4,0.05851912703456073,0,0.9258876459143967,91,0.8461538461538461,0.325260660532378
0.007026225850658208,253,4,8,False,0.12379911023146006,random_equal,0.023453276384853363,0.41323675187374814,True,0.24057199461226192,23,4,0.029716211246793692,0,0.9366481174181732,91,0.8461538461538461,0.24759822046292013
0.03786248117404062,192,4,8,False,0.18459271646020065,random_equal,0.12638353142432723,0.6161635122170736,True,0.33132295174636067,24,4,0.054653032522766744,0,0.9277037079423207,91,0.3076923076923077,0.3691854329204013
0.0,91,4,8,True,0.10678973043045031,random_equal,0.0,0.356460084842663,True,0.21357946086090063,25,4,0.028345805388574317,0,0.9511015106431675,91,0.5384615384615384,0.21357946086090063
0.004247256989794002,131,4,8,False,0.12028699610649504,random_equal,0.014177183338023145,0.40151344763919444,True,0.23632673522319608,26,4,0.03261154634860185,0,0.9665026321812771,91,1.0,0.24057399221299008
0.0,91,4,8,True,0.1316425220200182,random_equal,0.0,0.43941776403976585,True,0.2632850440400364,27,4,0.028865063889938133,0,0.9686784733348591,91,0.7692307692307693,0.2632850440400364
0.0,91,4,8,True,0.15202584480998263,random_equal,0.0,0.5074565252745663,True,0.30405168961996526,28,4,0.04697735555696489,0,0.8743770027466239,91,0.5384615384615384,0.30405168961996526
0.004247256989794002,131,4,8,False,0.29255514413523487,random_equal,0.014177183338023145,0.9765380161486712,True,0.5808630312806757,29,4,0.1014169927830247,0,0.8650291828793774,91,0.8461538461538461,0.5851102882704697
0.0,91,4,8,True,0.08981270973738087,random_equal,0.0,0.29979143129110764,True,0.17962541947476174,30,4,0.02380113514083902,0,0.9253383211261156,91,0.8461538461538461,0.17962541947476174
0.03786248117404062,192,4,8,False,0.20437369463993266,random_equal,0.12638353142432723,0.6821916699041123,True,0.3708849081058247,31,4,0.053408216847449425,0,0.8798244735637444,91,0.23076923076923078,0.4087473892798653
0.007026225850658208,253,4,8,False,0.12295042061331468,posterior_medoid,0.023453276384853363,0.4104038579983748,True,0.23887461537597116,0,4,0.024943877130965256,0,0.9640886072327763,91,0.6923076923076923,0.24590084122662936
0.0,91,4,8,True,0.07280454001362399,acquisition_fw,0.0,0.24301880345216664,True,0.14560908002724798,0,4,0.019366741053079173,0,0.9657179846646828,91,0.8461538461538461,0.14560908002724798
0.0,91,8,8,True,0.18514059094495638,random_equal,0.0,0.6179922965442927,True,0.37028118188991277,0,8,0.05279917316623926,0,0.9303859578850995,91,0.9230769230769231,0.37028118188991277
