action_position_x,action_position_xhat,node_x,node_xhat,action_key_x,action_key_xhat,stable_pair_key,descriptor_graph_distance,distance_quartile,total_structural_influence,factors_for_50_percent,factor_fraction_for_50_percent,factors_for_75_percent,factor_fraction_for_75_percent,factors_for_90_percent,factor_fraction_for_90_percent,factors_for_95_percent,factor_fraction_for_95_percent
18,189,274,2112,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290236,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:d887f58cd09bbcad3a926842eb6afd7ad03508335f956512244e5600fc29a0b3,6,2,1.4106541022161445,685,0.005492390833720874,1569,0.012580381340303726,49481,0.39674305232604756,84354,0.6763578633396944
18,46,274,513,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000289999,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:e7b9b30195728e1d94e3e2197a7a27b1a8c003f6895c98b13e2f05adac167a6a,6,2,1.837177210307817,887,0.007112044773007906,6078,0.048733943777161275,49407,0.3961497137542295,83948,0.6731025192835036
3,18,78,274,current-nlr-pbe-gw-v1:gw:matdb:000009744,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:06053993505aacc47eaba12b91e7851de84ac27cd3c67dabd2628cb244e7b25c,7,3,1.543959717032526,747,0.005989512339838676,3011,0.024142465401946794,50197,0.40248400391282735,84527,0.6777449927035392
18,94,274,886,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000009916,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:0669176192869438017ecacf659cca193a2b4a74d2b958818435ec0d352d32ef,7,3,1.6123467095250392,781,0.006262127359322632,3994,0.03202424670055645,50248,0.40289292644205327,84431,0.6769752561779374
18,183,274,2056,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010902,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:0804a5015e09a262534668d8e3b353feb22bcd75e0580f6c1ad59becfd43f428,7,3,1.40460099334017,679,0.005444282300870765,1371,0.0109927997562501,48570,0.38943857342163923,83939,0.6730303564842284
18,47,274,514,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290087,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:09ce9e8c582ad0062585d056e15000f2fce96831c5016e49ca8bc1a0cf82a2cb,7,3,1.7022048975821658,825,0.006614923266890104,5041,0.04041918568290062,49629,0.3979297294696836,83996,0.6734873875463044
9,18,126,274,current-nlr-pbe-gw-v1:gw:matdb:000289592,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:10efa4483e7a59d484167ad4a212b11e31fb683a49b09e069e2aeb7d0f58d4d3,7,3,1.4617895635922469,708,0.005676806876312962,2113,0.016942221652047017,49596,0.397665132539008,84200,0.6751230776632082
18,114,274,1150,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010348,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:1367b243719419b65b13aefc7c73028c68a9d5898ef6569e11cbcd9877db47f6,7,3,1.688522500488986,817,0.006550778556423291,5003,0.04011449830818326,50538,0.40521817219647527,84454,0.6771596722205295
18,92,274,884,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000012050,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:1562483fbca6e3f758dbf40f9c004b1b01656af2f8f7bcbba1506bf847e2b1ab,7,3,1.5198715390535142,735,0.0058932952741384565,2756,0.022097852755817122,49390,0.39601340624448755,84186,0.6750108244198912
18,41,274,507,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010975,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:1afe14e7b30d7a9f52edd2afe8d8bfe8271ad7c275664e3cee60e3176483963a,7,3,1.6976559275869552,820,0.006574832822848346,4605,0.03692329896245931,50395,0.40407158549688094,84439,0.6770394008884042
