support_position,node_index,role,fps_addition_step,fps_selection_distance,action_key,composition_key,normalized_formula,pbe_band_gap_ev
10,73,pbe_only_fps,71,8.981674981191537,,current-nlr-pbe-gw-v1:composition:531078b082c052abf2d5ce8f8c2c0b641e715c29bcf839ac13b987aad5d3e3d8,Al Au3 O4 Rb8,1.319
11,76,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289692,current-nlr-pbe-gw-v1:composition:dff2d24c4076c82e94af1420dba81afecc62a472a5a7aec8241ab76e9642204b,Al Bi O3,2.857
12,77,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289828,current-nlr-pbe-gw-v1:composition:fdb5210930a780a827fc45d51a8d28d2fef71cbcf01d520c4d33e71423aacea3,Al Ce O3,1.956
13,78,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009744,current-nlr-pbe-gw-v1:composition:06053993505aacc47eaba12b91e7851de84ac27cd3c67dabd2628cb244e7b25c,Al Cu O2,2.209
14,81,pbe_only_fps,217,5.985369720273525,,current-nlr-pbe-gw-v1:composition:a73bbc9d813c95abc7aff8a31ed5677f26567e892f3f19c7d813e9e9b7eb70c9,Al Ge O5 Y,3.693
15,83,pbe_only_fps,234,5.799617763897512,,current-nlr-pbe-gw-v1:composition:0cdc1152675aa1425a837115208f600bfc46928b93e06e0259bbb2ebd12c9f06,Al K O2,3.776
16,88,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289861,current-nlr-pbe-gw-v1:composition:65ab19f031d981b671bc9b7db66928370376af77aaafe43481e621c03e41b78c,Al La O3,3.954
17,89,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011924,current-nlr-pbe-gw-v1:composition:5a1e77718cf88a9edd3f8d69315187137624f2d76386da326e33aebba3acf18a,Al Li O2,6.132
18,91,pbe_only_fps,250,5.583577503822112,,current-nlr-pbe-gw-v1:composition:1fe87eb4c06409cec9b8906f58d61a63fd7b8e9ca2db70a50657f19b08e7af02,Al Mo O7 V,2.275
19,95,pbe_only_fps,129,7.201643893190474,,current-nlr-pbe-gw-v1:composition:22708e55d3802df7dd77cde2536e8d8d70b29edd0114fbce641d0e8dc69fe9a6,Al Na O8 Si3,4.887
20,99,pbe_only_fps,53,10.137172280068874,,current-nlr-pbe-gw-v1:composition:3fe6c005bddcde53b69930b60d6c1cdf0491afa8e61583bc30dfe97d4a4e98f8,Al O3 Rb3,2.688
21,100,pbe_only_fps,193,6.192842508902613,,current-nlr-pbe-gw-v1:composition:8652d3f4316964f9f75f7e83be834312dae9c088af64c4905a6da813c01a97a7,Al O3 Sc,4.967
22,102,pbe_only_fps,249,5.6194721028134,,current-nlr-pbe-gw-v1:composition:7f231dbda5658033a5d4ae87278c8d592b1b3b911da500d22f6857ffca263749,Al O36 Zn35,1.571
23,110,pbe_only_fps,259,5.521973828315005,,current-nlr-pbe-gw-v1:composition:4bbfbf16d584deb58462ccdfd77fc3e5d630dfab0fe021dc7aa3e1bdc22c24d9,Al2 Ba Ge2 O8,3.911
24,120,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009985,current-nlr-pbe-gw-v1:composition:92553ca81a375b56cf17c50d42728c8881d2720a3b900845f319b13b73f72194,Al2 Cd O4,2.71
25,122,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009577,current-nlr-pbe-gw-v1:composition:70328d58b819ee144ab22569fc1f7a4f949c480e8d8f6da122c20cad81eb38d1,Al2 Co O4,3.195
26,125,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009995,current-nlr-pbe-gw-v1:composition:6d0a4afe846be473dbe687d67865665ee72de713e79dbbb16b6e3d7a40f0af40,Al2 Cu O4,1.16
27,126,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289592,current-nlr-pbe-gw-v1:composition:10efa4483e7a59d484167ad4a212b11e31fb683a49b09e069e2aeb7d0f58d4d3,Al2 Fe O4,2.235
28,128,pbe_only_fps,252,5.555686128434402,,current-nlr-pbe-gw-v1:composition:f09668066f2267ab712c987994e9910eb121920603337969d060d1a75ef708b1,Al2 Ge2 O7,3.406
29,131,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009582,current-nlr-pbe-gw-v1:composition:4ec54278782bdfe004c88db9f618f418ed76f0af4025461281ef31ef6dce5654,Al2 Mg O4,5.178
30,133,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010003,current-nlr-pbe-gw-v1:composition:b13cd6e1d68c6c857da983e7873d5138af4a7e7510d83191bdc211768ab942d6,Al2 Mn O4,3.048
31,137,pbe_only_fps,265,5.474818913422625,,current-nlr-pbe-gw-v1:composition:ef82788faf8a525181cb644f095c91663e42bc7f8572f4d76b57fb740218a731,Al2 Na3 Nb34 O64,0.54
32,138,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009592,current-nlr-pbe-gw-v1:composition:9b2366b9cb19bfd31d7ab51903592335881c053f280d990d0595fda6e7a050ad,Al2 Ni O4,2.606
33,143,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010014,current-nlr-pbe-gw-v1:composition:db68d5cd81e192a0b7bda51f8348e653b27678732839f6c996f3fc30f1a5b3e6,Al2 O3,6.189
34,144,pbe_only_fps,308,5.097170983014611,,current-nlr-pbe-gw-v1:composition:a5150c6e4c121b6f132e846222b5586358148b83947423bd3babff51e7cb3df1,Al2 O4 Pb,3.958
35,145,pbe_only_fps,230,5.848615517494491,,current-nlr-pbe-gw-v1:composition:1553a4f25a985862bf98c7569b100d971afe5f5af0db3fc6293d1ea3e7d397fb,Al2 O4 Sr,4.147
36,148,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009613,current-nlr-pbe-gw-v1:composition:622826bb7225cac133db84cdb310697e81ea1bc273e3e1c108d95749c2d90eff,Al2 O4 Zn,3.874
37,158,pbe_only_fps,70,9.001641385289286,,current-nlr-pbe-gw-v1:composition:5c70682537ae5a2735cfd589d69699da58777b10505b6a614f59cf72bdd8c678,Al32 N O47,4.659
38,160,pbe_only_fps,12,20.305600232799897,,current-nlr-pbe-gw-v1:composition:847ded9d1963871957cb297f9149bd0b69e715be837b5cce71954cde3883bdb3,Al36 N35 O,3.902
39,161,pbe_only_fps,69,9.00764238212152,,current-nlr-pbe-gw-v1:composition:1309a50a738efe50ac1fffed3fba6f9aa34b6c862dcae18e8f9a58620da77f4f,Al4 Ba Na2 O16 Si4,4.728
40,171,pbe_only_fps,167,6.668236132849055,,current-nlr-pbe-gw-v1:composition:801b5bf89aa78c08bf434860a12ba2b7f0af3b08eb66e3c7ff0a8e5b72456d65,Al5 Na17 O16,2.459
41,174,pbe_only_fps,104,7.855286343609393,,current-nlr-pbe-gw-v1:composition:e4caf42f3704335c72f2f6e14541b7ccc02429891b33bac420a70ba47f55cfc9,Al6 Ca4 O16 W,4
42,176,pbe_only_fps,9,21.08263547619124,,current-nlr-pbe-gw-v1:composition:7c077a7d006a30e92cea71dd1ca16388eef8ae97e0c42f07084a9f3473c24b44,Al6 O Si8 Sr13,0.067
43,180,pbe_only_fps,51,10.246474838681662,,current-nlr-pbe-gw-v1:composition:7ad1291c3e6bbe092e90e7588c03cb33512017ef87affdf76d4d47c2c5d70a2b,Au Co Na4 O5,1.973
44,182,pbe_only_fps,135,7.135367456930877,,current-nlr-pbe-gw-v1:composition:d6cd0372bed6641954ad8f896c809a1c6adebf9bd653d3d5af698ebf1629f865,Au Ga O2,0.052
45,185,pbe_only_fps,77,8.705933605877847,,current-nlr-pbe-gw-v1:composition:20fa093bf873f5cda6ec346e9ff2fa2cb6185308b4bdffee3a22f24704accb65,Au K3 O,0.609
46,187,pbe_only_fps,299,5.164160838867021,,current-nlr-pbe-gw-v1:composition:3148ffd525b79094ab5cef1034dde25597d2bae9003468e2a3093f2085896575,Au Na O2,1.322
47,188,pbe_only_fps,212,6.018872166173015,,current-nlr-pbe-gw-v1:composition:c7490a724392abe8fd1c64aaa58cbe7253b846e76a07c64425d9fbfb9ced9bea,Au Na2 O2 Rb,2.163
48,189,pbe_only_fps,60,9.488528124733188,,current-nlr-pbe-gw-v1:composition:f0511849c7914d2a1b3b2e3dcd7ff08f63cb7f775967b3dc50745496edeeb797,Au Na3 O2,2.066
49,190,pbe_only_fps,30,13.183458428269764,,current-nlr-pbe-gw-v1:composition:d47229db4c4792a55e7e4fc3d94d7564989f50123dd1cfa797aae9586e623128,Au O Rb,1.649
50,191,pbe_only_fps,280,5.360908546729007,,current-nlr-pbe-gw-v1:composition:706ee8d2697a446a8e76e391cfb7ca3560ffe2a6ad4983a9cfcf33b16676015e,Au O Rb3,0.23
51,192,pbe_only_fps,45,10.952222058644637,,current-nlr-pbe-gw-v1:composition:94f1a922e0afadc13954f97e0a6079f3e3ad4676331b60a4e95d57ba126c3bd4,Au O2 Rb,1.759
52,193,pbe_only_fps,155,6.852868771089595,,current-nlr-pbe-gw-v1:composition:c3788abf5201bb1571d7077f6714eb1a080d97deb6dd3dc41c671b69a8180555,Au O2 Sc,2.192
53,198,pbe_only_fps,216,5.986972924032647,,current-nlr-pbe-gw-v1:composition:3a41f44093bc95fa968f09eb97e4a9439842637b6cee6ced97186ea65a9d67d9,Au2 O3,1.108
54,202,pbe_only_fps,5,23.325359220926398,,current-nlr-pbe-gw-v1:composition:1753c0d3351fd661a44069b8ad0b045bb88454769a8434d6aeb6628d4af4e734,Au5 O2 Rb7,0.827
55,203,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010786,current-nlr-pbe-gw-v1:composition:131114703113be5d5aba5a77d23d6726379a9d8867dfd1463ca47f2fefc8388d,B2 O3,6.283
56,211,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289615,current-nlr-pbe-gw-v1:composition:cedd1d613edf7f124052eb855c5a1e1e22457cccc3cf4bf24c2a76dfa852ff27,Ba Ce O3,2.455
57,230,pbe_only_fps,209,6.044469219504896,,current-nlr-pbe-gw-v1:composition:e1fc9fd1943e5aa4493b8f2986b224d262b3b38e6008855c8c07f54861d9e7a1,Ba Cu O6 Si2,1.992
58,233,pbe_only_fps,74,8.776596448697548,,current-nlr-pbe-gw-v1:composition:020dd911f1bd5498de1d7cd7db0a06f838be1f8677f889ca65d3b15fac517995,Ba Cu2 O2,1.967
59,236,pbe_only_fps,243,5.668491814610939,,current-nlr-pbe-gw-v1:composition:cb344d72b41b94f90e7a729bac201b7c6050a9c6ad33e1d530dfd64bbb75db52,Ba Cu3 O4,0.751
60,238,pbe_only_fps,275,5.391968557635586,,current-nlr-pbe-gw-v1:composition:13d3aa42f9cbe2299acfd5a50912238ed622f5f425d2ab537a152ffe7bc72cc7,Ba Fe K O3,2.724
61,239,pbe_only_fps,101,7.876640578863064,,current-nlr-pbe-gw-v1:composition:4297a578212557c399732a583d85c14a7424d141302d8b7e00c33db3e552d961,Ba Fe O10 Si4,3.124
62,241,pbe_only_fps,18,17.697629779463437,,current-nlr-pbe-gw-v1:composition:9647929417377defc60c47d680956aee1664e607c059d32b5bb705bcb611448d,Ba Fe11 O4,0.033
63,247,pbe_only_fps,73,8.84303137777938,,current-nlr-pbe-gw-v1:composition:5fa23493da9f8298b02ca966ab89e15d33967176fa60d4d3eeeb5da513a907cb,Ba Fe4 O7 Y,0.894
64,254,pbe_only_fps,165,6.6762263676740705,,current-nlr-pbe-gw-v1:composition:2a270978f9ee421ab77704d5718c6bd0fbe9a098f4c8e1c59439f6350cf14f70,Ba Ge3 K4 O9,3.225
65,257,pbe_only_fps,226,5.9339527318571905,,current-nlr-pbe-gw-v1:composition:65a6ffae146ed30106c1e7585dc774cefb1ef8c42bfb72daa125069c6e7a0f00,Ba Hf O9 Si3,4.678
66,259,pbe_only_fps,302,5.1565283056339775,,current-nlr-pbe-gw-v1:composition:79e4d15a9d63ccb8e806e36150f04fc1beeef75f4d2d17eb58d866cc87039a12,Ba Hg O5 Ru,1.103
67,260,pbe_only_fps,161,6.754790394864545,,current-nlr-pbe-gw-v1:composition:6d331f3d6c6ac0156ab45a011b1a83e9ac02df196a1d2b99aff87bab1e0cee2b,Ba In2 La2 O7,2.441
68,268,pbe_only_fps,159,6.8109253487176495,,current-nlr-pbe-gw-v1:composition:59d330647f942b8b90acaec85a1ec3c444fc2eee53534cdc15c4fb8fdbd56fa7,Ba La2 O5 Pt,3.153
69,273,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000012394,current-nlr-pbe-gw-v1:composition:805421279fde474cdb9a2f1b27411c4d07debcb73f67c7543411247d1e67ddc1,Ba Mn O2,1.694
70,274,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4,Ba Mn O3,2.308
71,285,pbe_only_fps,215,6.004696990072295,,current-nlr-pbe-gw-v1:composition:437fd8af971958a59bedea525d3c00ea463f5aa7b414163f21daa2defff69a36,Ba Na O7 Sc Si2,4.532
72,292,pbe_only_fps,242,5.687332843380832,,current-nlr-pbe-gw-v1:composition:30dcf4244483903ef50f4fb37c52f6eb9faf6a255239363e443012611cab90a4,Ba Nb7 O9,0.044
73,294,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000012301,current-nlr-pbe-gw-v1:composition:9e0ad51dc7e098c85c45d5b3f79bdc75c26aa9ecfd9cafa5880f494ee6f77070,Ba Ni O2,1.248
74,295,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286928,current-nlr-pbe-gw-v1:composition:30b61fa5dfd7feaaada8b343ccc9af15cf888eb019bf67b5f0dad6e299504731,Ba Ni O3,1.378
75,299,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010038,current-nlr-pbe-gw-v1:composition:190d0f6b1b7d60984c823cbcccbff6f27477d38d1acbbaadac1ab09bf4709cba,Ba O,2.077
