state_id,grid_size,checkpoint,sample_count_per_batch,action_a,action_b,action_agreement,rank1_rank2_gap_a,rank1_rank2_gap_b,ess_fraction_a,ess_fraction_b,ess_absolute_a,ess_absolute_b,maximum_vector_difference,maximum_top_five_union_difference,cross_regret_a_under_b,cross_regret_b_under_a,pooled_action,pooled_top_two_gap,ess_pass,action_pass,vector_pass,frozen_rule_reliable,failure_classification,pair_wall_seconds,peak_rss_gb
n24_r-2_early_q4,24,early,8192,347,227,False,9.983520265827162e-05,0.0011113056408836863,0.533672231179909,0.5278767116260138,4371.842917825815,4324.366021640305,0.009291886989707121,0.009291886989707121,0.004768626650801189,9.983520265827162e-05,227,0.0006070489228880982,True,False,True,False,NEAR_TIE_ACTION_INSTABILITY,0.5279952499549836,0.396345344
n24_r-2_early_q4,24,early,16384,347,347,True,0.003154382175606374,0.0023529258592770996,0.5591499766861504,0.550696461590911,9161.113218025888,9022.610826705486,0.007317023824593372,0.007317023824593372,0.0,0.0,347,0.004071894637537377,True,True,True,True,PASS,1.0338284170720726,0.637059072
n24_r-2_early_q4,24,early,32768,227,227,True,0.007835047851503851,0.0014392583649967539,0.5433370347865302,0.5541121368762876,17804.06795588502,18157.14650116219,0.004889221612824901,0.004889221612824901,0.0,0.0,227,0.0047910181906401506,True,True,True,True,PASS,2.5248810828197747,0.891846656
n24_r-2_middle_q8,24,middle,8192,203,324,False,0.0001483659583905103,8.097839537088425e-05,0.532700776129437,0.5507420182330907,4363.884758052348,4511.678613365479,0.004323115874344335,0.004233062438436644,8.097839537088425e-05,0.0008703496181077033,203,0.0003944746907925678,True,False,True,False,NEAR_TIE_ACTION_INSTABILITY,0.4866332078818232,0.402374656
n24_r-2_middle_q8,24,middle,16384,203,203,True,0.001666063383231428,0.0011150998259255238,0.5455466941119093,0.5278087264457342,8938.237036329521,8647.618174086909,0.002337640716813534,0.0017702602663648911,0.0,0.0,203,0.001389237644654956,True,True,True,True,PASS,1.0190115419682115,0.647266304
n24_r-2_middle_q8,24,middle,32768,371,371,True,0.0006767331582118244,0.0007658996344520955,0.5102042597158721,0.5261307343749336,16718.373182369698,17240.251903997825,0.0023531591176359085,0.002275697063259287,0.0,0.0,371,0.0010224269569242342,True,True,True,True,PASS,2.2102712909691036,1.040351232
n24_r-2_late_q12,24,late,8192,372,371,False,5.798337208151594e-07,0.00013468210854927082,0.52728154076107,0.530558132062626,4319.490381914686,4346.332217857032,0.006558869889439767,0.006558869889439767,0.006231425329259799,0.00031101329419819246,324,6.446316672806957e-05,True,False,True,False,NEAR_TIE_ACTION_INSTABILITY,0.4876013749744743,0.39960576
n24_r-2_late_q12,24,late,16384,371,371,True,0.002988615104738926,0.0011029554466150879,0.5211590082217872,0.5287613983283461,8538.669190705761,8663.226750211623,0.002322152927944871,0.0021329729401830533,0.0,0.0,371,0.002046552872311126,True,True,True,True,PASS,1.0202811248600483,0.640925696
n24_r-2_late_q12,24,late,32768,371,371,True,0.0006213775920499154,0.003577020731757863,0.5316358141408248,0.5179224517064771,17420.64235776655,16971.28289751784,0.0033845556958826267,0.0033845556958826267,0.0,0.0,371,0.002101631548917668,True,True,True,True,PASS,2.1824010408017784,1.016446976
n40_r-2_early_q4,40,early,8192,900,900,True,0.0020403125924111087,0.0021533772849078314,0.2161554502786306,0.17009603127167364,1770.7454486825418,1393.4266881775504,0.024832000115228403,0.011167383737623993,0.0,0.0,900,0.002111909093221065,False,True,False,False,LOW_ESS,1.8693437920883298,0.92012544
n40_r-2_early_q4,40,early,16384,699,900,False,0.0005713536208552528,0.01006624046388499,0.1992527431635424,0.1984628659044359,3264.556943991479,3251.615594978278,0.016054113800836767,0.016054113800836767,0.02444192166936543,0.0005713536208552528,900,0.005688927644364294,False,False,False,False,LOW_ESS,3.75404812511988,1.400766464
n40_r-2_early_q4,40,early,32768,900,900,True,0.004119637083149386,0.0015944400886367949,0.20017257791141693,0.21135271742632036,6559.25503300131,6925.605844625666,0.011589015885233617,0.008648721422741146,0.0,0.0,900,0.0028723711907966964,True,True,False,False,GLOBAL_VECTOR_DISAGREEMENT_ONLY,8.413820583140478,2.200141824
n40_r-2_middle_q8,40,middle,8192,740,860,False,0.0026832612526451333,0.00024264410979265433,0.16340349213572067,0.232365599950416,1338.6014075758237,1903.538994793808,0.01390871302207225,0.01390871302207225,0.0037945297224787275,0.005519693967518613,939,0.00046344709114275184,False,False,False,False,LOW_ESS,1.9941629581153393,0.921092096
n40_r-2_middle_q8,40,middle,16384,659,939,False,0.0007809916096875313,0.002062239184474221,0.23238382607009997,0.19484521639365107,3807.376606332518,3192.344025393579,0.004584959816366117,0.003095879545031488,0.002062239184474221,0.0019088135910419746,939,5.1919944157000075e-05,False,False,True,False,LOW_ESS,4.150117750046775,1.346650112
n40_r-2_middle_q8,40,middle,32768,939,860,False,0.0009378169839375852,0.00013548272779469184,0.19712501814480096,0.19164596196943567,6459.392594568838,6279.854881814468,0.003986744205998295,0.003986744205998295,0.00013548272779469184,0.002041480925217748,939,0.0009483358411138051,False,False,True,False,LOW_ESS,9.540441249962896,2.49315328
n40_r-2_late_q12,40,late,8192,739,660,False,0.004150743836361534,0.0019680523890567084,0.14636370508136337,0.1734764679095266,1199.0114720265287,1421.1192251148418,0.0078101765515507585,0.0078101765515507585,0.004595140308649125,0.004654011249781882,739,2.757057202820018e-05,False,False,True,False,LOW_ESS,1.9833401669748127,0.925990912
n40_r-2_late_q12,40,late,16384,740,740,True,0.002566190725015363,0.003641983168547573,0.21712001546591198,0.1834673882445956,3557.294333393502,3005.9296889994544,0.006795369498928901,0.006795369498928901,0.0,0.0,740,0.0035715122458174833,False,True,True,False,LOW_ESS,5.040701375110075,1.531314176
n40_r-2_late_q12,40,late,32768,740,739,False,0.0001626582061775919,0.0017883564328947874,0.19096169978810681,0.15961127737436837,6257.432978656684,5230.142337003303,0.003293782588006699,0.0017491356223716392,0.0017894750116994665,0.0006890929243748636,739,0.0005507233641113274,False,False,True,False,LOW_ESS,11.98266112501733,2.181103616
