seed,u_kl,p_kl,u_regret,p_regret,u_within_one_percent,p_within_one_percent,real_pair_count,counter_oracle_significant_fraction,p_counter_sign_accuracy,p_counter_relative_error,p_pair_cosine,p_pair_projection
100,0.04247428949645893,0.026070176650163424,0.0,0.0,True,True,0,0.09375,1.0,0.430920621428994,0.5047682556779477,0.17112029917255211
101,0.05291343869858367,0.02450865395043933,0.0,0.0,True,True,0,0.09375,1.0,0.5174006903983952,0.7438860889674244,0.23057045118037028
102,0.06279869746760935,0.0256008554590208,0.0,0.0,True,True,0,0.0625,1.0,0.42492126840940625,0.8298974511861881,0.3069786230926474
103,0.0523475895789387,0.02983758134405301,0.0,0.0,True,True,0,0.0625,1.0,0.31155721323298335,0.6686222759585375,0.17670960334185307
104,0.03719023907216146,0.021011779710504275,0.0,0.0,True,True,0,0.03125,0.0,1.0186303653755884,0.7149560208118417,0.1988929578221727
105,0.02530527428567897,0.014114922767962668,0.0,0.0,True,True,0,0.0,nan,nan,0.6223685532890034,0.16419363015950453
106,0.04833159710800228,0.017308628818127225,0.0,0.0,True,True,0,0.15625,1.0,0.23491805455717232,0.7667722442576479,0.26853555544114793
107,0.04412962451803493,0.020473211546243153,0.0,0.0,True,True,0,0.03125,1.0,0.14317059203844096,0.780577450534,0.2443726801525574
